,0,1,2,3,4,5,6,7,Class
0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0, negative
1,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0, negative
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0, negative
3,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0, negative
4,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0, negative
5,2.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0, negative
6,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0, negative
7,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0, negative
8,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0, negative
9,2.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0, negative
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, negative
11,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0, negative
12,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0, negative
13,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0, negative
14,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0, negative
15,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0, negative
16,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0, negative
17,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0, negative
18,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0, negative
19,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0, negative
20,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0, negative
21,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0, negative
22,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0, negative
23,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0, negative
24,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0, negative
25,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0, negative
26,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0, negative
27,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0, negative
28,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0, negative
29,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0, negative
30,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0, negative
31,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0, negative
32,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0, negative
33,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0, negative
34,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0, negative
35,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0, negative
36,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0, negative
37,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0, negative
38,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0, negative
39,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0, negative
40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0, negative
41,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0, negative
42,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0, negative
43,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0, negative
44,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0, negative
45,2.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0, negative
46,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0, negative
47,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0, negative
48,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0, negative
49,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0, negative
50,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0, negative
51,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0, negative
52,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0, negative
53,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0, negative
54,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0, negative
55,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0, negative
56,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0, negative
57,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0, negative
58,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0, negative
59,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0, negative
60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0, negative
61,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0, negative
62,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0, negative
63,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0, negative
64,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0, negative
65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0, negative
66,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0, negative
67,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0, negative
68,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0, negative
69,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0, negative
70,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0, negative
71,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0, negative
72,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0, negative
73,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0, negative
74,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0, negative
75,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0, negative
76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0, negative
77,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0, negative
78,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0, negative
79,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0, negative
80,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0, negative
81,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0, negative
82,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0, negative
83,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0, negative
84,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0, negative
85,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0, negative
86,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0, negative
87,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0, negative
88,0.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0, negative
89,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0, negative
90,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0, negative
91,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0, negative
92,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0, negative
93,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0, negative
94,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0, negative
95,0.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0, negative
96,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0, negative
97,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0, negative
98,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0, negative
99,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0, negative
100,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0, negative
101,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0, negative
102,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0, negative
103,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0, negative
104,1.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0, negative
105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0, negative
106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, negative
107,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0, negative
108,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0, negative
109,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0, negative
110,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0, negative
111,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0, negative
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, negative
113,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0, negative
114,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0, negative
115,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0, negative
116,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0, negative
117,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0, negative
118,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0, negative
119,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0, negative
120,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0, negative
121,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0, negative
122,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0, negative
123,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0, negative
124,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0, negative
125,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0, negative
126,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0, negative
127,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0, negative
128,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0, negative
129,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0, negative
130,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
131,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0, negative
132,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0, negative
133,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0, negative
134,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0, negative
135,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0, negative
136,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0, negative
137,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0, negative
138,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0, negative
139,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0, negative
140,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0, negative
141,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0, negative
142,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0, negative
143,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0, negative
144,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0, negative
145,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0, negative
146,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0, negative
147,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0, negative
148,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0, negative
149,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0, negative
150,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0, negative
151,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0, negative
152,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0, negative
153,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0, negative
154,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0, negative
155,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0, negative
156,2.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0, negative
157,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0, negative
158,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0, negative
159,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0, negative
160,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0, negative
161,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0, negative
162,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0, negative
163,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0, negative
164,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0, negative
165,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0, negative
166,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0, negative
167,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0, negative
168,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0, negative
169,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0, negative
170,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0, negative
171,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0, negative
172,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0, negative
173,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0, negative
174,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0, negative
175,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0, negative
176,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0, negative
177,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0, negative
178,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0, negative
179,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0, negative
180,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0, negative
181,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0, negative
182,2.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0, positive
183,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0, positive
184,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0, positive
185,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0, positive
186,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0, positive
187,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0, positive
188,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0, positive
189,2.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0, positive
190,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0, positive
191,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0, positive
192,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0, positive
193,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0, positive
194,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0, positive
195,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0, positive
196,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0, positive
197,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0, positive
198,2.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0, positive
199,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0, positive
200,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0, positive
201,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0, positive
202,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0, positive
203,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0, positive
204,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0, positive
205,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0, positive
206,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0, positive
207,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0, positive
208,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0, positive
209,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0, positive
210,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0, positive
211,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0, positive
