,0,1,2,3,4,5,Class
0,0.0,0.0,0.0,1.0,0.0,1.0, negative
1,0.0,1.0,0.0,0.0,1.0,2.0, negative
2,0.0,0.0,0.0,2.0,0.0,0.0, negative
3,0.0,0.0,0.0,1.0,0.0,0.0, negative
4,0.0,1.0,0.0,0.0,0.0,1.0, negative
5,1.0,0.0,0.0,1.0,1.0,2.0, negative
6,1.0,0.0,0.0,0.0,1.0,2.0, negative
7,0.0,1.0,0.0,0.0,0.0,1.0, negative
8,0.0,0.0,0.0,0.0,0.0,1.0, negative
9,1.0,0.0,0.0,1.0,0.0,0.0, negative
10,0.0,0.0,0.0,0.0,0.0,0.0, negative
11,0.0,0.0,0.0,0.0,0.0,1.0, negative
12,1.0,0.0,0.0,1.0,1.0,2.0, negative
13,0.0,0.0,0.0,0.0,0.0,1.0, negative
14,1.0,1.0,0.0,1.0,1.0,2.0, negative
15,1.0,0.0,0.0,0.0,0.0,1.0, negative
16,0.0,2.0,0.0,2.0,0.0,1.0, negative
17,0.0,1.0,0.0,1.0,0.0,1.0, negative
18,1.0,0.0,0.0,0.0,1.0,2.0, negative
19,1.0,0.0,0.0,1.0,0.0,0.0, negative
20,1.0,0.0,0.0,1.0,1.0,2.0, negative
21,1.0,1.0,0.0,1.0,0.0,0.0, negative
22,0.0,0.0,0.0,0.0,1.0,0.0, negative
23,0.0,0.0,0.0,0.0,1.0,2.0, negative
24,0.0,0.0,0.0,0.0,0.0,1.0, negative
25,0.0,0.0,0.0,0.0,1.0,1.0, negative
26,0.0,0.0,0.0,1.0,0.0,1.0, negative
27,0.0,2.0,0.0,1.0,2.0,1.0, negative
28,0.0,1.0,0.0,2.0,2.0,2.0, negative
29,0.0,2.0,0.0,2.0,2.0,2.0, negative
30,1.0,1.0,0.0,0.0,2.0,2.0, negative
31,0.0,0.0,0.0,1.0,2.0,2.0, negative
32,2.0,1.0,0.0,2.0,2.0,2.0, negative
33,1.0,1.0,0.0,2.0,0.0,0.0, negative
34,1.0,1.0,0.0,2.0,2.0,2.0, negative
35,0.0,0.0,0.0,2.0,0.0,2.0, negative
36,1.0,2.0,0.0,1.0,2.0,2.0, negative
37,1.0,0.0,0.0,1.0,2.0,2.0, negative
38,1.0,1.0,0.0,1.0,0.0,2.0, negative
39,1.0,1.0,0.0,1.0,2.0,2.0, negative
40,1.0,1.0,0.0,2.0,2.0,2.0, negative
41,0.0,0.0,0.0,1.0,2.0,2.0, negative
42,1.0,2.0,0.0,0.0,2.0,0.0, negative
43,0.0,1.0,0.0,0.0,2.0,1.0, negative
44,2.0,1.0,0.0,2.0,2.0,2.0, negative
45,2.0,1.0,0.0,1.0,0.0,2.0, negative
46,2.0,2.0,0.0,0.0,2.0,2.0, negative
47,1.0,0.0,0.0,2.0,2.0,2.0, negative
48,2.0,1.0,0.0,2.0,2.0,2.0, negative
49,1.0,0.0,0.0,0.0,1.0,1.0, negative
50,2.0,1.0,0.0,0.0,2.0,2.0, negative
51,2.0,2.0,0.0,1.0,1.0,0.0, negative
52,2.0,2.0,0.0,1.0,1.0,1.0, negative
53,2.0,2.0,0.0,1.0,1.0,1.0, negative
54,1.0,2.0,0.0,0.0,0.0,1.0, negative
55,2.0,2.0,0.0,0.0,1.0,1.0, negative
56,0.0,2.0,0.0,0.0,2.0,2.0, negative
57,1.0,2.0,0.0,0.0,1.0,0.0, negative
58,2.0,2.0,0.0,0.0,0.0,0.0, negative
59,2.0,2.0,0.0,1.0,1.0,1.0, negative
60,0.0,2.0,0.0,2.0,2.0,2.0, positive
61,2.0,2.0,0.0,2.0,1.0,0.0, positive
62,2.0,2.0,0.0,0.0,2.0,0.0, positive
63,2.0,1.0,0.0,1.0,2.0,1.0, positive
64,2.0,1.0,0.0,2.0,2.0,0.0, positive
65,2.0,2.0,0.0,2.0,0.0,1.0, positive
66,1.0,2.0,0.0,2.0,1.0,0.0, positive
67,2.0,2.0,0.0,2.0,0.0,0.0, positive
68,1.0,2.0,0.0,1.0,0.0,1.0, positive
69,2.0,2.0,0.0,2.0,2.0,1.0, positive
70,2.0,0.0,0.0,1.0,1.0,1.0, positive
71,2.0,2.0,0.0,2.0,2.0,1.0, positive
72,2.0,2.0,0.0,2.0,2.0,0.0, positive
73,2.0,2.0,0.0,2.0,1.0,0.0, positive
74,2.0,2.0,0.0,2.0,2.0,0.0, positive
75,2.0,2.0,0.0,2.0,1.0,0.0, positive
76,1.0,2.0,0.0,2.0,1.0,2.0, positive
77,1.0,1.0,0.0,2.0,2.0,1.0, positive
78,1.0,2.0,0.0,2.0,1.0,1.0, positive
79,1.0,2.0,0.0,0.0,0.0,0.0, positive
80,1.0,1.0,0.0,2.0,1.0,0.0, positive
81,2.0,2.0,0.0,2.0,1.0,1.0, positive
82,2.0,2.0,0.0,2.0,0.0,0.0, positive
83,2.0,1.0,0.0,1.0,2.0,0.0, positive
84,2.0,1.0,0.0,2.0,2.0,0.0, positive
