,0,1,2,3,4,5,6,7,Class
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, positive
1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, positive
2,4.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0, negative
3,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0, negative
4,4.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0, negative
5,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0, negative
6,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0, negative
7,4.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0, negative
8,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0, negative
9,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
10,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0, negative
11,0.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0, negative
12,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0, negative
13,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0, negative
14,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0, negative
15,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0, negative
16,0.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0, negative
17,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
18,2.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0, negative
19,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0, negative
20,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0, negative
21,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0, negative
22,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0, negative
23,2.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0, negative
24,2.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0, negative
25,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0, negative
26,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0, negative
27,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0, negative
28,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0, negative
29,0.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0, negative
30,4.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0, negative
31,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0, negative
32,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0, negative
33,2.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0, negative
34,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0, negative
35,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0, negative
36,2.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0, negative
37,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0, negative
38,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0, negative
39,2.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0, negative
40,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0, negative
41,2.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0, negative
42,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0, negative
43,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0, negative
44,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0, negative
45,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0, negative
46,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0, negative
47,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0, negative
48,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0, negative
49,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0, negative
50,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0, negative
51,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0, negative
52,0.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0, negative
53,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0, negative
54,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0, negative
55,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0, negative
56,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0, negative
57,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0, negative
58,0.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0, negative
59,0.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0, negative
60,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0, negative
61,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0, negative
