,0,1,2,3,4,5,6,Class
0,3.0,2.0,4.0,0.0,2.0,2.0,2.0, negative
1,2.0,0.0,4.0,0.0,3.0,0.0,0.0, negative
2,1.0,2.0,4.0,0.0,2.0,0.0,1.0, negative
3,2.0,2.0,4.0,0.0,2.0,1.0,2.0, negative
4,2.0,1.0,4.0,0.0,2.0,1.0,2.0, negative
5,2.0,2.0,4.0,0.0,2.0,1.0,2.0, negative
6,3.0,2.0,4.0,0.0,2.0,1.0,2.0, negative
7,3.0,2.0,4.0,0.0,3.0,0.0,0.0, negative
8,1.0,2.0,4.0,0.0,2.0,1.0,2.0, negative
9,0.0,2.0,4.0,0.0,2.0,2.0,0.0, negative
10,2.0,1.0,4.0,0.0,3.0,2.0,3.0, negative
11,2.0,0.0,4.0,0.0,2.0,1.0,2.0, negative
12,1.0,1.0,4.0,0.0,2.0,1.0,2.0, negative
13,2.0,2.0,4.0,0.0,2.0,2.0,3.0, negative
14,1.0,2.0,4.0,0.0,2.0,2.0,2.0, negative
15,1.0,1.0,4.0,0.0,2.0,1.0,2.0, negative
16,0.0,2.0,4.0,0.0,1.0,1.0,1.0, negative
17,3.0,3.0,4.0,0.0,1.0,1.0,1.0, negative
18,2.0,1.0,4.0,0.0,1.0,2.0,3.0, negative
19,2.0,2.0,4.0,0.0,3.0,0.0,1.0, negative
20,0.0,2.0,4.0,0.0,2.0,0.0,2.0, negative
21,1.0,2.0,4.0,0.0,2.0,1.0,2.0, negative
22,1.0,1.0,4.0,0.0,2.0,1.0,1.0, negative
23,0.0,2.0,4.0,0.0,2.0,1.0,2.0, negative
24,1.0,1.0,4.0,0.0,2.0,1.0,2.0, negative
25,0.0,2.0,4.0,0.0,2.0,2.0,3.0, negative
26,2.0,1.0,4.0,0.0,2.0,2.0,3.0, negative
27,1.0,2.0,4.0,0.0,1.0,2.0,2.0, negative
28,0.0,2.0,4.0,0.0,2.0,1.0,2.0, negative
29,4.0,2.0,4.0,0.0,3.0,4.0,4.0, negative
30,4.0,1.0,4.0,0.0,3.0,4.0,4.0, negative
31,4.0,1.0,4.0,0.0,3.0,0.0,4.0, negative
32,4.0,2.0,4.0,0.0,4.0,4.0,0.0, negative
33,4.0,3.0,4.0,0.0,3.0,4.0,4.0, negative
34,4.0,2.0,4.0,0.0,0.0,3.0,4.0, negative
35,3.0,4.0,4.0,0.0,4.0,0.0,1.0, positive
36,3.0,4.0,4.0,0.0,4.0,2.0,1.0, positive
37,3.0,2.0,4.0,0.0,3.0,2.0,1.0, positive
38,3.0,3.0,4.0,0.0,0.0,1.0,1.0, positive
39,4.0,3.0,4.0,0.0,4.0,0.0,1.0, positive
40,3.0,3.0,4.0,0.0,3.0,2.0,1.0, positive
41,3.0,4.0,4.0,0.0,2.0,1.0,1.0, positive
42,3.0,4.0,4.0,0.0,4.0,2.0,2.0, positive
43,4.0,0.0,4.0,0.0,3.0,2.0,1.0, positive
44,4.0,4.0,4.0,0.0,4.0,3.0,1.0, positive
45,4.0,4.0,4.0,0.0,4.0,3.0,0.0, positive
46,4.0,3.0,4.0,0.0,4.0,2.0,0.0, positive
47,4.0,4.0,4.0,0.0,4.0,2.0,0.0, positive
48,3.0,3.0,4.0,0.0,4.0,1.0,2.0, positive
49,3.0,4.0,4.0,0.0,4.0,2.0,2.0, positive
50,0.0,4.0,0.0,0.0,4.0,3.0,3.0, positive
51,4.0,3.0,4.0,0.0,4.0,2.0,1.0, positive
52,3.0,2.0,4.0,0.0,4.0,2.0,1.0, positive
53,4.0,3.0,4.0,0.0,3.0,2.0,2.0, positive
54,3.0,3.0,4.0,0.0,4.0,0.0,0.0, positive
