,0,1,2,3,4,5,6,7,8,9,10,Class
0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0, negative
1,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0, negative
2,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0, negative
3,1.0,0.0,1.0,2.0,0.0,3.0,4.0,3.0,1.0,2.0,0.0, negative
4,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0, negative
5,4.0,1.0,4.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0, negative
6,1.0,2.0,0.0,2.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0, negative
7,1.0,0.0,1.0,1.0,0.0,2.0,4.0,3.0,4.0,3.0,1.0, negative
8,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0, negative
9,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0, negative
10,1.0,1.0,2.0,1.0,0.0,2.0,4.0,2.0,1.0,3.0,2.0, negative
11,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0, negative
12,2.0,1.0,3.0,2.0,0.0,4.0,3.0,3.0,1.0,1.0,0.0, negative
13,2.0,1.0,3.0,2.0,0.0,4.0,3.0,3.0,1.0,1.0,0.0, negative
14,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0, negative
15,2.0,2.0,0.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0, negative
16,1.0,0.0,1.0,3.0,0.0,2.0,3.0,3.0,2.0,1.0,0.0, negative
17,1.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0, negative
18,2.0,2.0,0.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0, negative
19,1.0,3.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,0.0, negative
20,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0, negative
21,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0, negative
22,2.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0,3.0, negative
23,3.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0, negative
24,2.0,0.0,2.0,2.0,0.0,1.0,3.0,3.0,2.0,1.0,1.0, negative
25,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0, negative
26,3.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0, negative
27,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0, negative
