,0,1,2,3,4,5,6,7,Class
0,0.0,5.0,5.0,6.0,3.0,2.0,3.0,4.0, positive
1,5.0,6.0,5.0,7.0,5.0,3.0,5.0,4.0, positive
2,5.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0, positive
3,0.0,6.0,6.0,6.0,4.0,3.0,4.0,6.0, positive
4,5.0,5.0,5.0,6.0,3.0,2.0,4.0,4.0, positive
5,9.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0, negative
6,0.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0, negative
7,0.0,6.0,6.0,6.0,4.0,3.0,5.0,5.0, negative
8,0.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0, negative
9,5.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0, negative
10,0.0,6.0,6.0,5.0,3.0,2.0,4.0,4.0, negative
11,0.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0, negative
12,0.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0, negative
13,0.0,4.0,4.0,6.0,3.0,2.0,3.0,3.0, negative
14,5.0,5.0,5.0,4.0,3.0,2.0,4.0,3.0, negative
15,0.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0, negative
16,0.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0, negative
17,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0, negative
18,0.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0, negative
19,5.0,5.0,5.0,6.0,3.0,2.0,3.0,4.0, negative
20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
21,9.0,6.0,6.0,5.0,3.0,3.0,3.0,4.0, negative
22,9.0,4.0,4.0,6.0,2.0,1.0,2.0,2.0, negative
23,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
24,0.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0, negative
25,5.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0, negative
26,5.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0, negative
27,5.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0, negative
28,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0, negative
29,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0, negative
30,0.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0, negative
31,5.0,7.0,6.0,5.0,5.0,5.0,4.0,4.0, negative
32,5.0,8.0,8.0,6.0,7.0,6.0,7.0,5.0, negative
33,9.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0, negative
34,5.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0, negative
35,5.0,6.0,5.0,6.0,3.0,3.0,4.0,3.0, negative
36,5.0,7.0,7.0,6.0,5.0,4.0,6.0,4.0, negative
37,5.0,8.0,7.0,7.0,6.0,7.0,5.0,5.0, negative
38,9.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0, negative
39,5.0,5.0,6.0,5.0,3.0,4.0,3.0,3.0, negative
40,5.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0, negative
41,5.0,6.0,6.0,6.0,3.0,3.0,4.0,4.0, negative
42,0.0,6.0,6.0,5.0,4.0,3.0,4.0,4.0, negative
43,9.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0, negative
44,0.0,7.0,7.0,7.0,5.0,4.0,5.0,5.0, negative
45,0.0,7.0,6.0,8.0,5.0,5.0,6.0,5.0, negative
46,9.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0, negative
47,5.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0, negative
48,0.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0, negative
49,5.0,5.0,5.0,4.0,3.0,2.0,4.0,3.0, negative
50,0.0,8.0,8.0,7.0,6.0,6.0,7.0,5.0, negative
51,0.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0, negative
52,9.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0, negative
53,9.0,5.0,5.0,4.0,2.0,2.0,2.0,3.0, negative
54,5.0,6.0,6.0,7.0,4.0,3.0,4.0,4.0, negative
55,5.0,7.0,7.0,6.0,4.0,3.0,5.0,4.0, negative
56,9.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0, negative
57,5.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0, negative
58,0.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0, negative
59,5.0,6.0,6.0,5.0,4.0,3.0,3.0,4.0, negative
60,0.0,6.0,6.0,7.0,4.0,3.0,4.0,4.0, negative
61,0.0,7.0,7.0,8.0,6.0,6.0,6.0,6.0, negative
