,0,1,2,3,4,5,6,7,Class
0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0, negative
1,5.0,5.0,5.0,4.0,3.0,2.0,2.0,4.0, negative
2,5.0,5.0,5.0,7.0,3.0,2.0,4.0,3.0, negative
3,0.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0, negative
4,0.0,5.0,6.0,6.0,4.0,2.0,4.0,5.0, negative
5,5.0,5.0,4.0,4.0,2.0,1.0,2.0,3.0, negative
6,5.0,5.0,4.0,3.0,2.0,1.0,2.0,2.0, negative
7,5.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0, negative
8,0.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0, negative
9,0.0,5.0,6.0,5.0,3.0,2.0,3.0,4.0, negative
10,5.0,6.0,6.0,6.0,4.0,3.0,5.0,4.0, negative
11,5.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0, negative
12,5.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0, negative
13,5.0,2.0,3.0,5.0,1.0,0.0,1.0,1.0, negative
14,5.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0, negative
15,5.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0, negative
16,0.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0, negative
17,9.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0, negative
18,0.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0, negative
19,9.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0, negative
20,0.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0, negative
21,0.0,5.0,5.0,4.0,2.0,2.0,2.0,3.0, negative
22,5.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0, negative
23,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0, negative
24,5.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0, negative
25,5.0,7.0,6.0,5.0,4.0,3.0,4.0,5.0, negative
26,0.0,5.0,5.0,7.0,3.0,2.0,3.0,3.0, negative
27,9.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0, negative
28,9.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0, negative
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
30,9.0,5.0,4.0,7.0,2.0,2.0,3.0,3.0, negative
31,5.0,5.0,4.0,5.0,2.0,1.0,2.0,2.0, negative
32,5.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0, negative
33,5.0,6.0,6.0,4.0,3.0,3.0,3.0,4.0, negative
34,9.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0, negative
35,5.0,6.0,6.0,6.0,4.0,3.0,4.0,5.0, negative
36,5.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0, negative
37,9.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0, negative
38,9.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0, negative
39,9.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0, negative
40,9.0,3.0,2.0,4.0,1.0,0.0,1.0,1.0, negative
41,5.0,5.0,6.0,7.0,3.0,2.0,2.0,4.0, negative
42,9.0,4.0,5.0,6.0,2.0,1.0,2.0,3.0, negative
43,5.0,4.0,3.0,3.0,1.0,0.0,2.0,2.0, negative
44,0.0,4.0,4.0,6.0,2.0,1.0,3.0,2.0, negative
45,0.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0, negative
46,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
47,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0, negative
48,0.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0, negative
49,0.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0, negative
50,5.0,4.0,5.0,6.0,3.0,1.0,4.0,4.0, negative
51,0.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0, negative
52,0.0,4.0,4.0,6.0,2.0,1.0,2.0,3.0, negative
53,5.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0, negative
54,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0, negative
55,0.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0, negative
56,5.0,6.0,6.0,6.0,4.0,4.0,4.0,5.0, negative
57,5.0,7.0,8.0,8.0,6.0,5.0,5.0,5.0, negative
58,5.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0, negative
59,5.0,8.0,8.0,9.0,6.0,5.0,7.0,6.0, negative
60,0.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0, negative
61,0.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0, negative
62,5.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0, negative
63,0.0,6.0,5.0,6.0,4.0,3.0,4.0,3.0, negative
64,0.0,6.0,5.0,5.0,4.0,3.0,4.0,4.0, negative
65,5.0,6.0,6.0,7.0,4.0,3.0,4.0,5.0, negative
66,5.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0, negative
67,0.0,6.0,6.0,6.0,4.0,4.0,4.0,5.0, negative
68,5.0,7.0,6.0,6.0,5.0,4.0,5.0,5.0, negative
69,0.0,7.0,6.0,6.0,4.0,4.0,4.0,4.0, negative
70,0.0,7.0,7.0,9.0,6.0,4.0,5.0,6.0, negative
71,5.0,7.0,6.0,7.0,5.0,4.0,5.0,6.0, negative
72,0.0,7.0,7.0,6.0,5.0,4.0,5.0,5.0, negative
73,0.0,8.0,8.0,8.0,8.0,6.0,9.0,7.0, negative
74,5.0,8.0,7.0,7.0,5.0,4.0,6.0,5.0, negative
75,5.0,9.0,9.0,9.0,9.0,7.0,7.0,8.0, negative
76,0.0,7.0,7.0,6.0,4.0,3.0,6.0,4.0, negative
77,5.0,7.0,7.0,7.0,4.0,3.0,4.0,6.0, negative
78,5.0,8.0,8.0,7.0,6.0,4.0,6.0,6.0, negative
79,0.0,9.0,8.0,7.0,7.0,6.0,9.0,7.0, negative
80,5.0,9.0,8.0,9.0,8.0,7.0,9.0,7.0, negative
81,5.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0, negative
82,5.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0, negative
83,9.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0, negative
84,9.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0, negative
85,9.0,5.0,5.0,6.0,2.0,2.0,3.0,2.0, negative
86,0.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0, negative
87,0.0,6.0,6.0,5.0,3.0,2.0,2.0,4.0, negative
88,5.0,6.0,5.0,5.0,3.0,3.0,4.0,3.0, negative
89,0.0,6.0,5.0,5.0,3.0,2.0,2.0,3.0, negative
90,9.0,6.0,5.0,4.0,3.0,2.0,2.0,3.0, negative
91,9.0,6.0,6.0,7.0,4.0,3.0,4.0,4.0, negative
92,0.0,7.0,6.0,6.0,4.0,3.0,3.0,4.0, negative
93,0.0,7.0,7.0,6.0,5.0,4.0,4.0,6.0, negative
94,5.0,7.0,6.0,6.0,4.0,3.0,4.0,4.0, negative
95,5.0,7.0,8.0,9.0,6.0,5.0,6.0,6.0, negative
96,0.0,7.0,7.0,6.0,5.0,4.0,6.0,5.0, negative
97,5.0,7.0,7.0,9.0,5.0,4.0,8.0,5.0, negative
98,0.0,8.0,8.0,9.0,7.0,6.0,6.0,7.0, negative
99,5.0,8.0,7.0,6.0,5.0,4.0,5.0,6.0, negative
100,5.0,8.0,9.0,8.0,6.0,4.0,6.0,8.0, negative
101,5.0,8.0,8.0,7.0,6.0,4.0,7.0,7.0, negative
102,5.0,6.0,6.0,6.0,3.0,2.0,3.0,3.0, negative
103,5.0,6.0,6.0,6.0,3.0,3.0,3.0,4.0, negative
104,0.0,6.0,6.0,5.0,4.0,4.0,3.0,4.0, negative
105,5.0,7.0,7.0,9.0,5.0,4.0,4.0,6.0, negative
106,0.0,7.0,6.0,9.0,6.0,5.0,7.0,5.0, negative
107,0.0,7.0,7.0,8.0,6.0,5.0,6.0,5.0, negative
108,0.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0, negative
109,5.0,8.0,7.0,6.0,6.0,4.0,5.0,4.0, negative
110,0.0,8.0,8.0,8.0,6.0,4.0,6.0,8.0, negative
111,0.0,9.0,7.0,7.0,6.0,6.0,6.0,6.0, negative
112,9.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0, negative
113,9.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0, negative
114,5.0,6.0,6.0,7.0,5.0,4.0,4.0,6.0, negative
115,9.0,6.0,6.0,6.0,3.0,2.0,4.0,4.0, negative
116,0.0,6.0,6.0,6.0,3.0,3.0,4.0,4.0, negative
117,0.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0, negative
118,0.0,7.0,7.0,7.0,5.0,4.0,5.0,5.0, negative
119,5.0,7.0,6.0,8.0,5.0,4.0,6.0,5.0, negative
120,0.0,7.0,7.0,6.0,5.0,4.0,6.0,4.0, negative
121,5.0,7.0,6.0,6.0,4.0,4.0,4.0,4.0, negative
122,0.0,7.0,7.0,6.0,5.0,4.0,4.0,4.0, negative
123,5.0,7.0,7.0,8.0,5.0,4.0,5.0,6.0, negative
124,5.0,7.0,6.0,8.0,5.0,4.0,5.0,6.0, negative
125,0.0,7.0,7.0,5.0,4.0,4.0,4.0,4.0, negative
126,5.0,7.0,8.0,6.0,5.0,5.0,6.0,6.0, negative
127,0.0,8.0,8.0,9.0,7.0,6.0,7.0,7.0, negative
128,5.0,8.0,8.0,7.0,7.0,5.0,9.0,8.0, negative
129,0.0,9.0,8.0,9.0,6.0,4.0,6.0,8.0, negative
130,5.0,6.0,6.0,5.0,3.0,3.0,4.0,4.0, negative
131,0.0,6.0,6.0,7.0,4.0,3.0,4.0,4.0, negative
132,0.0,6.0,6.0,8.0,4.0,2.0,5.0,4.0, negative
133,0.0,7.0,7.0,7.0,5.0,5.0,6.0,5.0, negative
134,5.0,7.0,7.0,7.0,4.0,3.0,4.0,6.0, negative
135,9.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0, negative
136,9.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0, negative
137,5.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0, negative
138,0.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0, negative
139,0.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0, negative
140,5.0,6.0,5.0,4.0,3.0,2.0,3.0,3.0, negative
141,0.0,6.0,5.0,6.0,4.0,2.0,5.0,4.0, negative
142,5.0,6.0,5.0,6.0,3.0,2.0,4.0,4.0, negative
143,0.0,6.0,5.0,5.0,3.0,2.0,4.0,3.0, negative
144,5.0,6.0,6.0,6.0,3.0,2.0,3.0,4.0, negative
145,0.0,6.0,6.0,5.0,3.0,3.0,3.0,4.0, negative
146,5.0,6.0,5.0,6.0,3.0,2.0,4.0,4.0, negative
147,5.0,6.0,7.0,7.0,4.0,3.0,5.0,5.0, negative
148,5.0,6.0,5.0,5.0,3.0,2.0,3.0,3.0, negative
149,5.0,6.0,6.0,6.0,4.0,3.0,5.0,4.0, negative
150,5.0,6.0,7.0,6.0,4.0,3.0,4.0,5.0, negative
151,5.0,6.0,6.0,5.0,4.0,3.0,5.0,4.0, negative
152,0.0,7.0,7.0,6.0,4.0,3.0,5.0,4.0, negative
