,0,1,2,3,4,5,6,7,8,9,Class
0,9.0,9.0,3.0,9.0,9.0,5.0,6.0,5.0,0.0,9.0, negative
1,3.0,7.0,6.0,9.0,6.0,7.0,0.0,9.0,0.0,7.0, negative
2,0.0,0.0,9.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0, negative
3,6.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0, negative
4,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0, negative
5,6.0,9.0,3.0,0.0,9.0,0.0,6.0,0.0,3.0,9.0, negative
6,9.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0, negative
7,3.0,9.0,6.0,1.0,6.0,9.0,9.0,1.0,0.0,9.0, negative
8,0.0,9.0,0.0,8.0,3.0,9.0,9.0,9.0,3.0,8.0, negative
9,9.0,6.0,9.0,5.0,6.0,5.0,3.0,6.0,0.0,6.0, negative
10,3.0,7.0,0.0,7.0,9.0,9.0,6.0,7.0,3.0,9.0, negative
11,6.0,3.0,0.0,5.0,3.0,5.0,0.0,3.0,6.0,5.0, negative
12,6.0,8.0,6.0,7.0,0.0,7.0,9.0,8.0,3.0,7.0, negative
13,0.0,2.0,9.0,6.0,9.0,2.0,3.0,6.0,0.0,6.0, negative
14,3.0,9.0,6.0,0.0,9.0,0.0,0.0,9.0,3.0,0.0, negative
15,0.0,5.0,6.0,6.0,0.0,6.0,9.0,5.0,6.0,5.0, negative
16,6.0,4.0,0.0,4.0,3.0,4.0,9.0,5.0,3.0,5.0, negative
17,3.0,4.0,3.0,3.0,9.0,4.0,0.0,3.0,0.0,4.0, negative
18,0.0,7.0,0.0,0.0,3.0,0.0,6.0,7.0,9.0,7.0, negative
19,3.0,6.0,9.0,7.0,9.0,6.0,6.0,7.0,6.0,6.0, negative
20,0.0,7.0,9.0,7.0,6.0,7.0,3.0,5.0,6.0,5.0, negative
21,9.0,5.0,9.0,9.0,3.0,5.0,0.0,5.0,6.0,9.0, negative
22,6.0,9.0,6.0,5.0,3.0,9.0,3.0,5.0,9.0,9.0, negative
23,6.0,6.0,3.0,5.0,0.0,5.0,9.0,6.0,9.0,5.0, negative
24,0.0,5.0,0.0,4.0,3.0,4.0,3.0,5.0,6.0,5.0, negative
25,0.0,9.0,3.0,0.0,9.0,9.0,6.0,0.0,0.0,0.0, negative
26,9.0,4.0,6.0,1.0,6.0,4.0,0.0,1.0,0.0,4.0, negative
27,6.0,1.0,9.0,2.0,3.0,1.0,0.0,2.0,9.0,1.0, negative
28,6.0,9.0,0.0,9.0,3.0,6.0,9.0,9.0,0.0,6.0, negative
29,6.0,9.0,0.0,9.0,6.0,6.0,3.0,9.0,3.0,6.0, negative
30,6.0,9.0,9.0,9.0,3.0,9.0,3.0,0.0,9.0,0.0, negative
31,6.0,0.0,3.0,0.0,6.0,6.0,3.0,6.0,9.0,0.0, negative
32,9.0,9.0,0.0,9.0,3.0,9.0,0.0,9.0,9.0,9.0, negative
33,9.0,5.0,0.0,5.0,3.0,2.0,6.0,2.0,0.0,2.0, negative
34,6.0,9.0,9.0,1.0,3.0,1.0,0.0,9.0,6.0,1.0, negative
35,6.0,5.0,0.0,0.0,3.0,0.0,9.0,5.0,6.0,0.0, negative
36,3.0,8.0,9.0,4.0,0.0,4.0,0.0,8.0,3.0,4.0, negative
37,9.0,8.0,9.0,5.0,3.0,5.0,3.0,8.0,0.0,5.0, negative
