,0,1,2,3,4,5,6,7,Class
0,3.0,6.0,3.0,2.0,0.0,0.0,6.0,2.0, negative
1,4.0,5.0,3.0,6.0,0.0,0.0,6.0,2.0, negative
2,5.0,4.0,5.0,3.0,0.0,0.0,6.0,2.0, negative
3,6.0,3.0,3.0,4.0,0.0,0.0,6.0,2.0, negative
4,7.0,5.0,3.0,1.0,0.0,0.0,5.0,2.0, negative
5,4.0,4.0,3.0,5.0,0.0,0.0,6.0,2.0, negative
6,5.0,5.0,2.0,4.0,0.0,0.0,6.0,2.0, negative
7,5.0,5.0,4.0,3.0,0.0,0.0,6.0,2.0, negative
8,3.0,5.0,3.0,6.0,0.0,0.0,6.0,2.0, negative
9,3.0,2.0,3.0,5.0,0.0,0.0,6.0,2.0, negative
10,6.0,4.0,2.0,6.0,0.0,0.0,5.0,2.0, negative
11,4.0,4.0,4.0,2.0,0.0,0.0,5.0,2.0, negative
12,4.0,3.0,4.0,5.0,0.0,0.0,4.0,3.0, negative
13,6.0,5.0,4.0,4.0,0.0,0.0,6.0,2.0, negative
14,4.0,5.0,4.0,5.0,0.0,0.0,6.0,3.0, negative
15,4.0,3.0,4.0,5.0,0.0,0.0,6.0,2.0, negative
16,4.0,5.0,3.0,4.0,0.0,0.0,5.0,2.0, negative
17,4.0,5.0,4.0,5.0,0.0,0.0,7.0,2.0, negative
18,5.0,4.0,5.0,3.0,0.0,0.0,5.0,2.0, negative
19,7.0,6.0,2.0,4.0,0.0,9.0,6.0,2.0, negative
20,4.0,3.0,3.0,2.0,0.0,0.0,6.0,3.0, negative
21,6.0,7.0,2.0,3.0,0.0,0.0,7.0,2.0, negative
22,8.0,7.0,2.0,2.0,0.0,0.0,6.0,2.0, negative
23,3.0,3.0,3.0,6.0,0.0,0.0,6.0,2.0, negative
24,5.0,6.0,4.0,4.0,0.0,0.0,5.0,2.0, negative
25,4.0,4.0,4.0,4.0,0.0,0.0,5.0,2.0, negative
26,2.0,4.0,3.0,2.0,0.0,0.0,2.0,2.0, negative
27,4.0,3.0,5.0,2.0,0.0,0.0,6.0,2.0, negative
28,6.0,6.0,1.0,2.0,0.0,0.0,6.0,2.0, negative
29,5.0,5.0,4.0,4.0,0.0,0.0,6.0,2.0, negative
30,7.0,6.0,4.0,4.0,0.0,0.0,6.0,2.0, negative
31,4.0,7.0,3.0,5.0,0.0,0.0,6.0,2.0, negative
32,7.0,5.0,3.0,4.0,0.0,0.0,7.0,2.0, negative
33,6.0,7.0,1.0,3.0,0.0,0.0,7.0,2.0, negative
34,6.0,5.0,3.0,5.0,0.0,0.0,6.0,2.0, negative
35,5.0,5.0,4.0,4.0,0.0,0.0,6.0,3.0, negative
36,7.0,6.0,1.0,2.0,0.0,0.0,7.0,3.0, negative
37,3.0,5.0,2.0,6.0,0.0,0.0,5.0,3.0, negative
38,5.0,6.0,1.0,2.0,0.0,0.0,6.0,2.0, negative
39,4.0,8.0,2.0,3.0,0.0,0.0,6.0,2.0, negative
40,4.0,4.0,4.0,5.0,0.0,0.0,5.0,2.0, negative
41,4.0,5.0,2.0,5.0,0.0,0.0,3.0,2.0, negative
42,4.0,3.0,2.0,5.0,0.0,0.0,4.0,2.0, negative
43,4.0,3.0,4.0,7.0,0.0,0.0,6.0,2.0, negative
44,2.0,5.0,2.0,5.0,0.0,0.0,5.0,2.0, negative
45,5.0,3.0,3.0,5.0,0.0,0.0,6.0,2.0, negative
46,7.0,6.0,3.0,2.0,0.0,0.0,5.0,2.0, negative
47,4.0,4.0,4.0,4.0,0.0,0.0,7.0,2.0, negative
48,5.0,3.0,3.0,3.0,0.0,0.0,6.0,2.0, negative
49,4.0,5.0,6.0,1.0,0.0,0.0,7.0,2.0, negative
50,3.0,5.0,3.0,1.0,0.0,0.0,5.0,2.0, negative
51,3.0,5.0,6.0,2.0,0.0,0.0,7.0,2.0, negative
52,3.0,6.0,3.0,5.0,0.0,0.0,6.0,4.0, negative
53,1.0,3.0,5.0,1.0,0.0,0.0,5.0,2.0, negative
54,4.0,6.0,4.0,6.0,0.0,0.0,6.0,4.0, negative
55,7.0,4.0,3.0,4.0,0.0,0.0,6.0,2.0, negative
56,5.0,5.0,3.0,5.0,0.0,0.0,6.0,2.0, negative
57,4.0,3.0,4.0,6.0,0.0,0.0,5.0,2.0, negative
58,5.0,5.0,4.0,2.0,0.0,0.0,5.0,2.0, negative
59,3.0,5.0,3.0,6.0,0.0,0.0,6.0,2.0, negative
60,2.0,4.0,3.0,7.0,0.0,0.0,6.0,3.0, negative
61,4.0,6.0,3.0,5.0,0.0,0.0,6.0,3.0, negative
62,5.0,5.0,3.0,4.0,0.0,0.0,6.0,2.0, negative
63,3.0,5.0,4.0,6.0,0.0,0.0,6.0,2.0, negative
64,5.0,4.0,3.0,4.0,0.0,0.0,6.0,3.0, negative
65,4.0,5.0,3.0,4.0,0.0,0.0,6.0,2.0, negative
66,3.0,5.0,4.0,7.0,0.0,0.0,5.0,3.0, negative
67,7.0,4.0,4.0,2.0,0.0,0.0,6.0,2.0, negative
