,0,1,2,3,4,5,6,7,Class
0,4.0,3.0,5.0,1.0,0.0,0.0,7.0,3.0, negative
1,3.0,4.0,5.0,2.0,0.0,0.0,7.0,1.0, negative
2,3.0,5.0,5.0,1.0,0.0,0.0,7.0,1.0, negative
3,5.0,5.0,4.0,1.0,0.0,0.0,8.0,2.0, positive
4,3.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0, negative
5,5.0,4.0,6.0,3.0,0.0,0.0,7.0,1.0, negative
6,3.0,2.0,4.0,2.0,0.0,0.0,6.0,1.0, positive
7,4.0,4.0,5.0,3.0,0.0,0.0,7.0,3.0, positive
8,4.0,5.0,6.0,7.0,0.0,0.0,6.0,1.0, negative
9,4.0,4.0,6.0,2.0,0.0,0.0,6.0,1.0, negative
10,6.0,5.0,6.0,4.0,0.0,0.0,7.0,1.0, negative
11,4.0,6.0,4.0,5.0,0.0,0.0,6.0,1.0, negative
12,4.0,5.0,7.0,6.0,0.0,0.0,8.0,1.0, negative
13,4.0,3.0,4.0,2.0,0.0,0.0,7.0,1.0, negative
14,3.0,4.0,3.0,1.0,0.0,0.0,7.0,1.0, negative
15,4.0,3.0,6.0,2.0,0.0,0.0,6.0,1.0, negative
16,2.0,2.0,6.0,2.0,0.0,0.0,6.0,4.0, positive
17,4.0,4.0,6.0,5.0,0.0,0.0,6.0,1.0, negative
18,4.0,3.0,8.0,3.0,0.0,0.0,7.0,1.0, negative
19,5.0,5.0,6.0,0.0,0.0,0.0,6.0,1.0, positive
20,2.0,3.0,7.0,1.0,0.0,0.0,7.0,4.0, positive
21,4.0,4.0,5.0,2.0,0.0,0.0,7.0,2.0, negative
22,3.0,2.0,5.0,1.0,0.0,0.0,7.0,1.0, positive
23,3.0,4.0,6.0,1.0,0.0,0.0,7.0,1.0, negative
24,4.0,3.0,5.0,3.0,0.0,9.0,7.0,1.0, negative
25,2.0,2.0,6.0,3.0,0.0,0.0,7.0,2.0, positive
26,3.0,3.0,5.0,7.0,0.0,0.0,6.0,1.0, negative
