,0,1,2,3,4,5,Class
0,0.0,0.0,1.0,3.0,2.0,2.0, negative
1,3.0,0.0,1.0,3.0,2.0,2.0, negative
2,3.0,2.0,1.0,3.0,3.0,2.0, negative
3,1.0,1.0,1.0,3.0,1.0,2.0, negative
4,4.0,2.0,1.0,2.0,2.0,2.0, negative
5,1.0,1.0,1.0,2.0,1.0,1.0, negative
6,0.0,2.0,1.0,3.0,3.0,3.0, negative
7,2.0,0.0,1.0,3.0,1.0,0.0, negative
8,2.0,1.0,1.0,3.0,1.0,2.0, negative
9,2.0,1.0,1.0,3.0,1.0,2.0, negative
10,3.0,0.0,1.0,3.0,2.0,2.0, negative
11,1.0,2.0,1.0,3.0,0.0,1.0, negative
12,1.0,0.0,1.0,3.0,3.0,3.0, negative
13,2.0,2.0,1.0,2.0,1.0,2.0, negative
14,2.0,1.0,1.0,3.0,3.0,3.0, negative
15,1.0,0.0,1.0,2.0,1.0,2.0, negative
16,2.0,3.0,1.0,2.0,1.0,1.0, negative
17,0.0,2.0,1.0,2.0,1.0,0.0, negative
18,1.0,1.0,1.0,4.0,0.0,0.0, negative
19,3.0,3.0,1.0,2.0,2.0,2.0, negative
20,0.0,0.0,1.0,3.0,0.0,1.0, negative
21,2.0,2.0,1.0,3.0,1.0,1.0, negative
22,1.0,1.0,1.0,3.0,3.0,3.0, negative
23,1.0,0.0,1.0,3.0,2.0,2.0, negative
24,2.0,1.0,1.0,3.0,2.0,2.0, negative
25,2.0,2.0,1.0,3.0,1.0,2.0, negative
26,3.0,2.0,1.0,2.0,1.0,2.0, negative
27,2.0,1.0,1.0,2.0,2.0,2.0, negative
28,3.0,3.0,1.0,2.0,2.0,2.0, negative
29,0.0,1.0,1.0,2.0,2.0,2.0, negative
30,1.0,1.0,1.0,1.0,1.0,1.0, negative
31,2.0,3.0,1.0,2.0,2.0,2.0, negative
32,1.0,3.0,1.0,2.0,1.0,2.0, negative
33,4.0,2.0,1.0,3.0,0.0,0.0, negative
34,2.0,2.0,1.0,2.0,1.0,2.0, negative
35,2.0,2.0,1.0,3.0,2.0,2.0, negative
36,0.0,1.0,1.0,3.0,2.0,3.0, negative
37,1.0,2.0,1.0,0.0,2.0,2.0, negative
38,4.0,2.0,1.0,3.0,2.0,2.0, negative
39,1.0,2.0,1.0,2.0,2.0,0.0, negative
40,2.0,1.0,1.0,3.0,3.0,3.0, negative
41,2.0,0.0,1.0,2.0,1.0,2.0, negative
42,2.0,1.0,1.0,3.0,0.0,1.0, negative
43,1.0,1.0,1.0,2.0,2.0,2.0, negative
44,2.0,3.0,1.0,2.0,2.0,2.0, negative
