,0,1,2,3,4,5,6,7,8,9,10,Class
0,3.0,4.0,2.0,1.0,5.0,1.0,1.0,5.0,4.0,8.0,0.0, negative
1,3.0,3.0,2.0,2.0,8.0,2.0,3.0,5.0,2.0,6.0,1.0, negative
2,2.0,2.0,2.0,2.0,3.0,0.0,0.0,4.0,4.0,2.0,1.0, negative
3,2.0,4.0,0.0,4.0,4.0,4.0,2.0,4.0,6.0,1.0,3.0, negative
4,0.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,5.0,1.0,1.0, negative
5,1.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,6.0,1.0,1.0, negative
6,2.0,6.0,4.0,3.0,5.0,4.0,7.0,5.0,3.0,3.0,1.0, negative
7,3.0,2.0,3.0,4.0,3.0,5.0,7.0,5.0,3.0,1.0,1.0, negative
8,2.0,3.0,1.0,4.0,5.0,6.0,4.0,3.0,3.0,2.0,3.0, negative
9,2.0,2.0,3.0,3.0,2.0,1.0,2.0,4.0,5.0,1.0,1.0, negative
10,4.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,5.0,2.0,1.0, negative
11,2.0,3.0,1.0,2.0,3.0,2.0,1.0,5.0,5.0,2.0,1.0, negative
12,3.0,5.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,5.0,3.0, negative
13,2.0,4.0,2.0,2.0,3.0,3.0,5.0,4.0,4.0,0.0,1.0, negative
14,1.0,5.0,1.0,3.0,3.0,2.0,5.0,4.0,5.0,1.0,2.0, negative
15,2.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,1.0,0.0, negative
16,3.0,3.0,2.0,2.0,5.0,3.0,8.0,5.0,1.0,9.0,2.0, negative
17,3.0,3.0,2.0,2.0,3.0,8.0,9.0,4.0,3.0,1.0,1.0, negative
18,3.0,3.0,2.0,3.0,5.0,3.0,8.0,5.0,1.0,9.0,2.0, negative
19,0.0,3.0,1.0,3.0,1.0,3.0,6.0,2.0,8.0,2.0,7.0, negative
20,2.0,6.0,0.0,4.0,3.0,0.0,0.0,5.0,5.0,1.0,2.0, negative
21,3.0,5.0,5.0,3.0,5.0,7.0,9.0,5.0,3.0,3.0,1.0, negative
22,3.0,3.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,1.0, negative
23,2.0,4.0,0.0,2.0,4.0,4.0,5.0,4.0,4.0,1.0,1.0, negative
24,3.0,9.0,0.0,2.0,3.0,0.0,0.0,4.0,6.0,0.0,4.0, negative
25,1.0,3.0,0.0,1.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0, negative
26,3.0,5.0,1.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0, negative
27,3.0,5.0,1.0,2.0,4.0,1.0,3.0,5.0,3.0,3.0,1.0, negative
28,3.0,4.0,5.0,2.0,5.0,6.0,9.0,5.0,3.0,2.0,1.0, negative
29,3.0,2.0,4.0,4.0,4.0,1.0,2.0,5.0,6.0,2.0,3.0, negative
30,2.0,3.0,0.0,2.0,4.0,4.0,6.0,3.0,4.0,1.0,2.0, negative
31,2.0,3.0,0.0,2.0,4.0,4.0,6.0,3.0,4.0,1.0,2.0, negative
32,2.0,3.0,2.0,7.0,2.0,6.0,7.0,6.0,5.0,0.0,1.0, negative
33,2.0,3.0,0.0,1.0,2.0,3.0,2.0,4.0,5.0,0.0,0.0, positive
