@relation ./ML-assignments/Assignment6/databases_disc/databases_EFQ3_arff/glass-0-4_vs_5/EFQ1glass-0-4_vs_5-5-4tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute Class {' negative',' positive'}
@data
0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
1,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,' negativ
2,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,' negativ
3,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,' negativ
4,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,' negativ
5,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
6,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,' negativ
7,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
8,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,' negativ
9,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,' negativ
10,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,' negativ
11,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,' negativ
12,2.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,' negativ
13,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,' negativ
14,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,' negativ
15,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,' positiv
16,1.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,' positiv
17,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,' positiv
18,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,' positiv
19,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,' positiv
20,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,' positiv
21,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,' positiv
22,1.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,' positiv
23,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,' positiv
