@relation ./ML-assignments/Assignment6/databases_disc/databases_EFQ3_arff/yeast4/EFQ1yeast4-5-2tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative',' positive'}
@data
0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,' negativ
1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,' negativ
2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,' negativ
3,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,' negativ
4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
5,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,' negativ
6,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,' negativ
7,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,' negativ
8,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,' negativ
9,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,' negativ
10,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,' negativ
11,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,' negativ
12,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
13,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
14,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,' negativ
15,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,' negativ
16,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,' negativ
17,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,' negativ
18,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,' negativ
19,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
20,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
21,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,' negativ
22,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,' negativ
23,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,' negativ
24,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,' negativ
25,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,' negativ
26,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,' negativ
27,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,' negativ
28,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,' negativ
29,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,' negativ
30,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,' negativ
31,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,' negativ
32,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
