,0,1,2,3,4,5,6,7,8,9,Class
0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0, negative
1,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0, negative
2,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0, negative
3,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0, negative
4,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0, negative
5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0, negative
6,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0, negative
7,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0, negative
8,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0, negative
9,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0, negative
10,1.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0, negative
11,0.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0, negative
12,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0, negative
13,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0, negative
14,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0, negative
15,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0, negative
16,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0, negative
17,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0, negative
18,0.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0, negative
19,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0, negative
20,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0, negative
21,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0, negative
22,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0, negative
