@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD1_arff/kr-vs-k-zero_vs_fifteen/EWD1kr-vs-k-zero_vs_fifteen-5-4tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute Class {' negative'}
@data
0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
1,0.0,0.0,0.0,0.0,0.0,1.0,' negativ
2,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
3,0.0,0.0,0.0,0.0,0.0,1.0,' negativ
4,0.0,0.0,0.0,0.0,1.0,0.0,' negativ
5,0.0,0.0,0.0,0.0,1.0,1.0,' negativ
6,0.0,0.0,0.0,0.0,1.0,0.0,' negativ
7,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
8,0.0,0.0,0.0,0.0,0.0,1.0,' negativ
9,0.0,0.0,0.0,0.0,0.0,1.0,' negativ
10,0.0,0.0,0.0,0.0,0.0,1.0,' negativ
11,0.0,0.0,0.0,0.0,1.0,0.0,' negativ
12,0.0,0.0,0.0,0.0,1.0,1.0,' negativ
13,0.0,0.0,0.0,0.0,1.0,2.0,' negativ
14,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
15,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
16,0.0,0.0,0.0,0.0,2.0,2.0,' negativ
17,0.0,0.0,0.0,1.0,0.0,1.0,' negativ
18,0.0,0.0,0.0,1.0,0.0,1.0,' negativ
19,0.0,0.0,0.0,1.0,1.0,1.0,' negativ
20,0.0,0.0,0.0,1.0,1.0,2.0,' negativ
21,0.0,0.0,0.0,1.0,2.0,1.0,' negativ
22,0.0,0.0,0.0,1.0,2.0,1.0,' negativ
23,0.0,0.0,0.0,1.0,2.0,2.0,' negativ
24,0.0,0.0,0.0,2.0,1.0,0.0,' negativ
25,0.0,0.0,0.0,2.0,0.0,1.0,' negativ
26,0.0,0.0,0.0,2.0,0.0,0.0,' negativ
27,0.0,0.0,0.0,2.0,0.0,1.0,' negativ
28,0.0,0.0,0.0,2.0,0.0,1.0,' negativ
29,0.0,0.0,0.0,2.0,1.0,0.0,' negativ
30,0.0,0.0,0.0,2.0,1.0,1.0,' negativ
31,0.0,0.0,0.0,2.0,1.0,1.0,' negativ
32,0.0,0.0,0.0,2.0,1.0,2.0,' negativ
33,0.0,0.0,0.0,2.0,2.0,1.0,' negativ
34,0.0,0.0,0.0,2.0,2.0,1.0,' negativ
35,0.0,0.0,0.0,2.0,2.0,2.0,' negativ
36,0.0,0.0,0.0,2.0,1.0,0.0,' negativ
37,0.0,0.0,0.0,2.0,0.0,0.0,' negativ
38,0.0,0.0,0.0,2.0,0.0,0.0,' negativ
39,0.0,0.0,0.0,2.0,0.0,1.0,' negativ
40,0.0,0.0,0.0,2.0,1.0,0.0,' negativ
41,0.0,0.0,0.0,2.0,1.0,1.0,' negativ
42,0.0,0.0,0.0,2.0,1.0,1.0,' negativ
43,0.0,0.0,0.0,2.0,1.0,2.0,' negativ
44,0.0,0.0,0.0,2.0,2.0,1.0,' negativ
45,0.0,0.0,0.0,2.0,2.0,2.0,' negativ
46,0.0,0.0,0.0,2.0,2.0,2.0,' negativ
47,0.0,0.0,0.0,2.0,0.0,1.0,' negativ
48,0.0,0.0,0.0,2.0,0.0,0.0,' negativ
49,0.0,0.0,0.0,2.0,0.0,1.0,' negativ
