%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 10     Instances: 389
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute 'y' {' negative'}

@data
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,' negative'
1,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,' negative'
2,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,' negative'
3,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
4,0.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
5,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,' negative'
6,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,' negative'
7,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,' negative'
8,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
9,0.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,' negative'
10,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
11,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,' negative'
12,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,' negative'
13,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,' negative'
14,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,' negative'
15,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,' negative'
16,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,' negative'
17,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,' negative'
18,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,' negative'
19,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,' negative'
20,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,' negative'
21,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
22,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,' negative'
23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,' negative'
24,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,' negative'
25,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,' negative'
26,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,' negative'
27,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,' negative'
28,4.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,' negative'
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negative'
30,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,' negative'
31,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,' negative'
32,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
33,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,' negative'
34,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
35,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
36,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,' negative'
37,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,' negative'
38,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
39,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
40,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,' negative'
41,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,' negative'
42,4.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,' negative'
43,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,' negative'
44,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,' negative'
45,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negative'
47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,' negative'
48,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,' negative'
49,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,' negative'
50,2.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,' negative'
51,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,' negative'
52,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,' negative'
53,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
54,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
55,0.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
56,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,' negative'
57,2.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,' negative'
58,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,' negative'
59,2.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,' negative'
60,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
61,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,' negative'
62,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
63,0.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,' negative'
64,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,' negative'
65,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
66,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
67,0.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,' negative'
68,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,' negative'
69,0.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,' negative'
70,0.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,' negative'
71,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,' negative'
72,0.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,' negative'
73,0.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,' negative'
74,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,' negative'
75,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,' negative'
76,0.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,' negative'
77,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,' negative'
78,2.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,' negative'
79,0.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,' negative'
80,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,' negative'
81,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,' negative'
82,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,' negative'
83,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
84,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
85,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,' negative'
86,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,' negative'
87,0.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,' negative'
88,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,' negative'
89,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
90,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
91,4.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
92,0.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,' negative'
93,0.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,' negative'
94,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
95,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,' negative'
96,0.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,' negative'
97,2.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,' negative'
98,0.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,' negative'
99,2.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,' negative'
100,2.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,' negative'
101,2.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,' negative'
102,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
103,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,' negative'
104,0.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,' negative'
105,2.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,' negative'
106,0.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,' negative'
107,0.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,' negative'
108,0.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,' negative'
109,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,' negative'
110,0.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,' negative'
111,0.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,' negative'
112,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
113,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
114,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,' negative'
115,4.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,' negative'
116,0.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,' negative'
117,0.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
118,0.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,' negative'
119,2.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,' negative'
120,0.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,' negative'
121,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,' negative'
122,0.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,' negative'
123,2.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,' negative'
124,2.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,' negative'
125,0.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,' negative'
126,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,' negative'
127,0.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,' negative'
128,2.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,' negative'
129,0.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,' negative'
130,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,' negative'
131,0.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
132,0.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,' negative'
133,0.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,' negative'
134,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,' negative'
135,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
136,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,' negative'
137,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,' negative'
138,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
139,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
140,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
141,0.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,' negative'
142,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,' negative'
143,0.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,' negative'
144,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,' negative'
145,0.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,' negative'
146,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,' negative'
147,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
