%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 10     Instances: 860
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute 'y' {' negative',' positive'}

@data
0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
1,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,' negative'
2,0.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,' negative'
3,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,' negative'
4,0.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,' negative'
5,2.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,' negative'
6,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,' negative'
7,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
8,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negative'
9,2.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,' negative'
10,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,' negative'
11,2.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,' negative'
12,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,' negative'
13,0.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,' negative'
14,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
15,2.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,' negative'
16,0.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
17,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,' negative'
18,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
19,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
20,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,' negative'
21,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,' negative'
22,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
23,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,' negative'
24,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
25,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negative'
26,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,' negative'
27,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negative'
28,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,' negative'
29,2.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,' positive'
30,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
31,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
32,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negative'
33,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
34,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,' negative'
35,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,' negative'
36,0.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,' negative'
37,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,' negative'
38,0.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,' negative'
39,0.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,' negative'
40,2.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,' negative'
41,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,' negative'
42,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
43,0.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,' negative'
44,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,' negative'
45,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
46,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,' negative'
47,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
48,0.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,' negative'
49,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,' negative'
50,2.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,' negative'
51,0.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,' negative'
52,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negative'
53,0.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,' negative'
54,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
55,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negative'
56,0.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,' negative'
57,2.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,' negative'
58,0.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,' negative'
59,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
60,2.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,' negative'
61,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,' negative'
62,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,' negative'
63,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,' negative'
64,2.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,' negative'
65,2.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,' positive'
66,2.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
67,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
68,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
69,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,' negative'
70,2.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,' negative'
71,2.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,' negative'
72,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,' negative'
73,0.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,' negative'
74,0.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,' negative'
75,2.0,4.0,3.0,4.0,2.0,1.0,3.0,1.0,' negative'
76,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,' negative'
77,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,' negative'
78,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,' negative'
79,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
80,2.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,' negative'
81,4.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,' negative'
82,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,' negative'
83,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,' negative'
84,0.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,' negative'
85,0.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,' negative'
86,0.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,' negative'
87,0.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,' negative'
88,0.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,' negative'
89,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
90,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,' negative'
91,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,' negative'
92,2.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,' negative'
93,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,' positive'
94,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negative'
95,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,' negative'
96,0.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,' negative'
97,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,' negative'
98,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,' negative'
99,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
100,2.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,' negative'
101,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
102,2.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,' negative'
103,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,' negative'
104,0.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,' negative'
105,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
106,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
107,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,' negative'
108,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negative'
109,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,' negative'
110,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negative'
111,4.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,' negative'
112,4.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,' negative'
113,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
114,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negative'
115,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negative'
116,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,' negative'
117,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
118,4.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,' negative'
