%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 9     Instances: 61
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute 'y' {' negative',' positive'}

@data
0,1.0,1.0,4.0,0.0,3.0,1.0,1.0,' negative'
1,1.0,1.0,4.0,0.0,3.0,1.0,1.0,' negative'
2,1.0,2.0,4.0,0.0,3.0,0.0,1.0,' negative'
3,1.0,0.0,4.0,0.0,3.0,1.0,2.0,' negative'
4,1.0,3.0,4.0,0.0,2.0,2.0,2.0,' negative'
5,2.0,2.0,4.0,0.0,3.0,1.0,1.0,' negative'
6,0.0,0.0,4.0,0.0,3.0,2.0,2.0,' negative'
7,3.0,2.0,4.0,0.0,3.0,1.0,2.0,' negative'
8,2.0,0.0,4.0,0.0,2.0,1.0,2.0,' negative'
9,0.0,0.0,4.0,0.0,3.0,1.0,1.0,' negative'
10,1.0,2.0,4.0,0.0,3.0,2.0,3.0,' negative'
11,2.0,3.0,4.0,0.0,2.0,2.0,3.0,' negative'
12,1.0,1.0,4.0,0.0,2.0,1.0,1.0,' negative'
13,1.0,0.0,4.0,0.0,2.0,1.0,2.0,' negative'
14,2.0,0.0,4.0,0.0,3.0,1.0,1.0,' negative'
15,2.0,3.0,4.0,0.0,3.0,2.0,2.0,' negative'
16,1.0,3.0,4.0,0.0,4.0,1.0,2.0,' negative'
17,2.0,2.0,4.0,0.0,2.0,1.0,2.0,' negative'
18,3.0,4.0,4.0,0.0,3.0,1.0,2.0,' negative'
19,1.0,2.0,4.0,0.0,0.0,1.0,2.0,' negative'
20,2.0,2.0,4.0,0.0,3.0,0.0,0.0,' negative'
21,2.0,2.0,4.0,0.0,2.0,0.0,1.0,' negative'
22,1.0,2.0,4.0,0.0,3.0,1.0,1.0,' negative'
23,0.0,1.0,4.0,0.0,2.0,1.0,2.0,' negative'
24,3.0,2.0,4.0,0.0,3.0,1.0,2.0,' negative'
25,0.0,2.0,4.0,0.0,2.0,1.0,2.0,' negative'
26,1.0,0.0,4.0,0.0,4.0,1.0,2.0,' negative'
27,2.0,2.0,4.0,0.0,3.0,2.0,3.0,' negative'
28,1.0,2.0,4.0,0.0,2.0,2.0,2.0,' negative'
29,3.0,3.0,4.0,0.0,3.0,4.0,4.0,' negative'
30,2.0,0.0,4.0,0.0,4.0,4.0,4.0,' negative'
31,4.0,2.0,4.0,0.0,3.0,3.0,0.0,' negative'
32,3.0,0.0,4.0,0.0,4.0,4.0,4.0,' negative'
33,1.0,0.0,4.0,0.0,3.0,4.0,4.0,' negative'
34,4.0,2.0,4.0,0.0,3.0,4.0,4.0,' negative'
35,3.0,0.0,4.0,0.0,4.0,0.0,4.0,' negative'
36,3.0,3.0,4.0,0.0,4.0,3.0,3.0,' negative'
37,0.0,0.0,0.0,0.0,3.0,4.0,0.0,' negative'
38,4.0,3.0,4.0,0.0,3.0,4.0,4.0,' negative'
39,3.0,2.0,4.0,0.0,3.0,4.0,4.0,' negative'
40,1.0,2.0,4.0,0.0,0.0,4.0,4.0,' negative'
41,3.0,3.0,4.0,0.0,4.0,4.0,4.0,' negative'
42,2.0,3.0,4.0,0.0,2.0,4.0,1.0,' negative'
43,1.0,2.0,4.0,0.0,2.0,4.0,0.0,' negative'
44,0.0,3.0,4.0,0.0,3.0,2.0,2.0,' negative'
45,3.0,4.0,4.0,0.0,3.0,2.0,1.0,' negative'
46,3.0,4.0,4.0,0.0,0.0,0.0,2.0,' negative'
47,3.0,4.0,4.0,0.0,2.0,2.0,1.0,' negative'
48,3.0,4.0,4.0,0.0,2.0,2.0,0.0,' negative'
49,3.0,4.0,4.0,0.0,2.0,0.0,1.0,' negative'
50,3.0,3.0,4.0,0.0,3.0,2.0,2.0,' negative'
51,3.0,4.0,4.0,0.0,4.0,2.0,2.0,' negative'
52,3.0,3.0,4.0,0.0,3.0,1.0,1.0,' negative'
53,4.0,4.0,4.0,0.0,2.0,2.0,2.0,' negative'
54,3.0,3.0,0.0,0.0,3.0,3.0,1.0,' positive'
55,3.0,3.0,0.0,0.0,4.0,3.0,0.0,' positive'
56,4.0,3.0,4.0,0.0,3.0,2.0,1.0,' positive'
57,3.0,3.0,4.0,0.0,3.0,4.0,4.0,' positive'
58,4.0,3.0,0.0,0.0,2.0,3.0,0.0,' positive'
59,3.0,2.0,0.0,0.0,3.0,3.0,0.0,' positive'
60,3.0,3.0,0.0,0.0,4.0,3.0,1.0,' positive'
