%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 11     Instances: 56
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute '8' numeric
@attribute 'y' {' negative',' positive'}

@data
0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,' negative'
1,1.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,' negative'
2,1.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,' negative'
3,2.0,1.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,' negative'
4,3.0,4.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,' negative'
5,2.0,3.0,4.0,1.0,2.0,1.0,1.0,0.0,2.0,' negative'
6,2.0,4.0,0.0,2.0,3.0,4.0,0.0,4.0,0.0,' negative'
7,2.0,2.0,4.0,0.0,2.0,1.0,1.0,0.0,2.0,' negative'
8,3.0,3.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,' negative'
9,1.0,2.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,' negative'
10,4.0,3.0,4.0,0.0,2.0,0.0,2.0,0.0,1.0,' negative'
11,2.0,2.0,0.0,2.0,3.0,1.0,3.0,0.0,0.0,' negative'
12,2.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,' negative'
13,2.0,3.0,4.0,1.0,2.0,1.0,1.0,0.0,4.0,' negative'
14,2.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,' negative'
15,1.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,' negative'
16,1.0,3.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,' negative'
17,2.0,2.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,' negative'
18,2.0,2.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,' negative'
19,3.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,0.0,' negative'
20,1.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,' positive'
21,1.0,3.0,2.0,4.0,0.0,4.0,0.0,3.0,0.0,' negative'
22,2.0,3.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,' positive'
23,3.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,' negative'
24,2.0,3.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,' negative'
25,1.0,4.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,' negative'
26,1.0,3.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,' negative'
27,3.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,' negative'
28,1.0,4.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,' negative'
29,1.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,' negative'
30,1.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,3.0,' negative'
31,3.0,4.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,' positive'
32,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,' negative'
33,0.0,3.0,3.0,2.0,3.0,4.0,0.0,2.0,0.0,' negative'
34,3.0,3.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,' negative'
35,1.0,2.0,4.0,1.0,3.0,1.0,1.0,0.0,3.0,' negative'
36,2.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,' negative'
37,2.0,1.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,' negative'
38,2.0,1.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,' negative'
39,1.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,2.0,' negative'
40,3.0,4.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,' negative'
41,1.0,2.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,' negative'
42,2.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,' positive'
43,2.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,' positive'
44,2.0,3.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,' positive'
45,2.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,' positive'
46,1.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,' positive'
47,3.0,3.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,' positive'
48,1.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,' positive'
49,1.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,' positive'
50,1.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,' positive'
51,3.0,3.0,4.0,0.0,1.0,0.0,2.0,0.0,4.0,' positive'
52,1.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,2.0,' positive'
53,1.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,' positive'
54,1.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,' positive'
55,2.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,' positive'
