,0,1,2,3,4,5,6,7,8,9,Class
0,3.0,4.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,4.0, negative
1,1.0,4.0,3.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0, negative
2,1.0,2.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,2.0, negative
3,1.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0, negative
4,3.0,4.0,3.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0, negative
5,1.0,4.0,4.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0, negative
6,3.0,3.0,1.0,3.0,4.0,4.0,0.0,3.0,3.0,4.0, negative
7,0.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0, negative
8,3.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0, negative
9,0.0,0.0,3.0,0.0,1.0,0.0,4.0,4.0,3.0,4.0, negative
10,3.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0, negative
11,3.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,0.0,2.0, negative
12,4.0,3.0,0.0,3.0,3.0,3.0,0.0,4.0,1.0,4.0, negative
13,1.0,4.0,3.0,4.0,4.0,4.0,0.0,4.0,3.0,4.0, negative
14,4.0,2.0,3.0,4.0,3.0,2.0,0.0,2.0,1.0,4.0, negative
15,0.0,2.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0, negative
16,0.0,2.0,0.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0, negative
17,0.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0, negative
18,4.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,3.0,2.0, negative
19,0.0,1.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,1.0, negative
20,0.0,2.0,3.0,4.0,4.0,4.0,0.0,4.0,4.0,2.0, negative
21,1.0,2.0,4.0,2.0,0.0,4.0,4.0,4.0,3.0,2.0, negative
22,1.0,1.0,0.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0, negative
23,0.0,2.0,3.0,0.0,1.0,2.0,4.0,2.0,4.0,0.0, negative
24,3.0,3.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0, negative
25,1.0,2.0,3.0,2.0,1.0,4.0,4.0,2.0,0.0,4.0, negative
26,4.0,0.0,4.0,4.0,3.0,4.0,1.0,0.0,3.0,0.0, negative
27,4.0,3.0,3.0,0.0,1.0,3.0,3.0,3.0,4.0,0.0, negative
28,3.0,2.0,4.0,2.0,0.0,4.0,1.0,2.0,4.0,4.0, negative
29,0.0,4.0,1.0,1.0,0.0,1.0,4.0,4.0,3.0,4.0, negative
30,4.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0, negative
31,3.0,2.0,4.0,2.0,3.0,0.0,0.0,2.0,4.0,0.0, negative
32,1.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,0.0,2.0, negative
33,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0, negative
34,0.0,4.0,4.0,2.0,0.0,2.0,3.0,4.0,3.0,2.0, negative
35,4.0,0.0,0.0,3.0,4.0,3.0,1.0,3.0,0.0,0.0, negative
36,3.0,4.0,4.0,1.0,0.0,4.0,1.0,4.0,0.0,1.0, negative
37,0.0,4.0,1.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0, negative
38,4.0,4.0,0.0,4.0,3.0,1.0,1.0,4.0,0.0,1.0, negative
39,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0, negative
40,0.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,4.0,0.0, negative
41,4.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,3.0,2.0, negative
42,3.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0, negative
43,4.0,0.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,0.0, negative
44,4.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0, negative
45,4.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0, negative
46,3.0,3.0,0.0,1.0,4.0,1.0,3.0,1.0,4.0,3.0, negative
47,1.0,2.0,3.0,2.0,0.0,3.0,4.0,3.0,4.0,2.0, negative
48,4.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,4.0,3.0, negative
49,4.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,3.0,1.0, negative
50,4.0,4.0,0.0,2.0,1.0,4.0,0.0,4.0,1.0,2.0, negative
51,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0, negative
52,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0, negative
53,0.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,1.0,3.0, negative
54,3.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0, negative
55,4.0,0.0,4.0,4.0,0.0,4.0,1.0,4.0,0.0,0.0, negative
56,3.0,2.0,4.0,2.0,4.0,0.0,3.0,0.0,0.0,2.0, negative
57,3.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0, negative
58,3.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0, negative
59,4.0,4.0,1.0,3.0,3.0,3.0,0.0,4.0,3.0,4.0, negative
60,3.0,3.0,4.0,2.0,4.0,3.0,1.0,2.0,0.0,2.0, negative
61,4.0,3.0,1.0,3.0,4.0,0.0,3.0,3.0,0.0,0.0, negative
62,1.0,2.0,3.0,2.0,0.0,2.0,4.0,3.0,1.0,3.0, negative
63,4.0,3.0,0.0,3.0,1.0,3.0,3.0,3.0,0.0,3.0, negative
64,0.0,2.0,4.0,3.0,4.0,2.0,0.0,3.0,1.0,3.0, negative
65,1.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0, negative
66,3.0,2.0,0.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0, negative
67,4.0,2.0,0.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0, negative
68,4.0,1.0,3.0,1.0,4.0,0.0,1.0,1.0,3.0,0.0, negative
69,4.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0, negative
70,0.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0, negative
71,3.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0, negative
72,4.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0, negative
73,1.0,1.0,4.0,1.0,0.0,1.0,4.0,3.0,3.0,3.0, negative
74,1.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0, negative
75,4.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0,1.0,0.0, negative
76,3.0,2.0,1.0,4.0,3.0,4.0,1.0,2.0,4.0,2.0, negative
77,0.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0, negative
78,1.0,1.0,0.0,3.0,3.0,1.0,4.0,3.0,4.0,1.0, negative
79,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0, negative
80,4.0,4.0,3.0,4.0,1.0,4.0,3.0,2.0,1.0,2.0, negative
81,0.0,0.0,3.0,0.0,4.0,4.0,1.0,0.0,3.0,4.0, negative
82,1.0,2.0,3.0,2.0,0.0,2.0,0.0,3.0,4.0,3.0, negative
83,4.0,3.0,3.0,3.0,0.0,4.0,4.0,4.0,1.0,4.0, negative
84,0.0,2.0,1.0,0.0,3.0,2.0,1.0,2.0,4.0,0.0, negative
85,1.0,2.0,4.0,4.0,0.0,4.0,4.0,2.0,3.0,2.0, negative
86,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0, negative
87,1.0,1.0,0.0,1.0,3.0,1.0,0.0,4.0,3.0,4.0, negative
88,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0, negative
89,4.0,4.0,0.0,4.0,1.0,2.0,3.0,4.0,0.0,2.0, negative
90,3.0,2.0,1.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0, negative
91,0.0,2.0,1.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0, negative
92,1.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0, negative
93,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,4.0,1.0, negative
94,4.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,3.0, negative
95,3.0,3.0,1.0,3.0,0.0,3.0,0.0,4.0,1.0,4.0, negative
96,0.0,0.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,3.0, negative
97,1.0,4.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0, negative
98,1.0,3.0,4.0,3.0,0.0,3.0,1.0,2.0,3.0,2.0, negative
99,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0, negative
100,4.0,3.0,1.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0, negative
101,4.0,3.0,1.0,3.0,0.0,4.0,3.0,4.0,0.0,3.0, negative
102,3.0,4.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0, negative
103,3.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,0.0,3.0, negative
104,4.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0, negative
105,4.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,4.0, negative
106,0.0,2.0,1.0,2.0,0.0,4.0,3.0,2.0,1.0,4.0, negative
107,3.0,0.0,4.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0, negative
108,4.0,2.0,1.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0, negative
109,3.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,3.0,2.0, negative
110,3.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0, negative
111,1.0,1.0,4.0,1.0,4.0,2.0,3.0,1.0,3.0,2.0, negative
112,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0, negative
113,4.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0, negative
114,1.0,1.0,0.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0, negative
115,0.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0, negative
116,0.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0, negative
117,0.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0, negative
118,3.0,2.0,3.0,4.0,1.0,2.0,0.0,2.0,1.0,4.0, negative
119,0.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0, negative
120,1.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,0.0, negative
121,0.0,1.0,1.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0, negative
122,3.0,2.0,1.0,2.0,0.0,2.0,4.0,2.0,0.0,2.0, negative
123,1.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0, negative
124,4.0,3.0,1.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0, negative
125,0.0,1.0,3.0,4.0,0.0,4.0,1.0,4.0,3.0,1.0, negative
126,0.0,2.0,3.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0, negative
127,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0, negative
128,4.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0, negative
129,4.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0, negative
130,3.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,0.0,4.0, negative
131,4.0,4.0,3.0,2.0,3.0,4.0,0.0,2.0,1.0,4.0, negative
