%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 12     Instances: 1167
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute '8' numeric
@attribute '9' numeric
@attribute 'y' {' negative'}

@data
0,3.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,' negative'
1,3.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,4.0,0.0,' negative'
2,4.0,4.0,1.0,4.0,4.0,2.0,3.0,2.0,0.0,4.0,' negative'
3,1.0,3.0,3.0,4.0,3.0,3.0,0.0,4.0,0.0,3.0,' negative'
4,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,' negative'
5,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,' negative'
6,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,' negative'
7,3.0,3.0,4.0,3.0,1.0,3.0,0.0,4.0,3.0,4.0,' negative'
8,3.0,4.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,4.0,' negative'
9,1.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,4.0,0.0,' negative'
10,4.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,' negative'
11,1.0,4.0,3.0,0.0,3.0,4.0,4.0,0.0,0.0,4.0,' negative'
12,0.0,4.0,0.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,' negative'
13,1.0,3.0,0.0,3.0,4.0,4.0,3.0,3.0,1.0,4.0,' negative'
14,3.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,2.0,' negative'
15,3.0,4.0,3.0,3.0,0.0,3.0,4.0,4.0,1.0,3.0,' negative'
16,1.0,4.0,3.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,' negative'
17,4.0,4.0,3.0,4.0,3.0,4.0,0.0,4.0,4.0,4.0,' negative'
18,1.0,2.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,2.0,' negative'
19,1.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,' negative'
20,0.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,' negative'
21,3.0,4.0,3.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,' negative'
22,3.0,3.0,1.0,2.0,0.0,2.0,4.0,3.0,4.0,2.0,' negative'
23,0.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,' negative'
24,0.0,4.0,3.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,' negative'
25,4.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,0.0,' negative'
26,1.0,0.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,' negative'
27,4.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,' negative'
28,3.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,' negative'
29,3.0,4.0,0.0,4.0,1.0,3.0,4.0,4.0,0.0,3.0,' negative'
30,0.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,1.0,3.0,' negative'
31,3.0,0.0,1.0,4.0,3.0,4.0,0.0,0.0,0.0,4.0,' negative'
32,3.0,4.0,0.0,4.0,3.0,3.0,1.0,4.0,1.0,3.0,' negative'
33,3.0,4.0,4.0,4.0,1.0,4.0,1.0,0.0,4.0,0.0,' negative'
34,3.0,0.0,1.0,0.0,3.0,3.0,1.0,3.0,4.0,0.0,' negative'
35,0.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,0.0,2.0,' negative'
36,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,' negative'
37,4.0,4.0,0.0,4.0,1.0,4.0,0.0,4.0,4.0,4.0,' negative'
38,4.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,' negative'
39,3.0,4.0,4.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,' negative'
40,1.0,4.0,4.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,' negative'
41,4.0,4.0,4.0,2.0,1.0,2.0,1.0,4.0,0.0,2.0,' negative'
42,3.0,3.0,1.0,3.0,4.0,4.0,0.0,3.0,3.0,4.0,' negative'
43,0.0,4.0,4.0,4.0,3.0,4.0,1.0,2.0,0.0,2.0,' negative'
44,4.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,2.0,' negative'
45,0.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,' negative'
46,3.0,4.0,0.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,' negative'
47,3.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,' negative'
48,0.0,0.0,3.0,0.0,1.0,0.0,4.0,4.0,3.0,4.0,' negative'
49,1.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,4.0,0.0,' negative'
50,3.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,4.0,1.0,' negative'
51,3.0,4.0,1.0,4.0,0.0,4.0,1.0,3.0,3.0,3.0,' negative'
52,0.0,0.0,4.0,2.0,3.0,0.0,1.0,2.0,4.0,0.0,' negative'
53,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,' negative'
54,4.0,3.0,3.0,4.0,4.0,4.0,0.0,3.0,3.0,3.0,' negative'
55,3.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,' negative'
56,1.0,0.0,4.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,' negative'
57,3.0,3.0,0.0,4.0,4.0,4.0,1.0,3.0,0.0,3.0,' negative'
58,1.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,' negative'
59,0.0,0.0,4.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,' negative'
60,3.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,0.0,2.0,' negative'
61,4.0,3.0,0.0,3.0,3.0,3.0,0.0,4.0,1.0,4.0,' negative'
62,3.0,1.0,4.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,' negative'
63,0.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,' negative'
64,1.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,0.0,3.0,' negative'
65,0.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,' negative'
66,1.0,4.0,3.0,4.0,4.0,4.0,0.0,4.0,3.0,4.0,' negative'
67,4.0,2.0,3.0,4.0,3.0,2.0,0.0,2.0,1.0,4.0,' negative'
68,3.0,3.0,0.0,4.0,1.0,3.0,3.0,4.0,1.0,4.0,' negative'
69,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,' negative'
70,4.0,3.0,1.0,3.0,3.0,2.0,0.0,2.0,0.0,3.0,' negative'
