,0,1,2,3,4,5,6,7,Class
0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
1,1.0,2.0,2.0,4.0,0.0,0.0,3.0,0.0, negative
2,2.0,1.0,4.0,2.0,0.0,0.0,3.0,0.0, negative
3,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0, negative
4,1.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0, negative
5,1.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0, negative
6,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0, negative
7,1.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
8,1.0,3.0,2.0,3.0,0.0,0.0,3.0,0.0, negative
9,1.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0, negative
10,2.0,1.0,2.0,3.0,0.0,0.0,4.0,1.0, negative
11,2.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0, negative
12,3.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0, negative
13,2.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0, negative
14,1.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0, negative
15,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0, negative
16,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0, negative
17,2.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
18,1.0,2.0,2.0,4.0,0.0,0.0,3.0,0.0, negative
19,1.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0, negative
20,2.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0, negative
21,1.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0, negative
22,1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0, negative
23,2.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0, negative
24,1.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0, negative
25,2.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
26,3.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0, negative
27,3.0,2.0,2.0,2.0,0.0,0.0,4.0,1.0, negative
28,2.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0, negative
29,1.0,1.0,2.0,4.0,0.0,0.0,3.0,0.0, negative
30,2.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0, negative
31,2.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0, negative
32,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0, negative
33,2.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0, negative
34,2.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0, negative
35,1.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
36,1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0, negative
37,2.0,2.0,2.0,3.0,0.0,0.0,3.0,0.0, negative
38,1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0, negative
39,1.0,1.0,2.0,2.0,0.0,3.0,3.0,0.0, negative
40,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
41,1.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0, negative
42,1.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0, negative
43,2.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
44,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0, negative
45,2.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0, negative
46,2.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0, negative
47,2.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0, negative
48,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0, negative
49,1.0,1.0,2.0,3.0,0.0,0.0,4.0,0.0, negative
50,1.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0, negative
51,1.0,2.0,2.0,3.0,0.0,0.0,3.0,0.0, negative
52,1.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0, negative
53,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0, negative
54,1.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0, negative
55,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0, negative
56,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
57,2.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0, negative
58,1.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
59,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0, negative
60,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
61,2.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
62,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0, negative
63,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0, negative
64,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
65,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0, negative
66,1.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0, negative
67,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0, negative
68,1.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0, negative
69,1.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0, negative
70,2.0,2.0,2.0,1.0,0.0,0.0,4.0,1.0, negative
71,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
72,2.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0, negative
73,1.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
74,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
75,2.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0, negative
76,2.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0, negative
77,2.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
78,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
79,0.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
80,2.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0, negative
81,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
82,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
83,2.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
84,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
85,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0, negative
86,2.0,1.0,2.0,1.0,4.0,0.0,2.0,0.0, negative
87,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0, negative
88,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
89,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0, negative
90,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
91,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
92,3.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0, negative
93,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
94,1.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0, negative
95,2.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0, negative
96,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
97,2.0,1.0,2.0,3.0,0.0,0.0,3.0,1.0, negative
98,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
99,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0, negative
100,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
101,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
102,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0, negative
103,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0, negative
104,2.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
105,2.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0, negative
106,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0, negative
107,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0, negative
108,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0, negative
109,2.0,2.0,3.0,2.0,0.0,0.0,3.0,0.0, negative
110,2.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
111,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
112,1.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
113,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0, negative
114,1.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0, negative
115,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
116,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
117,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0, negative
118,2.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0, negative
119,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
120,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0, negative
121,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0, negative
122,1.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0, negative
123,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0, negative
124,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0, negative
125,2.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0, negative
126,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0, negative
127,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0, negative
128,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
129,1.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0, negative
130,1.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0, negative
131,1.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0, negative
132,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0, negative
133,2.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0, negative
134,2.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
135,1.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0, negative
136,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0, negative
137,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0, negative
138,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0, negative
