%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 10     Instances: 279
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute 'y' {' negative',' positive'}

@data
0,2.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,' negative'
1,2.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
2,1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,' negative'
3,1.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
4,2.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0,' negative'
5,1.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,' negative'
6,1.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,' negative'
7,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,' negative'
8,1.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,' negative'
9,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,' negative'
10,1.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,' negative'
11,1.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
12,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,' negative'
13,1.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
14,3.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,' negative'
15,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negative'
16,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,' negative'
17,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,' negative'
18,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,' negative'
19,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,' negative'
20,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,' negative'
21,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,' negative'
22,2.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,' negative'
23,0.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
24,1.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
25,2.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
26,2.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,' negative'
27,3.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,' negative'
28,1.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0,' negative'
29,2.0,2.0,1.0,3.0,0.0,0.0,3.0,2.0,' negative'
30,1.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
31,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,' negative'
32,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,' negative'
33,1.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,' negative'
34,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,' negative'
35,1.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
36,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,' negative'
37,1.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,' negative'
38,2.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
39,1.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,' negative'
40,2.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,' negative'
41,1.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,' negative'
42,2.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,' negative'
43,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,' negative'
44,1.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,' negative'
45,2.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
46,1.0,2.0,1.0,4.0,0.0,0.0,3.0,1.0,' negative'
47,1.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,' negative'
48,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negative'
49,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negative'
50,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,' negative'
51,0.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,' negative'
52,2.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,' negative'
53,1.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,' negative'
54,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negative'
55,2.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,' negative'
56,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negative'
57,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,' negative'
