@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD2_arff/ecoli-0_vs_1/EWD2ecoli-0_vs_1-5-4tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute Class {' negative',' positive'}
@data
0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,' positiv
1,1.0,1.0,0.0,0.0,2.0,1.0,1.0,' positiv
2,1.0,2.0,0.0,0.0,2.0,2.0,2.0,' positiv
3,2.0,2.0,0.0,0.0,1.0,1.0,1.0,' positiv
4,2.0,3.0,0.0,0.0,2.0,0.0,1.0,' positiv
5,2.0,0.0,0.0,0.0,4.0,0.0,0.0,' positiv
6,1.0,2.0,0.0,0.0,2.0,1.0,2.0,' positiv
7,2.0,1.0,0.0,0.0,3.0,1.0,2.0,' positiv
8,3.0,1.0,0.0,0.0,2.0,1.0,1.0,' positiv
9,2.0,1.0,0.0,0.0,1.0,1.0,2.0,' positiv
10,3.0,2.0,0.0,0.0,1.0,1.0,2.0,' positiv
11,2.0,3.0,0.0,0.0,2.0,1.0,2.0,' positiv
12,2.0,1.0,0.0,0.0,3.0,1.0,2.0,' positiv
13,2.0,3.0,0.0,0.0,2.0,2.0,1.0,' positiv
14,1.0,3.0,0.0,0.0,1.0,2.0,2.0,' positiv
15,2.0,1.0,0.0,0.0,1.0,1.0,2.0,' positiv
16,3.0,3.0,0.0,0.0,2.0,2.0,2.0,' positiv
17,2.0,1.0,0.0,0.0,2.0,1.0,1.0,' positiv
18,2.0,1.0,0.0,0.0,2.0,1.0,2.0,' positiv
19,3.0,2.0,0.0,0.0,1.0,1.0,2.0,' positiv
20,3.0,2.0,0.0,0.0,0.0,1.0,1.0,' positiv
21,2.0,2.0,0.0,0.0,3.0,1.0,2.0,' positiv
22,2.0,2.0,0.0,0.0,2.0,1.0,1.0,' positiv
23,2.0,2.0,0.0,0.0,1.0,1.0,1.0,' positiv
24,2.0,2.0,0.0,0.0,3.0,0.0,1.0,' positiv
25,2.0,2.0,0.0,0.0,2.0,1.0,2.0,' positiv
26,1.0,1.0,0.0,0.0,2.0,0.0,1.0,' positiv
27,2.0,2.0,0.0,0.0,3.0,3.0,3.0,' negativ
28,3.0,1.0,0.0,0.0,4.0,3.0,3.0,' negativ
29,4.0,1.0,0.0,0.0,3.0,4.0,4.0,' negativ
30,4.0,2.0,0.0,0.0,3.0,3.0,3.0,' negativ
31,3.0,3.0,0.0,0.0,3.0,4.0,4.0,' negativ
32,4.0,3.0,0.0,0.0,3.0,3.0,3.0,' negativ
33,4.0,2.0,0.0,0.0,3.0,4.0,4.0,' negativ
34,4.0,4.0,0.0,0.0,4.0,3.0,3.0,' negativ
35,4.0,3.0,0.0,0.0,3.0,3.0,2.0,' negativ
36,3.0,1.0,0.0,0.0,3.0,4.0,4.0,' negativ
37,2.0,2.0,0.0,0.0,2.0,3.0,4.0,' negativ
38,3.0,2.0,0.0,0.0,3.0,3.0,3.0,' negativ
39,4.0,1.0,0.0,0.0,3.0,3.0,3.0,' negativ
40,3.0,3.0,0.0,0.0,1.0,3.0,1.0,' negativ
41,4.0,4.0,0.0,0.0,4.0,3.0,3.0,' negativ
42,4.0,3.0,0.0,0.0,4.0,4.0,4.0,' negativ
43,0.0,2.0,0.0,0.0,3.0,1.0,2.0,' positiv
44,3.0,2.0,0.0,0.0,2.0,1.0,2.0,' positiv
45,3.0,2.0,0.0,0.0,3.0,2.0,1.0,' positiv
46,4.0,1.0,0.0,0.0,1.0,1.0,2.0,' positiv
47,1.0,1.0,0.0,0.0,3.0,1.0,1.0,' positiv
48,1.0,2.0,0.0,0.0,2.0,2.0,2.0,' positiv
49,2.0,2.0,0.0,0.0,3.0,0.0,1.0,' positiv
50,2.0,0.0,0.0,0.0,3.0,1.0,1.0,' positiv
51,1.0,2.0,0.0,0.0,2.0,0.0,1.0,' positiv
52,2.0,1.0,0.0,0.0,2.0,1.0,1.0,' positiv
53,3.0,2.0,0.0,0.0,2.0,1.0,1.0,' positiv
54,1.0,2.0,0.0,0.0,2.0,0.0,1.0,' positiv
55,2.0,0.0,0.0,0.0,3.0,2.0,2.0,' positiv
56,1.0,2.0,0.0,0.0,2.0,1.0,1.0,' positiv
57,2.0,2.0,0.0,0.0,1.0,0.0,0.0,' positiv
58,3.0,3.0,0.0,0.0,2.0,1.0,2.0,' positiv
59,2.0,0.0,0.0,0.0,3.0,0.0,1.0,' positiv
60,2.0,1.0,0.0,0.0,2.0,0.0,1.0,' positiv
61,1.0,1.0,0.0,0.0,2.0,2.0,2.0,' positiv
62,1.0,2.0,0.0,0.0,2.0,1.0,2.0,' positiv
63,2.0,1.0,0.0,0.0,2.0,1.0,2.0,' positiv
64,2.0,1.0,0.0,0.0,2.0,1.0,2.0,' positiv
65,1.0,1.0,0.0,0.0,1.0,0.0,1.0,' positiv
66,1.0,3.0,0.0,0.0,2.0,1.0,1.0,' positiv
67,4.0,2.0,0.0,0.0,3.0,1.0,2.0,' positiv
68,2.0,2.0,0.0,0.0,1.0,1.0,1.0,' positiv
69,2.0,2.0,0.0,0.0,2.0,0.0,1.0,' positiv
