@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD2_arff/shuttle-2_vs_5/EWD2shuttle-2_vs_5-5-4tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute Class {' negative',' positive'}
@data
0,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
1,2.0,0.0,3.0,4.0,1.0,0.0,2.0,3.0,3.0,' negativ
2,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
3,2.0,0.0,3.0,4.0,1.0,0.0,3.0,3.0,3.0,' negativ
4,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
5,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
6,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
7,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
8,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
9,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
10,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
11,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
12,2.0,0.0,3.0,4.0,1.0,0.0,2.0,3.0,3.0,' negativ
13,2.0,0.0,3.0,4.0,1.0,0.0,3.0,3.0,3.0,' negativ
14,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
15,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
16,2.0,0.0,3.0,4.0,1.0,0.0,2.0,3.0,3.0,' negativ
17,2.0,0.0,3.0,4.0,1.0,0.0,2.0,3.0,3.0,' negativ
18,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
19,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
20,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
21,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
22,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
23,2.0,0.0,3.0,4.0,1.0,0.0,3.0,3.0,3.0,' negativ
24,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
25,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
26,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
27,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
28,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
29,2.0,0.0,3.0,4.0,1.0,0.0,2.0,3.0,3.0,' negativ
30,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
31,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
32,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
33,2.0,0.0,3.0,4.0,1.0,0.0,3.0,3.0,3.0,' negativ
34,2.0,0.0,3.0,4.0,1.0,0.0,2.0,3.0,3.0,' negativ
35,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
36,2.0,0.0,3.0,4.0,1.0,0.0,3.0,3.0,3.0,' negativ
37,2.0,0.0,3.0,4.0,1.0,0.0,3.0,3.0,3.0,' negativ
38,2.0,0.0,3.0,4.0,1.0,0.0,3.0,3.0,3.0,' negativ
39,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
40,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
41,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
42,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
43,2.0,0.0,3.0,4.0,1.0,0.0,3.0,3.0,3.0,' negativ
44,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
45,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
46,2.0,0.0,3.0,4.0,1.0,0.0,2.0,3.0,3.0,' negativ
47,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
48,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
49,1.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
50,2.0,0.0,3.0,4.0,1.0,0.0,2.0,3.0,3.0,' negativ
51,2.0,0.0,3.0,4.0,0.0,0.0,2.0,4.0,4.0,' negativ
52,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
53,2.0,0.0,3.0,4.0,1.0,0.0,2.0,3.0,3.0,' negativ
54,2.0,0.0,3.0,4.0,1.0,0.0,3.0,3.0,3.0,' negativ
55,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
56,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
57,2.0,0.0,3.0,4.0,1.0,0.0,2.0,3.0,3.0,' negativ
58,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
59,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
60,2.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,4.0,' negativ
61,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
62,3.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,1.0,' negativ
63,2.0,0.0,3.0,4.0,1.0,0.0,2.0,3.0,3.0,' negativ
