@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD2_arff/shuttle-c2-vs-c4/EWD2shuttle-c2-vs-c4-5-1tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute Class {' negative',' positive'}
@data
0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,' positiv
1,3.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,4.0,' negativ
2,3.0,4.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,' negativ
3,4.0,4.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,' negativ
4,4.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,' negativ
5,4.0,4.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,' negativ
6,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,' negativ
7,4.0,4.0,4.0,1.0,4.0,2.0,0.0,0.0,1.0,' negativ
8,2.0,4.0,0.0,3.0,0.0,2.0,0.0,4.0,4.0,' negativ
9,3.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,' negativ
10,4.0,4.0,4.0,2.0,4.0,2.0,0.0,0.0,1.0,' negativ
11,4.0,4.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,' negativ
12,3.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,' negativ
13,3.0,4.0,1.0,1.0,0.0,2.0,0.0,4.0,4.0,' negativ
14,3.0,4.0,1.0,2.0,0.0,2.0,0.0,4.0,4.0,' negativ
15,3.0,4.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,' negativ
16,3.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0,3.0,' negativ
17,3.0,4.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,' negativ
18,3.0,4.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,' negativ
19,4.0,4.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,' negativ
20,3.0,4.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,' negativ
21,4.0,4.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,' negativ
22,3.0,4.0,0.0,1.0,0.0,2.0,0.0,4.0,4.0,' negativ
23,2.0,4.0,0.0,4.0,0.0,2.0,0.0,4.0,4.0,' negativ
24,2.0,4.0,0.0,4.0,0.0,2.0,0.0,4.0,4.0,' negativ
25,1.0,2.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,' positiv
26,2.0,2.0,4.0,1.0,4.0,1.0,4.0,0.0,0.0,' positiv
27,2.0,2.0,4.0,1.0,4.0,0.0,4.0,0.0,0.0,' positiv
28,0.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,0.0,' positiv
