@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD2_arff/winequality-white-3_vs_7/EWD2winequality-white-3_vs_7-5-4tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute Class {' negative'}
@data
0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,' negativ
1,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,' negativ
2,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,' negativ
3,2.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,' negativ
4,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,' negativ
5,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,' negativ
6,2.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,' negativ
7,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,' negativ
8,3.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,' negativ
9,4.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,' negativ
10,2.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,2.0,0.0,' negativ
11,1.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,' negativ
12,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,' negativ
13,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,' negativ
14,3.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,' negativ
15,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,3.0,' negativ
16,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,3.0,' negativ
17,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,' negativ
18,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,' negativ
19,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,' negativ
20,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,' negativ
21,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,' negativ
22,2.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,' negativ
23,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,' negativ
24,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,' negativ
25,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,' negativ
26,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,' negativ
27,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,' negativ
28,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,' negativ
29,2.0,1.0,2.0,3.0,1.0,2.0,4.0,4.0,0.0,1.0,0.0,' negativ
30,2.0,1.0,2.0,3.0,1.0,2.0,4.0,4.0,0.0,1.0,0.0,' negativ
31,2.0,1.0,2.0,3.0,1.0,2.0,4.0,4.0,0.0,1.0,0.0,' negativ
32,2.0,1.0,2.0,3.0,1.0,2.0,4.0,4.0,0.0,1.0,0.0,' negativ
33,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,' negativ
34,2.0,0.0,3.0,0.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,' negativ
35,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,' negativ
36,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,' negativ
37,1.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,' negativ
38,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,' negativ
39,2.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0,' negativ
40,3.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,' negativ
41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,' negativ
42,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,' negativ
43,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,' negativ
44,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,' negativ
45,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0,' negativ
46,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,' negativ
47,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,' negativ
48,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,' negativ
49,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,' negativ
50,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,' negativ
51,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,' negativ
52,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,' negativ
53,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,' negativ
54,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,' negativ
55,2.0,1.0,2.0,3.0,0.0,2.0,3.0,4.0,1.0,2.0,0.0,' negativ
56,2.0,1.0,2.0,3.0,0.0,2.0,3.0,4.0,1.0,2.0,0.0,' negativ
57,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,' negativ
58,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,' negativ
59,3.0,0.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,' negativ
60,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,' negativ
61,3.0,0.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,' negativ
62,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,' negativ
63,1.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,' negativ
64,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,' negativ
65,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,' negativ
66,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,' negativ
67,2.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,' negativ
68,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,' negativ
69,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,' negativ
70,3.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,' negativ
71,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,' negativ
72,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,' negativ
73,4.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,' negativ
74,3.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,' negativ
75,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,' negativ
76,3.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,' negativ
77,4.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,' negativ
78,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,' negativ
79,3.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,' negativ
80,2.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,' negativ
81,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,' negativ
82,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,3.0,' negativ
83,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,' negativ
84,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,' negativ
85,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,' negativ
86,1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,' negativ
87,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,' negativ
88,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,' negativ
89,2.0,1.0,2.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,0.0,' negativ
90,2.0,1.0,2.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,0.0,' negativ
91,2.0,1.0,2.0,3.0,0.0,2.0,2.0,3.0,2.0,1.0,3.0,' negativ
92,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,' negativ
93,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,' negativ
94,2.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,' negativ
95,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,4.0,' negativ
96,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,' negativ
97,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,' negativ
98,3.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,' negativ
99,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,' negativ
100,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,' negativ
101,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,' negativ
102,2.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,' negativ
103,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,' negativ
104,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,' negativ
105,2.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,' negativ
106,2.0,0.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,' negativ
