@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD2_arff/yeast6/EWD2yeast6-5-4tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative',' positive'}
@data
0,2.0,2.0,2.0,3.0,0.0,0.0,3.0,0.0,' negativ
1,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,' negativ
2,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
3,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,' negativ
4,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
5,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
6,2.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,' negativ
7,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,' negativ
8,2.0,2.0,1.0,4.0,0.0,0.0,3.0,0.0,' negativ
9,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,' negativ
10,3.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,' positiv
11,2.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,' negativ
12,4.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,' negativ
13,4.0,4.0,2.0,2.0,0.0,0.0,3.0,0.0,' negativ
14,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,' negativ
15,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,' negativ
16,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,' negativ
17,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,' negativ
18,3.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
19,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,' negativ
20,1.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,' negativ
21,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,' negativ
22,1.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,' negativ
23,2.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,' negativ
24,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
25,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,' negativ
26,3.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,' positiv
27,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,' negativ
28,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
29,1.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,' negativ
30,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,' negativ
31,2.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,' negativ
32,0.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,' negativ
33,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
34,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,' negativ
35,1.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,' negativ
36,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,' negativ
37,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
38,3.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,' negativ
39,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
40,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,' negativ
41,3.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,' negativ
42,1.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,' negativ
43,3.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,' negativ
44,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,' negativ
45,1.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,' negativ
46,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,' negativ
47,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,' negativ
48,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,' negativ
49,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,' negativ
50,2.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,' negativ
51,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
52,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,' negativ
53,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
54,2.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0,' negativ
55,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,' negativ
56,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,' negativ
57,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,' negativ
58,2.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,' negativ
59,3.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,' negativ
60,2.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,' negativ
61,1.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0,' negativ
62,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
63,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
64,3.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
65,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,' negativ
66,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
67,4.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,' positiv
68,3.0,3.0,2.0,0.0,0.0,4.0,3.0,0.0,' negativ
69,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,' negativ
70,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,' negativ
71,4.0,3.0,0.0,4.0,0.0,0.0,2.0,2.0,' negativ
72,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,' negativ
73,2.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0,' negativ
74,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,' negativ
75,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
76,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
77,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,' negativ
78,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
79,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,' negativ
80,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,' negativ
81,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
82,1.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
83,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,' negativ
84,2.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,' negativ
85,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,' negativ
86,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
87,1.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,' negativ
88,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,' negativ
89,1.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,' negativ
90,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
91,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,' negativ
92,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,' negativ
93,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,' negativ
94,1.0,2.0,2.0,3.0,0.0,0.0,3.0,0.0,' negativ
95,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,' negativ
96,2.0,3.0,2.0,3.0,0.0,0.0,3.0,0.0,' negativ
97,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,' negativ
98,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
99,1.0,2.0,2.0,3.0,0.0,0.0,3.0,0.0,' negativ
100,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,' negativ
101,1.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
102,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,' negativ
103,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
104,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,' negativ
105,4.0,2.0,0.0,1.0,4.0,0.0,3.0,0.0,' negativ
106,3.0,4.0,1.0,1.0,0.0,0.0,3.0,0.0,' negativ
107,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,' negativ
108,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
109,2.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,' negativ
110,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,' negativ
111,4.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
112,1.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,' negativ
113,4.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,' negativ
114,2.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,' negativ
115,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,' negativ
116,2.0,3.0,2.0,3.0,0.0,0.0,2.0,0.0,' negativ
117,2.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,' negativ
118,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
119,2.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,' negativ
