%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 10     Instances: 127
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute 'y' {' positive',' negative'}

@data
0,0.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,' positive'
1,0.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,' negative'
2,0.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,' negative'
3,5.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,' negative'
4,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,' negative'
5,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,' negative'
6,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,' negative'
7,0.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,' negative'
8,5.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,' negative'
9,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,' negative'
10,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,' negative'
11,5.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,' negative'
12,5.0,7.0,7.0,7.0,6.0,7.0,6.0,3.0,' negative'
13,0.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,' negative'
14,0.0,6.0,6.0,1.0,4.0,4.0,5.0,2.0,' negative'
15,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negative'
16,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
17,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,' negative'
18,9.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,' negative'
19,5.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,' negative'
20,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negative'
21,9.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,' negative'
22,0.0,4.0,5.0,4.0,4.0,5.0,4.0,2.0,' negative'
23,5.0,6.0,6.0,7.0,5.0,5.0,6.0,3.0,' negative'
24,0.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,' negative'
25,9.0,5.0,5.0,3.0,3.0,4.0,3.0,1.0,' negative'
26,5.0,5.0,5.0,4.0,4.0,6.0,4.0,2.0,' negative'
27,0.0,6.0,6.0,5.0,4.0,6.0,5.0,2.0,' negative'
28,0.0,6.0,5.0,4.0,4.0,6.0,4.0,2.0,' negative'
29,0.0,6.0,6.0,4.0,5.0,8.0,4.0,2.0,' negative'
30,5.0,6.0,6.0,5.0,6.0,8.0,6.0,3.0,' negative'
31,5.0,7.0,7.0,5.0,6.0,8.0,5.0,3.0,' negative'
32,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
33,9.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,' negative'
34,9.0,4.0,3.0,1.0,2.0,3.0,1.0,1.0,' negative'
35,0.0,4.0,5.0,3.0,2.0,2.0,2.0,1.0,' negative'
