,0,1,2,3,4,5,6,7,Class
0,0.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0, negative
1,5.0,5.0,5.0,4.0,2.0,2.0,3.0,3.0, negative
2,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0, negative
3,5.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0, negative
4,0.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0, negative
5,5.0,5.0,5.0,6.0,3.0,2.0,3.0,3.0, negative
6,0.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0, negative
7,0.0,6.0,7.0,4.0,3.0,2.0,3.0,5.0, negative
8,5.0,6.0,6.0,4.0,3.0,2.0,4.0,4.0, negative
9,0.0,5.0,5.0,5.0,2.0,1.0,2.0,4.0, negative
10,5.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0, negative
11,5.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0, negative
12,0.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0, negative
13,0.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0, negative
14,9.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0, negative
15,0.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0, negative
16,5.0,5.0,5.0,5.0,3.0,2.0,2.0,5.0, negative
17,5.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0, negative
18,5.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0, negative
19,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0, negative
20,5.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0, negative
21,9.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0, negative
22,0.0,4.0,5.0,4.0,2.0,1.0,2.0,3.0, negative
23,5.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0, negative
24,5.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0, negative
25,5.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0, negative
26,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
27,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0, negative
28,0.0,3.0,4.0,5.0,2.0,1.0,1.0,4.0, negative
29,0.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0, negative
30,5.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0, negative
31,5.0,5.0,5.0,6.0,2.0,1.0,2.0,4.0, negative
32,0.0,6.0,6.0,6.0,3.0,2.0,4.0,3.0, negative
33,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
34,5.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0, negative
35,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0, negative
36,5.0,5.0,6.0,8.0,2.0,1.0,1.0,4.0, negative
37,5.0,5.0,6.0,4.0,2.0,2.0,2.0,3.0, negative
38,5.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0, negative
39,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0, negative
40,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0, negative
41,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0, negative
42,5.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0, negative
43,9.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0, negative
44,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0, negative
45,5.0,5.0,5.0,4.0,2.0,1.0,3.0,3.0, negative
46,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
47,9.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0, negative
48,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
49,0.0,4.0,4.0,5.0,2.0,1.0,1.0,2.0, negative
50,5.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0, negative
51,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0, negative
52,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0, negative
53,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0, negative
