%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 10     Instances: 179
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute 'y' {' negative',' positive'}

@data
0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,' negative'
1,5.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,' negative'
2,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,' negative'
3,5.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,' negative'
4,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negative'
5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negative'
6,0.0,9.0,9.0,8.0,9.0,4.0,7.0,9.0,' positive'
7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negative'
8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,' negative'
9,5.0,5.0,6.0,5.0,3.0,2.0,4.0,1.0,' negative'
10,0.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,' positive'
11,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negative'
12,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,' negative'
13,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negative'
14,9.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,' positive'
15,5.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,' negative'
16,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negative'
17,5.0,4.0,5.0,2.0,3.0,1.0,2.0,2.0,' positive'
18,0.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,' negative'
19,5.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,' negative'
20,0.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,' negative'
21,5.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,' negative'
22,5.0,5.0,6.0,4.0,3.0,2.0,3.0,2.0,' negative'
23,0.0,5.0,6.0,5.0,4.0,3.0,3.0,2.0,' negative'
24,0.0,6.0,7.0,4.0,4.0,3.0,4.0,2.0,' negative'
25,5.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,' negative'
26,9.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,' negative'
27,0.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,' negative'
28,5.0,5.0,6.0,4.0,3.0,3.0,3.0,2.0,' negative'
29,5.0,5.0,5.0,3.0,2.0,2.0,3.0,1.0,' negative'
30,0.0,5.0,5.0,4.0,3.0,2.0,4.0,2.0,' negative'
31,5.0,6.0,6.0,3.0,4.0,4.0,4.0,2.0,' negative'
32,0.0,6.0,6.0,5.0,4.0,3.0,3.0,3.0,' negative'
33,0.0,8.0,7.0,7.0,5.0,4.0,5.0,3.0,' negative'
34,0.0,8.0,8.0,4.0,5.0,4.0,5.0,3.0,' negative'
35,0.0,8.0,8.0,6.0,6.0,6.0,5.0,3.0,' negative'
36,5.0,3.0,5.0,3.0,2.0,1.0,2.0,1.0,' negative'
37,9.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,' negative'
38,5.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,' negative'
39,0.0,5.0,5.0,4.0,2.0,2.0,2.0,1.0,' negative'
40,9.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,' negative'
41,9.0,6.0,6.0,4.0,3.0,3.0,2.0,2.0,' negative'
42,0.0,5.0,6.0,5.0,4.0,4.0,3.0,2.0,' negative'
43,0.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,' negative'
44,0.0,7.0,7.0,7.0,6.0,5.0,5.0,3.0,' negative'
45,9.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,' negative'
46,9.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,' negative'
47,9.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
48,9.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,' negative'
49,9.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,' negative'
50,9.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,' negative'
51,9.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,' negative'
52,9.0,5.0,5.0,4.0,2.0,1.0,1.0,1.0,' negative'
53,0.0,6.0,6.0,4.0,4.0,4.0,3.0,2.0,' negative'
54,5.0,6.0,6.0,5.0,4.0,4.0,4.0,2.0,' negative'
55,5.0,7.0,7.0,5.0,4.0,3.0,4.0,2.0,' negative'
56,5.0,7.0,7.0,6.0,5.0,4.0,6.0,4.0,' negative'
57,5.0,7.0,7.0,5.0,5.0,4.0,5.0,3.0,' negative'
58,5.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,' negative'
59,5.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,' negative'
60,9.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,' negative'
61,9.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,' negative'
62,9.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,' negative'
63,9.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,' negative'
64,5.0,5.0,5.0,5.0,3.0,2.0,3.0,1.0,' negative'
65,0.0,5.0,5.0,4.0,2.0,2.0,3.0,1.0,' negative'
66,5.0,5.0,6.0,4.0,3.0,2.0,2.0,2.0,' negative'
67,5.0,7.0,7.0,5.0,5.0,4.0,5.0,3.0,' negative'
68,5.0,7.0,7.0,4.0,4.0,4.0,4.0,2.0,' negative'
69,5.0,7.0,8.0,5.0,4.0,3.0,3.0,3.0,' negative'
70,5.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,' negative'
71,0.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,' negative'
72,5.0,5.0,6.0,5.0,4.0,3.0,4.0,2.0,' negative'
73,5.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,' negative'
74,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,' negative'
75,5.0,6.0,6.0,3.0,3.0,3.0,2.0,2.0,' negative'
76,9.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,' negative'
77,5.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,' negative'
78,0.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,' negative'
79,0.0,5.0,5.0,4.0,2.0,1.0,2.0,2.0,' negative'
80,0.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0,' negative'
81,5.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,' negative'
82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,' negative'
83,5.0,3.0,3.0,3.0,1.0,1.0,2.0,0.0,' negative'
84,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,' negative'
85,5.0,6.0,6.0,5.0,4.0,3.0,3.0,2.0,' negative'
86,0.0,6.0,6.0,4.0,4.0,3.0,4.0,2.0,' negative'
87,0.0,7.0,7.0,5.0,4.0,3.0,3.0,2.0,' negative'
88,5.0,7.0,7.0,5.0,4.0,3.0,5.0,2.0,' negative'
89,0.0,7.0,7.0,6.0,5.0,5.0,5.0,2.0,' negative'
90,0.0,5.0,5.0,6.0,3.0,2.0,3.0,2.0,' negative'
91,5.0,6.0,6.0,5.0,4.0,3.0,3.0,2.0,' negative'
92,0.0,6.0,6.0,5.0,4.0,3.0,4.0,1.0,' negative'
93,5.0,6.0,7.0,4.0,4.0,3.0,4.0,2.0,' negative'
94,9.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,' negative'
95,0.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,' negative'
96,5.0,7.0,8.0,4.0,5.0,4.0,4.0,3.0,' negative'
97,5.0,9.0,9.0,6.0,9.0,9.0,9.0,4.0,' negative'
98,0.0,4.0,5.0,3.0,3.0,3.0,2.0,1.0,' negative'
99,0.0,7.0,6.0,5.0,4.0,4.0,4.0,3.0,' negative'
100,9.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,' negative'
101,9.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,' negative'
102,0.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,' negative'
103,5.0,6.0,7.0,6.0,4.0,3.0,5.0,3.0,' negative'
104,5.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,' negative'
105,9.0,4.0,5.0,4.0,2.0,1.0,2.0,1.0,' negative'
106,9.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,' negative'
