%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 12     Instances: 434
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute '8' numeric
@attribute '9' numeric
@attribute 'y' {' negative',' positive'}

@data
0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0,6.0,' negative'
1,0.0,0.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,8.0,' negative'
2,6.0,5.0,6.0,6.0,6.0,0.0,6.0,7.0,6.0,5.0,' negative'
3,3.0,5.0,3.0,9.0,3.0,1.0,3.0,0.0,3.0,6.0,' negative'
4,9.0,2.0,9.0,8.0,9.0,7.0,9.0,6.0,9.0,0.0,' negative'
5,0.0,1.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,2.0,' negative'
6,3.0,0.0,3.0,9.0,3.0,2.0,3.0,8.0,3.0,3.0,' negative'
7,6.0,4.0,6.0,5.0,6.0,0.0,6.0,7.0,6.0,3.0,' negative'
8,9.0,2.0,9.0,0.0,9.0,6.0,9.0,7.0,9.0,1.0,' negative'
9,6.0,0.0,6.0,9.0,6.0,7.0,6.0,6.0,6.0,0.0,' negative'
10,9.0,2.0,9.0,5.0,9.0,0.0,9.0,5.0,9.0,6.0,' negative'
11,0.0,1.0,0.0,2.0,0.0,9.0,0.0,8.0,0.0,0.0,' negative'
12,9.0,4.0,9.0,1.0,9.0,7.0,9.0,5.0,9.0,5.0,' negative'
13,3.0,0.0,3.0,7.0,3.0,5.0,3.0,8.0,3.0,2.0,' negative'
14,6.0,2.0,6.0,9.0,6.0,0.0,6.0,5.0,6.0,1.0,' negative'
15,6.0,5.0,6.0,9.0,6.0,8.0,6.0,9.0,6.0,4.0,' negative'
16,9.0,0.0,9.0,7.0,9.0,2.0,9.0,9.0,9.0,9.0,' negative'
17,9.0,9.0,9.0,5.0,9.0,2.0,9.0,0.0,9.0,8.0,' negative'
18,3.0,7.0,3.0,6.0,3.0,9.0,3.0,0.0,3.0,5.0,' negative'
19,6.0,1.0,6.0,2.0,6.0,5.0,6.0,4.0,6.0,5.0,' negative'
20,6.0,0.0,6.0,0.0,6.0,7.0,6.0,5.0,6.0,4.0,' negative'
21,3.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,0.0,' negative'
22,9.0,0.0,9.0,2.0,9.0,3.0,9.0,9.0,9.0,9.0,' negative'
23,6.0,0.0,6.0,0.0,6.0,8.0,6.0,6.0,6.0,2.0,' negative'
24,9.0,9.0,9.0,9.0,9.0,5.0,9.0,3.0,9.0,1.0,' negative'
25,0.0,1.0,0.0,5.0,0.0,3.0,0.0,9.0,0.0,0.0,' negative'
26,9.0,5.0,9.0,5.0,9.0,9.0,9.0,0.0,9.0,4.0,' negative'
27,0.0,6.0,0.0,2.0,0.0,8.0,0.0,5.0,0.0,9.0,' negative'
28,3.0,5.0,3.0,9.0,3.0,7.0,3.0,2.0,3.0,3.0,' negative'
29,3.0,8.0,3.0,6.0,3.0,3.0,3.0,7.0,3.0,0.0,' negative'
30,6.0,0.0,6.0,0.0,6.0,4.0,6.0,9.0,6.0,3.0,' negative'
31,9.0,4.0,9.0,0.0,9.0,5.0,9.0,3.0,9.0,1.0,' negative'
32,6.0,0.0,6.0,9.0,6.0,2.0,6.0,7.0,6.0,8.0,' negative'
33,6.0,4.0,6.0,9.0,6.0,1.0,6.0,8.0,6.0,7.0,' negative'
34,9.0,6.0,9.0,7.0,9.0,4.0,9.0,3.0,9.0,5.0,' negative'
35,0.0,5.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,9.0,' negative'
36,3.0,5.0,3.0,8.0,3.0,1.0,3.0,9.0,3.0,2.0,' negative'
37,3.0,3.0,3.0,7.0,3.0,6.0,3.0,2.0,3.0,4.0,' negative'
38,0.0,9.0,0.0,1.0,0.0,7.0,0.0,4.0,0.0,5.0,' negative'
39,0.0,8.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,2.0,' negative'
40,3.0,3.0,3.0,9.0,3.0,7.0,3.0,8.0,3.0,2.0,' negative'
41,9.0,0.0,9.0,2.0,9.0,3.0,9.0,1.0,9.0,9.0,' negative'
42,0.0,5.0,0.0,9.0,0.0,1.0,0.0,4.0,0.0,2.0,' negative'
43,3.0,7.0,3.0,2.0,3.0,0.0,3.0,3.0,3.0,5.0,' negative'
44,6.0,8.0,6.0,9.0,6.0,0.0,6.0,5.0,6.0,1.0,' negative'
45,9.0,9.0,9.0,1.0,9.0,9.0,9.0,7.0,9.0,5.0,' negative'
46,9.0,4.0,9.0,9.0,9.0,3.0,9.0,9.0,9.0,5.0,' negative'
47,9.0,5.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,0.0,' negative'
48,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,' negative'
49,9.0,2.0,9.0,0.0,9.0,9.0,9.0,6.0,9.0,1.0,' negative'
50,3.0,7.0,3.0,2.0,3.0,0.0,3.0,3.0,3.0,5.0,' negative'
51,6.0,1.0,6.0,8.0,6.0,9.0,6.0,4.0,6.0,3.0,' negative'
52,6.0,8.0,6.0,3.0,6.0,2.0,6.0,0.0,6.0,5.0,' negative'
53,3.0,8.0,3.0,2.0,3.0,1.0,3.0,9.0,3.0,5.0,' negative'
54,9.0,4.0,9.0,0.0,9.0,9.0,9.0,5.0,9.0,1.0,' negative'
55,3.0,0.0,3.0,3.0,3.0,1.0,3.0,5.0,3.0,9.0,' negative'
56,9.0,2.0,9.0,7.0,9.0,3.0,9.0,5.0,9.0,8.0,' negative'
57,3.0,1.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,8.0,' negative'
58,0.0,8.0,0.0,5.0,0.0,1.0,0.0,6.0,0.0,0.0,' negative'
59,9.0,4.0,9.0,9.0,9.0,3.0,9.0,9.0,9.0,0.0,' negative'
60,6.0,0.0,6.0,9.0,6.0,7.0,6.0,0.0,6.0,4.0,' negative'
61,0.0,5.0,0.0,6.0,0.0,3.0,0.0,8.0,0.0,9.0,' negative'
62,6.0,9.0,6.0,7.0,6.0,1.0,6.0,3.0,6.0,9.0,' negative'
63,0.0,3.0,0.0,2.0,0.0,4.0,0.0,9.0,0.0,5.0,' negative'
64,9.0,0.0,9.0,5.0,9.0,2.0,9.0,3.0,9.0,9.0,' negative'
65,0.0,9.0,0.0,5.0,0.0,4.0,0.0,5.0,0.0,6.0,' negative'
66,6.0,0.0,6.0,8.0,6.0,0.0,6.0,4.0,6.0,5.0,' negative'
67,9.0,0.0,9.0,1.0,9.0,3.0,9.0,6.0,9.0,0.0,' negative'
68,0.0,7.0,0.0,5.0,0.0,6.0,0.0,3.0,0.0,0.0,' negative'
69,3.0,1.0,3.0,7.0,3.0,9.0,3.0,4.0,3.0,6.0,' negative'
70,0.0,2.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0,5.0,' negative'
71,9.0,8.0,9.0,6.0,9.0,5.0,9.0,3.0,9.0,0.0,' negative'
72,3.0,4.0,3.0,9.0,3.0,5.0,3.0,9.0,3.0,8.0,' negative'
73,0.0,9.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,5.0,' negative'
74,3.0,8.0,3.0,5.0,3.0,4.0,3.0,9.0,3.0,2.0,' negative'
75,3.0,5.0,3.0,8.0,3.0,3.0,3.0,7.0,3.0,6.0,' negative'
76,9.0,9.0,9.0,9.0,9.0,0.0,9.0,7.0,9.0,5.0,' negative'
77,6.0,5.0,6.0,0.0,6.0,7.0,6.0,6.0,6.0,0.0,' negative'
78,9.0,2.0,9.0,9.0,9.0,0.0,9.0,4.0,9.0,5.0,' negative'
79,6.0,7.0,6.0,1.0,6.0,9.0,6.0,6.0,6.0,5.0,' negative'
80,0.0,9.0,0.0,2.0,0.0,7.0,0.0,9.0,0.0,0.0,' negative'
81,3.0,0.0,3.0,9.0,3.0,5.0,3.0,1.0,3.0,8.0,' negative'
82,6.0,5.0,6.0,2.0,6.0,6.0,6.0,4.0,6.0,7.0,' negative'
83,9.0,7.0,9.0,9.0,9.0,8.0,9.0,3.0,9.0,2.0,' negative'
84,6.0,5.0,6.0,8.0,6.0,4.0,6.0,0.0,6.0,9.0,' negative'
85,6.0,4.0,6.0,0.0,6.0,7.0,6.0,6.0,6.0,0.0,' negative'
86,3.0,3.0,3.0,0.0,3.0,0.0,3.0,9.0,3.0,4.0,' negative'
87,6.0,1.0,6.0,9.0,6.0,0.0,6.0,3.0,6.0,6.0,' negative'
88,3.0,9.0,3.0,9.0,3.0,5.0,3.0,1.0,3.0,0.0,' negative'
89,9.0,3.0,9.0,0.0,9.0,9.0,9.0,8.0,9.0,9.0,' negative'
90,9.0,0.0,9.0,6.0,9.0,0.0,9.0,1.0,9.0,9.0,' negative'
91,3.0,4.0,3.0,9.0,3.0,6.0,3.0,7.0,3.0,5.0,' negative'
92,9.0,0.0,9.0,7.0,9.0,1.0,9.0,9.0,9.0,2.0,' negative'
93,3.0,5.0,3.0,0.0,3.0,5.0,3.0,6.0,3.0,4.0,' negative'
94,9.0,1.0,9.0,5.0,9.0,0.0,9.0,6.0,9.0,5.0,' negative'
95,9.0,2.0,9.0,7.0,9.0,8.0,9.0,6.0,9.0,9.0,' negative'
96,9.0,7.0,9.0,5.0,9.0,9.0,9.0,5.0,9.0,6.0,' negative'
97,3.0,2.0,3.0,0.0,3.0,3.0,3.0,4.0,3.0,5.0,' negative'
98,6.0,9.0,6.0,2.0,6.0,3.0,6.0,0.0,6.0,8.0,' negative'
99,3.0,1.0,3.0,6.0,3.0,5.0,3.0,8.0,3.0,9.0,' negative'
100,6.0,9.0,6.0,4.0,6.0,0.0,6.0,3.0,6.0,1.0,' negative'
101,9.0,5.0,9.0,0.0,9.0,4.0,9.0,7.0,9.0,3.0,' negative'
102,9.0,2.0,9.0,4.0,9.0,1.0,9.0,8.0,9.0,7.0,' negative'
103,9.0,9.0,9.0,4.0,9.0,8.0,9.0,9.0,9.0,0.0,' negative'
104,6.0,8.0,6.0,1.0,6.0,3.0,6.0,5.0,6.0,7.0,' negative'
105,3.0,9.0,3.0,5.0,3.0,1.0,3.0,6.0,3.0,8.0,' negative'
106,6.0,0.0,6.0,1.0,6.0,2.0,6.0,7.0,6.0,0.0,' negative'
107,9.0,0.0,9.0,5.0,9.0,9.0,9.0,0.0,9.0,6.0,' negative'
108,0.0,8.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,' negative'
109,0.0,1.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,3.0,' negative'
110,3.0,6.0,3.0,4.0,3.0,9.0,3.0,7.0,3.0,0.0,' negative'
111,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,' negative'
112,0.0,9.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,6.0,' negative'
113,3.0,8.0,3.0,3.0,3.0,4.0,3.0,0.0,3.0,2.0,' negative'
114,6.0,4.0,6.0,9.0,6.0,1.0,6.0,5.0,6.0,2.0,' negative'
115,3.0,5.0,3.0,8.0,3.0,5.0,3.0,4.0,3.0,3.0,' negative'
116,9.0,3.0,9.0,9.0,9.0,9.0,9.0,2.0,9.0,5.0,' negative'
117,0.0,4.0,0.0,9.0,0.0,7.0,0.0,6.0,0.0,0.0,' negative'
118,3.0,8.0,3.0,9.0,3.0,2.0,3.0,0.0,3.0,5.0,' negative'
119,6.0,1.0,6.0,0.0,6.0,4.0,6.0,6.0,6.0,7.0,' negative'
120,0.0,5.0,0.0,5.0,0.0,9.0,0.0,6.0,0.0,1.0,' negative'
121,6.0,2.0,6.0,0.0,6.0,0.0,6.0,9.0,6.0,6.0,' negative'
122,6.0,6.0,6.0,8.0,6.0,1.0,6.0,5.0,6.0,9.0,' negative'
123,3.0,6.0,3.0,5.0,3.0,8.0,3.0,9.0,3.0,3.0,' negative'
124,3.0,9.0,3.0,5.0,3.0,5.0,3.0,6.0,3.0,3.0,' negative'
125,9.0,3.0,9.0,8.0,9.0,5.0,9.0,4.0,9.0,0.0,' negative'
126,3.0,5.0,3.0,2.0,3.0,0.0,3.0,4.0,3.0,6.0,' negative'
127,9.0,9.0,9.0,6.0,9.0,5.0,9.0,2.0,9.0,0.0,' negative'
128,6.0,4.0,6.0,9.0,6.0,3.0,6.0,0.0,6.0,2.0,' negative'
129,9.0,0.0,9.0,1.0,9.0,3.0,9.0,5.0,9.0,9.0,' negative'
130,3.0,3.0,3.0,7.0,3.0,9.0,3.0,0.0,3.0,4.0,' negative'
131,3.0,0.0,3.0,9.0,3.0,2.0,3.0,9.0,3.0,5.0,' negative'
132,9.0,9.0,9.0,7.0,9.0,0.0,9.0,4.0,9.0,0.0,' negative'
133,3.0,6.0,3.0,1.0,3.0,9.0,3.0,9.0,3.0,2.0,' negative'
134,9.0,4.0,9.0,0.0,9.0,5.0,9.0,0.0,9.0,2.0,' negative'
135,0.0,7.0,0.0,9.0,0.0,5.0,0.0,3.0,0.0,0.0,' negative'
136,9.0,9.0,9.0,4.0,9.0,3.0,9.0,2.0,9.0,6.0,' negative'
137,3.0,9.0,3.0,5.0,3.0,4.0,3.0,0.0,3.0,9.0,' negative'
