%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 12     Instances: 1167
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute '8' numeric
@attribute '9' numeric
@attribute 'y' {' negative'}

@data
0,6.0,0.0,9.0,0.0,6.0,2.0,0.0,2.0,3.0,0.0,' negative'
1,9.0,9.0,3.0,9.0,9.0,5.0,6.0,5.0,0.0,9.0,' negative'
2,3.0,7.0,6.0,9.0,6.0,7.0,0.0,9.0,0.0,7.0,' negative'
3,0.0,0.0,9.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,' negative'
4,6.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,' negative'
5,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,' negative'
6,6.0,7.0,9.0,7.0,3.0,7.0,0.0,9.0,6.0,9.0,' negative'
7,6.0,9.0,3.0,0.0,9.0,0.0,6.0,0.0,3.0,9.0,' negative'
8,3.0,0.0,3.0,6.0,6.0,6.0,0.0,0.0,9.0,0.0,' negative'
9,9.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,' negative'
10,3.0,9.0,6.0,1.0,6.0,9.0,9.0,1.0,0.0,9.0,' negative'
11,0.0,9.0,0.0,8.0,3.0,9.0,9.0,9.0,3.0,8.0,' negative'
12,9.0,6.0,9.0,5.0,6.0,5.0,3.0,6.0,0.0,6.0,' negative'
13,3.0,7.0,0.0,7.0,9.0,9.0,6.0,7.0,3.0,9.0,' negative'
14,6.0,3.0,0.0,5.0,3.0,5.0,0.0,3.0,6.0,5.0,' negative'
15,6.0,8.0,6.0,7.0,0.0,7.0,9.0,8.0,3.0,7.0,' negative'
16,0.0,2.0,9.0,6.0,9.0,2.0,3.0,6.0,0.0,6.0,' negative'
17,3.0,9.0,6.0,0.0,9.0,0.0,0.0,9.0,3.0,0.0,' negative'
18,0.0,5.0,6.0,6.0,0.0,6.0,9.0,5.0,6.0,5.0,' negative'
19,9.0,9.0,6.0,9.0,6.0,9.0,0.0,9.0,9.0,9.0,' negative'
20,6.0,4.0,0.0,4.0,3.0,4.0,9.0,5.0,3.0,5.0,' negative'
21,3.0,4.0,3.0,3.0,9.0,4.0,0.0,3.0,0.0,4.0,' negative'
22,0.0,7.0,0.0,0.0,3.0,0.0,6.0,7.0,9.0,7.0,' negative'
23,3.0,6.0,9.0,7.0,9.0,6.0,6.0,7.0,6.0,6.0,' negative'
24,0.0,7.0,9.0,7.0,6.0,7.0,3.0,5.0,6.0,5.0,' negative'
25,9.0,5.0,9.0,9.0,3.0,5.0,0.0,5.0,6.0,9.0,' negative'
26,6.0,9.0,6.0,5.0,3.0,9.0,3.0,5.0,9.0,9.0,' negative'
27,6.0,6.0,3.0,5.0,0.0,5.0,9.0,6.0,9.0,5.0,' negative'
28,0.0,5.0,0.0,4.0,3.0,4.0,3.0,5.0,6.0,5.0,' negative'
29,0.0,9.0,3.0,0.0,9.0,9.0,6.0,0.0,0.0,0.0,' negative'
30,0.0,9.0,6.0,0.0,6.0,9.0,3.0,0.0,0.0,0.0,' negative'
31,9.0,0.0,0.0,0.0,6.0,8.0,9.0,8.0,6.0,0.0,' negative'
32,9.0,4.0,6.0,1.0,6.0,4.0,0.0,1.0,0.0,4.0,' negative'
33,6.0,9.0,0.0,9.0,3.0,6.0,9.0,9.0,0.0,6.0,' negative'
34,0.0,5.0,9.0,6.0,9.0,5.0,6.0,6.0,3.0,6.0,' negative'
35,6.0,0.0,3.0,8.0,6.0,8.0,0.0,0.0,0.0,8.0,' negative'
36,6.0,9.0,0.0,9.0,6.0,6.0,3.0,9.0,3.0,6.0,' negative'
37,6.0,9.0,9.0,9.0,3.0,9.0,3.0,0.0,9.0,0.0,' negative'
38,6.0,0.0,3.0,0.0,6.0,6.0,3.0,6.0,9.0,0.0,' negative'
39,0.0,9.0,9.0,5.0,6.0,5.0,9.0,9.0,0.0,5.0,' negative'
40,0.0,0.0,0.0,3.0,6.0,0.0,3.0,3.0,6.0,3.0,' negative'
41,9.0,9.0,0.0,9.0,3.0,9.0,0.0,9.0,9.0,9.0,' negative'
42,9.0,5.0,0.0,5.0,3.0,2.0,6.0,2.0,0.0,2.0,' negative'
43,6.0,9.0,9.0,1.0,3.0,1.0,0.0,9.0,6.0,1.0,' negative'
44,6.0,5.0,0.0,0.0,3.0,0.0,9.0,5.0,6.0,0.0,' negative'
45,3.0,8.0,9.0,4.0,0.0,4.0,0.0,8.0,3.0,4.0,' negative'
46,9.0,8.0,9.0,5.0,3.0,5.0,3.0,8.0,0.0,5.0,' negative'
47,6.0,7.0,3.0,7.0,9.0,9.0,0.0,7.0,6.0,9.0,' negative'
48,0.0,8.0,9.0,8.0,6.0,8.0,3.0,5.0,0.0,5.0,' negative'
49,9.0,0.0,3.0,0.0,3.0,5.0,0.0,5.0,9.0,5.0,' negative'
50,0.0,0.0,0.0,3.0,9.0,3.0,9.0,0.0,6.0,3.0,' negative'
51,6.0,9.0,0.0,9.0,3.0,2.0,9.0,9.0,9.0,2.0,' negative'
52,9.0,7.0,6.0,7.0,0.0,0.0,0.0,7.0,3.0,0.0,' negative'
53,6.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,' negative'
54,0.0,0.0,6.0,0.0,3.0,0.0,9.0,9.0,6.0,9.0,' negative'
55,3.0,0.0,0.0,7.0,0.0,0.0,9.0,7.0,9.0,0.0,' negative'
56,9.0,3.0,6.0,3.0,3.0,3.0,3.0,7.0,9.0,7.0,' negative'
57,0.0,3.0,3.0,5.0,6.0,3.0,3.0,3.0,6.0,5.0,' negative'
58,9.0,6.0,6.0,8.0,9.0,8.0,0.0,6.0,6.0,6.0,' negative'
59,6.0,4.0,6.0,0.0,3.0,4.0,0.0,0.0,9.0,4.0,' negative'
60,3.0,0.0,9.0,0.0,0.0,6.0,3.0,6.0,0.0,0.0,' negative'
61,3.0,7.0,6.0,2.0,3.0,2.0,9.0,7.0,9.0,2.0,' negative'
