%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 11     Instances: 97
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute '8' numeric
@attribute 'y' {' negative'}

@data
0,2.0,0.0,3.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
1,6.0,0.0,9.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
2,1.0,0.0,3.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
3,2.0,0.0,3.0,9.0,1.0,0.0,9.0,9.0,9.0,' negative'
4,5.0,0.0,8.0,9.0,2.0,0.0,8.0,7.0,8.0,' negative'
5,1.0,0.0,1.0,9.0,9.0,9.0,9.0,0.0,0.0,' negative'
6,6.0,0.0,9.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
7,6.0,0.0,9.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
8,5.0,0.0,8.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
9,1.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
10,5.0,0.0,9.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
11,6.0,0.0,9.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
12,5.0,0.0,8.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
13,1.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
14,5.0,0.0,8.0,9.0,2.0,0.0,8.0,7.0,8.0,' negative'
15,1.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
16,2.0,0.0,3.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
17,1.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
18,6.0,0.0,9.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
19,6.0,0.0,9.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
20,1.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
21,1.0,0.0,3.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
22,5.0,0.0,8.0,9.0,2.0,0.0,8.0,7.0,8.0,' negative'
23,2.0,0.0,3.0,9.0,1.0,0.0,9.0,9.0,9.0,' negative'
24,0.0,0.0,1.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
25,0.0,0.0,1.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
26,6.0,0.0,9.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
27,1.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
28,1.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
29,2.0,0.0,3.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
30,2.0,0.0,3.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
31,1.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
32,1.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
33,6.0,0.0,9.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
34,0.0,0.0,1.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
35,0.0,0.0,1.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
36,6.0,0.0,9.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
37,1.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
38,5.0,0.0,8.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
39,5.0,0.0,8.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
40,2.0,0.0,3.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
41,6.0,0.0,9.0,9.0,2.0,0.0,8.0,8.0,8.0,' negative'
42,1.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
43,1.0,0.0,1.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
44,2.0,0.0,3.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
45,1.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
46,2.0,0.0,3.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
47,1.0,0.0,2.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
48,2.0,0.0,3.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
49,2.0,0.0,3.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
50,0.0,0.0,1.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
51,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
52,2.0,0.0,3.0,0.0,0.0,0.0,9.0,9.0,9.0,' negative'
53,2.0,0.0,3.0,9.0,1.0,0.0,9.0,9.0,9.0,' negative'
54,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,9.0,' negative'
55,9.0,9.0,9.0,9.0,1.0,0.0,0.0,8.0,9.0,' negative'
56,2.0,0.0,3.0,9.0,1.0,0.0,9.0,9.0,9.0,' negative'
