,0,1,2,3,4,5,6,7,8,9,10,Class
0,5.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0,5.0, negative
1,6.0,3.0,6.0,8.0,0.0,3.0,4.0,8.0,1.0,6.0,3.0, negative
2,5.0,7.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,3.0,2.0, negative
3,2.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0,5.0,1.0,3.0, negative
4,4.0,2.0,4.0,0.0,2.0,1.0,3.0,2.0,4.0,2.0,8.0, negative
5,3.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0, negative
6,4.0,1.0,3.0,7.0,1.0,3.0,4.0,8.0,4.0,1.0,1.0, negative
7,2.0,4.0,2.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,3.0, negative
8,4.0,1.0,3.0,1.0,1.0,2.0,4.0,5.0,5.0,3.0,3.0, negative
9,4.0,4.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,4.0, negative
10,5.0,1.0,2.0,4.0,1.0,1.0,2.0,5.0,3.0,1.0,2.0, negative
11,3.0,2.0,2.0,1.0,1.0,3.0,6.0,5.0,5.0,5.0,2.0, negative
12,5.0,1.0,2.0,4.0,1.0,1.0,2.0,5.0,3.0,1.0,2.0, negative
13,5.0,0.0,3.0,3.0,1.0,1.0,2.0,5.0,1.0,4.0,2.0, negative
14,3.0,5.0,2.0,2.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0, negative
15,4.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0, negative
16,4.0,4.0,6.0,4.0,1.0,4.0,4.0,6.0,3.0,2.0,1.0, negative
17,2.0,2.0,4.0,3.0,1.0,4.0,6.0,5.0,3.0,3.0,1.0, negative
18,5.0,1.0,3.0,5.0,1.0,3.0,5.0,6.0,2.0,2.0,1.0, negative
19,4.0,0.0,3.0,3.0,1.0,4.0,4.0,5.0,6.0,2.0,2.0, negative
20,5.0,2.0,4.0,7.0,1.0,3.0,4.0,8.0,2.0,3.0,1.0, negative
21,4.0,0.0,3.0,3.0,1.0,4.0,4.0,5.0,6.0,2.0,2.0, negative
22,4.0,2.0,2.0,0.0,1.0,2.0,5.0,3.0,4.0,5.0,4.0, negative
23,4.0,2.0,5.0,5.0,1.0,5.0,5.0,7.0,2.0,3.0,2.0, negative
24,3.0,3.0,3.0,3.0,1.0,2.0,4.0,6.0,4.0,3.0,1.0, negative
25,3.0,3.0,3.0,3.0,1.0,2.0,4.0,6.0,4.0,3.0,1.0, negative
26,4.0,2.0,5.0,5.0,1.0,5.0,5.0,7.0,2.0,3.0,2.0, negative
27,4.0,2.0,4.0,5.0,1.0,4.0,5.0,7.0,2.0,3.0,2.0, negative
28,2.0,3.0,0.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0, negative
29,5.0,1.0,3.0,5.0,1.0,3.0,3.0,7.0,2.0,4.0,1.0, negative
30,5.0,0.0,3.0,2.0,1.0,2.0,3.0,5.0,5.0,1.0,3.0, negative
31,5.0,3.0,2.0,2.0,0.0,2.0,3.0,4.0,3.0,2.0,4.0, negative
32,2.0,1.0,2.0,4.0,0.0,0.0,1.0,4.0,6.0,1.0,4.0, negative
33,3.0,4.0,4.0,5.0,0.0,4.0,6.0,7.0,4.0,4.0,1.0, negative
34,3.0,1.0,2.0,6.0,0.0,3.0,5.0,7.0,4.0,3.0,2.0, negative
35,3.0,2.0,3.0,6.0,0.0,3.0,5.0,7.0,4.0,4.0,2.0, negative
36,4.0,3.0,6.0,4.0,1.0,3.0,4.0,6.0,3.0,2.0,1.0, negative
37,3.0,2.0,3.0,0.0,1.0,1.0,2.0,3.0,5.0,2.0,3.0, negative
38,4.0,3.0,6.0,4.0,1.0,3.0,4.0,6.0,3.0,2.0,1.0, negative
39,4.0,0.0,4.0,0.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0, negative
40,3.0,3.0,3.0,1.0,1.0,0.0,2.0,3.0,4.0,1.0,4.0, negative
41,3.0,1.0,3.0,5.0,1.0,4.0,5.0,6.0,3.0,3.0,2.0, negative
42,4.0,1.0,3.0,5.0,1.0,5.0,5.0,6.0,3.0,3.0,3.0, negative
43,5.0,2.0,3.0,3.0,1.0,1.0,4.0,6.0,2.0,4.0,2.0, negative
44,9.0,3.0,4.0,4.0,0.0,0.0,3.0,5.0,0.0,0.0,3.0, negative
45,5.0,2.0,3.0,7.0,1.0,2.0,4.0,7.0,3.0,6.0,3.0, negative
