%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 10     Instances: 145
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute 'y' {' negative',' positive'}

@data
0,5.0,6.0,7.0,2.0,0.0,0.0,5.0,2.0,' negative'
1,3.0,5.0,6.0,7.0,0.0,0.0,5.0,3.0,' negative'
2,2.0,4.0,5.0,8.0,0.0,0.0,5.0,2.0,' negative'
3,1.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,' negative'
4,5.0,6.0,1.0,3.0,0.0,0.0,5.0,2.0,' negative'
5,4.0,6.0,6.0,1.0,0.0,0.0,5.0,2.0,' negative'
6,5.0,5.0,4.0,7.0,0.0,0.0,5.0,2.0,' negative'
7,2.0,5.0,3.0,8.0,0.0,0.0,4.0,3.0,' negative'
8,3.0,5.0,7.0,6.0,0.0,0.0,5.0,2.0,' negative'
9,3.0,3.0,4.0,6.0,0.0,0.0,3.0,2.0,' negative'
10,6.0,4.0,5.0,5.0,0.0,0.0,5.0,2.0,' negative'
11,2.0,5.0,6.0,9.0,0.0,0.0,4.0,2.0,' negative'
12,3.0,6.0,8.0,5.0,0.0,0.0,2.0,0.0,' negative'
13,4.0,4.0,6.0,7.0,0.0,0.0,5.0,6.0,' negative'
14,6.0,4.0,6.0,8.0,0.0,0.0,4.0,4.0,' negative'
15,7.0,6.0,6.0,5.0,0.0,0.0,7.0,3.0,' negative'
16,4.0,4.0,4.0,5.0,0.0,0.0,5.0,3.0,' negative'
17,3.0,4.0,4.0,8.0,0.0,0.0,6.0,2.0,' negative'
18,2.0,4.0,8.0,9.0,0.0,0.0,5.0,2.0,' negative'
19,3.0,4.0,7.0,6.0,0.0,0.0,5.0,5.0,' negative'
20,2.0,7.0,5.0,8.0,0.0,0.0,6.0,6.0,' negative'
21,4.0,5.0,4.0,3.0,0.0,0.0,5.0,2.0,' negative'
22,3.0,3.0,6.0,4.0,0.0,0.0,4.0,2.0,' negative'
23,2.0,3.0,8.0,1.0,0.0,0.0,6.0,2.0,' negative'
24,2.0,5.0,6.0,5.0,0.0,0.0,3.0,4.0,' negative'
25,2.0,3.0,9.0,4.0,0.0,0.0,5.0,3.0,' negative'
26,4.0,4.0,7.0,6.0,0.0,0.0,4.0,3.0,' negative'
27,5.0,5.0,6.0,6.0,0.0,0.0,4.0,2.0,' negative'
28,5.0,5.0,6.0,6.0,0.0,0.0,4.0,3.0,' negative'
29,2.0,5.0,6.0,5.0,0.0,0.0,5.0,2.0,' negative'
30,4.0,6.0,5.0,1.0,0.0,0.0,5.0,2.0,' negative'
31,3.0,5.0,5.0,5.0,0.0,0.0,6.0,5.0,' negative'
32,3.0,4.0,6.0,1.0,0.0,0.0,6.0,2.0,' negative'
33,4.0,6.0,5.0,6.0,0.0,0.0,6.0,3.0,' negative'
34,3.0,2.0,5.0,6.0,0.0,0.0,5.0,4.0,' negative'
35,4.0,7.0,6.0,5.0,0.0,0.0,2.0,2.0,' negative'
36,0.0,1.0,7.0,2.0,0.0,0.0,6.0,4.0,' negative'
37,4.0,4.0,7.0,2.0,0.0,0.0,5.0,2.0,' negative'
38,3.0,5.0,5.0,4.0,0.0,9.0,5.0,2.0,' negative'
39,3.0,5.0,4.0,6.0,0.0,0.0,5.0,2.0,' negative'
40,4.0,4.0,2.0,1.0,0.0,0.0,6.0,3.0,' negative'
41,0.0,0.0,9.0,3.0,0.0,0.0,5.0,2.0,' negative'
42,5.0,3.0,7.0,3.0,0.0,0.0,9.0,2.0,' negative'
43,2.0,3.0,4.0,3.0,0.0,0.0,3.0,2.0,' negative'
44,3.0,6.0,4.0,7.0,0.0,0.0,5.0,3.0,' negative'
45,2.0,5.0,5.0,2.0,0.0,0.0,5.0,2.0,' negative'
46,4.0,6.0,5.0,5.0,0.0,0.0,6.0,4.0,' negative'
47,2.0,2.0,8.0,1.0,0.0,0.0,3.0,2.0,' negative'
48,4.0,6.0,6.0,9.0,0.0,0.0,5.0,2.0,' negative'
49,4.0,3.0,7.0,3.0,0.0,0.0,5.0,2.0,' negative'
50,3.0,5.0,5.0,8.0,0.0,0.0,5.0,2.0,' negative'
51,1.0,4.0,7.0,5.0,0.0,0.0,5.0,3.0,' negative'
52,7.0,6.0,5.0,3.0,0.0,0.0,6.0,5.0,' negative'
53,0.0,3.0,2.0,1.0,0.0,0.0,6.0,2.0,' negative'
