@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD3_arff/abalone-20_vs_8-9-10/EWD3abalone-20_vs_8-9-10-5-1tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative',' positive'}
@data
0,0.0,3.0,5.0,5.0,3.0,3.0,2.0,2.0,' negativ
1,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,' negativ
2,5.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,' negativ
3,0.0,7.0,7.0,5.0,6.0,8.0,6.0,3.0,' negativ
4,9.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,' negativ
5,5.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,' negativ
6,5.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,' negativ
7,5.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,' negativ
8,5.0,4.0,5.0,4.0,3.0,4.0,3.0,1.0,' negativ
9,0.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,' negativ
10,0.0,6.0,6.0,4.0,4.0,5.0,4.0,2.0,' negativ
11,0.0,6.0,6.0,4.0,5.0,6.0,4.0,3.0,' negativ
12,0.0,7.0,6.0,5.0,5.0,6.0,4.0,3.0,' negativ
13,5.0,7.0,7.0,6.0,7.0,7.0,7.0,4.0,' negativ
14,9.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,' negativ
15,9.0,5.0,4.0,3.0,2.0,2.0,2.0,1.0,' negativ
16,9.0,5.0,4.0,3.0,2.0,2.0,2.0,1.0,' negativ
17,0.0,5.0,5.0,4.0,3.0,4.0,3.0,2.0,' negativ
18,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
19,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
20,9.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,' negativ
21,0.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,' negativ
22,0.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,' negativ
23,9.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,' negativ
24,9.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,' negativ
25,9.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,' negativ
26,9.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,' negativ
27,5.0,6.0,5.0,4.0,3.0,4.0,4.0,2.0,' negativ
28,5.0,6.0,6.0,5.0,4.0,4.0,3.0,2.0,' negativ
29,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,' negativ
30,9.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,' negativ
31,9.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,' negativ
32,9.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,' negativ
33,9.0,5.0,4.0,2.0,2.0,2.0,1.0,1.0,' negativ
34,9.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,' negativ
35,9.0,6.0,6.0,4.0,3.0,3.0,3.0,2.0,' negativ
36,9.0,6.0,6.0,4.0,3.0,4.0,3.0,2.0,' negativ
37,9.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,' negativ
38,9.0,5.0,5.0,2.0,1.0,2.0,1.0,1.0,' negativ
39,5.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,' negativ
40,0.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,' negativ
41,0.0,6.0,5.0,4.0,3.0,4.0,3.0,2.0,' negativ
42,0.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,' negativ
43,5.0,4.0,4.0,2.0,1.0,1.0,0.0,1.0,' negativ
44,5.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,' negativ
