@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD3_arff/ecoli-0-1-4-7_vs_2-3-5-6/EWD3ecoli-0-1-4-7_vs_2-3-5-6-5-2tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute Class {' negative',' positive'}
@data
0,2.0,3.0,9.0,9.0,6.0,2.0,3.0,' negativ
1,2.0,0.0,9.0,9.0,5.0,4.0,5.0,' negativ
2,5.0,2.0,9.0,9.0,6.0,5.0,5.0,' negativ
3,4.0,4.0,9.0,9.0,5.0,2.0,2.0,' negativ
4,4.0,4.0,9.0,9.0,6.0,3.0,4.0,' negativ
5,6.0,4.0,9.0,9.0,5.0,2.0,3.0,' negativ
6,4.0,6.0,9.0,9.0,4.0,4.0,4.0,' negativ
7,3.0,4.0,9.0,9.0,3.0,3.0,3.0,' negativ
8,4.0,5.0,9.0,9.0,5.0,2.0,2.0,' negativ
9,0.0,4.0,9.0,9.0,6.0,4.0,4.0,' negativ
10,3.0,0.0,9.0,9.0,5.0,0.0,1.0,' negativ
11,4.0,4.0,9.0,9.0,6.0,3.0,4.0,' negativ
12,4.0,4.0,9.0,9.0,5.0,5.0,5.0,' negativ
13,2.0,4.0,9.0,9.0,4.0,3.0,4.0,' negativ
14,5.0,4.0,9.0,9.0,4.0,2.0,0.0,' negativ
15,3.0,5.0,9.0,9.0,4.0,2.0,3.0,' negativ
16,0.0,5.0,9.0,9.0,3.0,2.0,3.0,' negativ
17,6.0,4.0,9.0,9.0,1.0,3.0,3.0,' negativ
18,6.0,6.0,9.0,9.0,4.0,3.0,3.0,' negativ
19,4.0,3.0,9.0,9.0,3.0,4.0,5.0,' negativ
20,3.0,3.0,9.0,9.0,5.0,5.0,5.0,' negativ
21,0.0,3.0,9.0,9.0,4.0,3.0,3.0,' negativ
22,0.0,4.0,9.0,9.0,4.0,5.0,5.0,' negativ
23,0.0,4.0,9.0,9.0,4.0,1.0,0.0,' negativ
24,5.0,3.0,9.0,9.0,5.0,5.0,5.0,' negativ
25,5.0,6.0,9.0,9.0,5.0,9.0,8.0,' negativ
26,1.0,7.0,9.0,9.0,8.0,6.0,6.0,' negativ
27,0.0,0.0,9.0,9.0,7.0,9.0,8.0,' negativ
28,8.0,3.0,9.0,9.0,6.0,9.0,9.0,' negativ
29,8.0,5.0,9.0,9.0,5.0,7.0,0.0,' negativ
30,5.0,6.0,9.0,9.0,6.0,7.0,7.0,' negativ
31,7.0,6.0,9.0,9.0,5.0,8.0,7.0,' negativ
32,8.0,0.0,9.0,9.0,8.0,0.0,7.0,' negativ
33,7.0,5.0,9.0,9.0,6.0,7.0,6.0,' negativ
34,3.0,5.0,9.0,9.0,7.0,0.0,0.0,' negativ
35,1.0,4.0,9.0,9.0,7.0,0.0,7.0,' negativ
36,6.0,6.0,9.0,9.0,6.0,0.0,8.0,' negativ
37,5.0,0.0,9.0,9.0,6.0,6.0,6.0,' negativ
38,4.0,5.0,9.0,9.0,4.0,8.0,7.0,' negativ
39,4.0,5.0,9.0,9.0,6.0,7.0,7.0,' negativ
40,3.0,4.0,9.0,9.0,0.0,8.0,8.0,' negativ
41,5.0,5.0,9.0,9.0,5.0,8.0,7.0,' negativ
42,7.0,5.0,9.0,9.0,0.0,0.0,3.0,' negativ
43,8.0,5.0,9.0,9.0,7.0,0.0,9.0,' negativ
44,8.0,4.0,9.0,9.0,7.0,8.0,7.0,' negativ
45,9.0,4.0,9.0,9.0,7.0,8.0,8.0,' negativ
46,7.0,4.0,9.0,9.0,6.0,7.0,6.0,' negativ
47,8.0,8.0,9.0,9.0,0.0,7.0,7.0,' negativ
48,9.0,5.0,9.0,9.0,6.0,8.0,7.0,' negativ
49,8.0,6.0,9.0,9.0,5.0,8.0,7.0,' negativ
50,7.0,4.0,9.0,9.0,6.0,8.0,8.0,' negativ
51,9.0,5.0,9.0,9.0,6.0,8.0,7.0,' negativ
52,7.0,4.0,9.0,9.0,7.0,6.0,6.0,' negativ
53,7.0,5.0,9.0,9.0,7.0,7.0,7.0,' negativ
54,8.0,4.0,9.0,9.0,5.0,8.0,6.0,' negativ
55,8.0,9.0,9.0,9.0,1.0,6.0,2.0,' negativ
56,8.0,9.0,9.0,9.0,5.0,5.0,4.0,' negativ
57,7.0,9.0,9.0,9.0,5.0,3.0,0.0,' negativ
58,7.0,7.0,9.0,9.0,4.0,0.0,2.0,' negativ
59,7.0,0.0,9.0,9.0,5.0,4.0,3.0,' negativ
60,7.0,5.0,9.0,9.0,6.0,8.0,7.0,' positiv
61,7.0,9.0,9.0,9.0,8.0,0.0,2.0,' positiv
62,8.0,0.0,9.0,9.0,6.0,5.0,2.0,' positiv
63,7.0,8.0,9.0,9.0,9.0,4.0,2.0,' positiv
64,7.0,5.0,0.0,9.0,6.0,6.0,3.0,' positiv
65,7.0,6.0,0.0,9.0,7.0,6.0,1.0,' positiv
66,9.0,5.0,9.0,9.0,6.0,5.0,3.0,' positiv
67,8.0,6.0,0.0,0.0,0.0,5.0,0.0,' positiv
68,0.0,4.0,0.0,9.0,5.0,9.0,8.0,' positiv
69,8.0,7.0,9.0,9.0,9.0,0.0,2.0,' positiv
70,7.0,7.0,9.0,9.0,7.0,4.0,2.0,' positiv
71,7.0,8.0,9.0,9.0,5.0,3.0,3.0,' positiv
72,7.0,9.0,9.0,9.0,8.0,5.0,3.0,' positiv
73,8.0,9.0,9.0,9.0,9.0,6.0,2.0,' positiv
74,8.0,8.0,9.0,9.0,9.0,6.0,0.0,' positiv
75,8.0,6.0,9.0,9.0,9.0,5.0,0.0,' positiv
76,8.0,8.0,9.0,9.0,8.0,5.0,1.0,' positiv
77,6.0,7.0,9.0,9.0,8.0,3.0,4.0,' positiv
78,7.0,5.0,9.0,9.0,7.0,5.0,3.0,' positiv
79,5.0,9.0,9.0,9.0,8.0,4.0,3.0,' positiv
80,7.0,6.0,9.0,9.0,0.0,3.0,2.0,' positiv
81,0.0,8.0,0.0,9.0,8.0,6.0,5.0,' positiv
82,7.0,6.0,9.0,9.0,8.0,4.0,2.0,' positiv
83,7.0,5.0,9.0,9.0,8.0,4.0,2.0,' positiv
84,8.0,8.0,9.0,9.0,7.0,4.0,3.0,' positiv
85,7.0,7.0,9.0,9.0,8.0,0.0,0.0,' positiv
86,8.0,6.0,0.0,9.0,4.0,5.0,0.0,' positiv
87,8.0,5.0,0.0,9.0,5.0,6.0,0.0,' positiv
88,7.0,5.0,0.0,9.0,7.0,6.0,2.0,' positiv
