@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD3_arff/ecoli-0-1-4-7_vs_5-6/EWD3ecoli-0-1-4-7_vs_5-6-5-5tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute Class {' negative',' positive'}
@data
0,0.0,0.0,9.0,6.0,3.0,4.0,' negativ
1,7.0,4.0,9.0,4.0,4.0,4.0,' negativ
2,4.0,2.0,9.0,6.0,5.0,5.0,' negativ
3,2.0,0.0,9.0,4.0,3.0,3.0,' negativ
4,0.0,4.0,9.0,4.0,2.0,0.0,' negativ
5,5.0,5.0,9.0,4.0,3.0,4.0,' negativ
6,2.0,0.0,9.0,5.0,3.0,4.0,' negativ
7,3.0,5.0,9.0,4.0,4.0,4.0,' negativ
8,2.0,2.0,9.0,3.0,2.0,3.0,' negativ
9,4.0,4.0,9.0,4.0,2.0,0.0,' negativ
10,3.0,2.0,9.0,4.0,3.0,4.0,' negativ
11,0.0,5.0,9.0,5.0,5.0,5.0,' negativ
12,5.0,4.0,9.0,4.0,3.0,4.0,' negativ
13,5.0,4.0,9.0,1.0,3.0,3.0,' negativ
14,7.0,6.0,9.0,3.0,4.0,2.0,' negativ
15,4.0,0.0,9.0,7.0,2.0,3.0,' negativ
16,2.0,3.0,9.0,4.0,0.0,0.0,' negativ
17,4.0,5.0,9.0,6.0,0.0,3.0,' negativ
18,3.0,4.0,9.0,4.0,3.0,4.0,' negativ
19,2.0,5.0,9.0,4.0,4.0,0.0,' negativ
20,4.0,3.0,9.0,4.0,3.0,4.0,' negativ
21,0.0,4.0,9.0,5.0,2.0,3.0,' negativ
22,3.0,4.0,9.0,6.0,3.0,4.0,' negativ
23,3.0,5.0,9.0,6.0,9.0,0.0,' negativ
24,5.0,4.0,9.0,7.0,7.0,7.0,' negativ
25,6.0,5.0,9.0,6.0,8.0,0.0,' negativ
26,5.0,6.0,9.0,6.0,7.0,7.0,' negativ
27,3.0,6.0,9.0,3.0,8.0,0.0,' negativ
28,5.0,6.0,9.0,5.0,8.0,7.0,' negativ
29,5.0,0.0,9.0,6.0,8.0,7.0,' negativ
30,7.0,0.0,9.0,8.0,0.0,7.0,' negativ
31,0.0,5.0,9.0,6.0,8.0,8.0,' negativ
32,9.0,6.0,9.0,5.0,8.0,7.0,' negativ
33,6.0,7.0,9.0,5.0,9.0,8.0,' negativ
34,5.0,5.0,9.0,5.0,8.0,7.0,' negativ
35,5.0,5.0,9.0,7.0,8.0,7.0,' negativ
36,0.0,5.0,9.0,4.0,7.0,2.0,' negativ
37,6.0,5.0,9.0,0.0,0.0,3.0,' negativ
38,7.0,5.0,9.0,7.0,0.0,9.0,' negativ
39,8.0,3.0,9.0,5.0,9.0,0.0,' negativ
40,8.0,3.0,9.0,6.0,8.0,7.0,' negativ
41,7.0,3.0,9.0,6.0,7.0,6.0,' negativ
42,8.0,6.0,9.0,5.0,8.0,7.0,' negativ
43,7.0,4.0,9.0,5.0,8.0,0.0,' negativ
44,9.0,4.0,9.0,6.0,9.0,0.0,' negativ
45,8.0,4.0,9.0,0.0,6.0,6.0,' negativ
46,9.0,5.0,9.0,6.0,8.0,0.0,' negativ
47,8.0,2.0,9.0,6.0,8.0,7.0,' negativ
48,8.0,9.0,9.0,1.0,6.0,2.0,' negativ
49,7.0,8.0,9.0,3.0,4.0,4.0,' negativ
50,7.0,8.0,9.0,5.0,4.0,1.0,' negativ
51,7.0,9.0,9.0,4.0,7.0,5.0,' negativ
52,3.0,4.0,9.0,6.0,3.0,3.0,' negativ
53,7.0,9.0,9.0,0.0,4.0,1.0,' negativ
54,7.0,9.0,9.0,4.0,5.0,0.0,' negativ
55,7.0,0.0,9.0,5.0,3.0,2.0,' negativ
56,7.0,7.0,9.0,4.0,0.0,3.0,' negativ
57,7.0,6.0,9.0,5.0,4.0,5.0,' negativ
58,7.0,7.0,9.0,5.0,0.0,3.0,' negativ
59,3.0,4.0,9.0,5.0,0.0,4.0,' negativ
60,8.0,7.0,9.0,9.0,0.0,2.0,' positiv
61,8.0,6.0,9.0,9.0,5.0,0.0,' positiv
62,7.0,8.0,9.0,9.0,5.0,2.0,' positiv
63,5.0,9.0,9.0,8.0,4.0,3.0,' positiv
64,7.0,5.0,0.0,7.0,6.0,2.0,' positiv
65,7.0,7.0,9.0,7.0,4.0,2.0,' positiv
66,7.0,9.0,9.0,8.0,0.0,2.0,' positiv
67,6.0,8.0,9.0,5.0,3.0,3.0,' positiv
68,7.0,9.0,9.0,8.0,6.0,3.0,' positiv
69,8.0,0.0,9.0,6.0,5.0,2.0,' positiv
70,8.0,9.0,9.0,9.0,6.0,2.0,' positiv
71,8.0,8.0,9.0,9.0,6.0,0.0,' positiv
72,8.0,8.0,9.0,8.0,6.0,1.0,' positiv
73,6.0,7.0,9.0,8.0,3.0,4.0,' positiv
74,7.0,5.0,9.0,7.0,6.0,3.0,' positiv
75,7.0,6.0,9.0,0.0,3.0,2.0,' positiv
76,0.0,8.0,0.0,8.0,6.0,5.0,' positiv
77,7.0,6.0,9.0,8.0,4.0,2.0,' positiv
78,7.0,5.0,9.0,8.0,5.0,2.0,' positiv
79,7.0,7.0,9.0,7.0,4.0,3.0,' positiv
80,7.0,7.0,9.0,8.0,0.0,0.0,' positiv
81,8.0,6.0,0.0,4.0,6.0,0.0,' positiv
82,7.0,5.0,0.0,6.0,6.0,3.0,' positiv
83,7.0,5.0,0.0,5.0,6.0,0.0,' positiv
84,7.0,6.0,0.0,7.0,6.0,1.0,' positiv
