@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD3_arff/ecoli-0-1_vs_2-3-5/EWD3ecoli-0-1_vs_2-3-5-5-3tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute Class {' negative',' positive'}
@data
0,2.0,0.0,9.0,9.0,5.0,4.0,5.0,' negativ
1,4.0,4.0,9.0,9.0,5.0,2.0,2.0,' negativ
2,2.0,0.0,9.0,9.0,5.0,3.0,4.0,' negativ
3,2.0,5.0,9.0,9.0,0.0,3.0,4.0,' negativ
4,5.0,4.0,9.0,9.0,5.0,3.0,4.0,' negativ
5,6.0,5.0,9.0,9.0,3.0,3.0,5.0,' negativ
6,4.0,6.0,9.0,9.0,4.0,3.0,5.0,' negativ
7,3.0,4.0,9.0,9.0,3.0,2.0,4.0,' negativ
8,5.0,0.0,9.0,9.0,4.0,2.0,4.0,' negativ
9,2.0,4.0,9.0,9.0,4.0,3.0,4.0,' negativ
10,4.0,2.0,9.0,9.0,4.0,3.0,4.0,' negativ
11,4.0,6.0,9.0,9.0,4.0,4.0,5.0,' negativ
12,0.0,5.0,9.0,9.0,5.0,5.0,6.0,' negativ
13,6.0,4.0,9.0,9.0,3.0,3.0,4.0,' negativ
14,0.0,5.0,9.0,9.0,2.0,2.0,3.0,' negativ
15,7.0,6.0,9.0,9.0,3.0,3.0,3.0,' negativ
16,2.0,3.0,9.0,9.0,4.0,0.0,0.0,' negativ
17,5.0,3.0,9.0,9.0,3.0,4.0,5.0,' negativ
18,5.0,4.0,9.0,9.0,5.0,0.0,0.0,' negativ
19,4.0,4.0,9.0,9.0,4.0,3.0,4.0,' negativ
20,3.0,2.0,9.0,9.0,0.0,4.0,0.0,' negativ
21,0.0,5.0,9.0,9.0,4.0,3.0,4.0,' negativ
22,4.0,4.0,9.0,9.0,4.0,4.0,5.0,' negativ
23,0.0,4.0,9.0,9.0,4.0,5.0,6.0,' negativ
24,0.0,4.0,9.0,9.0,5.0,2.0,3.0,' negativ
25,3.0,0.0,9.0,9.0,7.0,2.0,4.0,' negativ
26,4.0,4.0,9.0,9.0,5.0,3.0,4.0,' negativ
27,2.0,3.0,9.0,9.0,4.0,2.0,4.0,' negativ
28,0.0,6.0,9.0,9.0,5.0,9.0,4.0,' negativ
29,5.0,5.0,9.0,9.0,4.0,4.0,6.0,' negativ
30,3.0,3.0,9.0,9.0,5.0,8.0,8.0,' negativ
31,6.0,4.0,9.0,9.0,7.0,7.0,8.0,' negativ
32,3.0,5.0,9.0,9.0,7.0,6.0,7.0,' negativ
33,1.0,7.0,9.0,9.0,8.0,6.0,7.0,' negativ
34,6.0,5.0,9.0,9.0,0.0,9.0,9.0,' negativ
35,5.0,6.0,9.0,9.0,5.0,8.0,8.0,' negativ
36,7.0,0.0,9.0,9.0,6.0,9.0,9.0,' negativ
37,5.0,0.0,9.0,9.0,6.0,7.0,8.0,' negativ
38,8.0,0.0,9.0,9.0,7.0,0.0,8.0,' negativ
39,0.0,0.0,0.0,9.0,5.0,8.0,0.0,' negativ
40,0.0,5.0,9.0,9.0,4.0,8.0,9.0,' negativ
41,1.0,0.0,9.0,9.0,6.0,7.0,7.0,' negativ
42,6.0,6.0,9.0,9.0,6.0,8.0,8.0,' negativ
43,9.0,5.0,9.0,9.0,5.0,5.0,3.0,' positiv
44,0.0,4.0,0.0,9.0,5.0,8.0,9.0,' positiv
45,9.0,7.0,9.0,9.0,9.0,0.0,3.0,' positiv
46,7.0,5.0,9.0,9.0,7.0,5.0,3.0,' positiv
47,7.0,5.0,9.0,9.0,8.0,4.0,3.0,' positiv
48,7.0,5.0,9.0,9.0,5.0,8.0,8.0,' positiv
49,8.0,6.0,0.0,0.0,0.0,4.0,0.0,' positiv
50,7.0,7.0,9.0,9.0,7.0,4.0,3.0,' positiv
51,7.0,9.0,9.0,9.0,8.0,0.0,2.0,' positiv
52,7.0,8.0,9.0,9.0,5.0,3.0,3.0,' positiv
53,7.0,9.0,9.0,9.0,8.0,5.0,4.0,' positiv
54,8.0,0.0,9.0,9.0,6.0,5.0,3.0,' positiv
55,8.0,9.0,9.0,9.0,9.0,6.0,3.0,' positiv
56,8.0,8.0,9.0,9.0,9.0,6.0,0.0,' positiv
57,9.0,6.0,9.0,9.0,9.0,5.0,0.0,' positiv
58,8.0,8.0,9.0,9.0,8.0,5.0,1.0,' positiv
59,8.0,8.0,9.0,9.0,9.0,4.0,2.0,' positiv
60,6.0,7.0,9.0,9.0,8.0,3.0,5.0,' positiv
61,6.0,9.0,9.0,9.0,8.0,3.0,4.0,' positiv
62,7.0,6.0,9.0,9.0,0.0,3.0,2.0,' positiv
63,0.0,8.0,0.0,9.0,8.0,6.0,5.0,' positiv
64,8.0,6.0,9.0,9.0,8.0,4.0,2.0,' positiv
65,8.0,8.0,9.0,9.0,7.0,4.0,3.0,' positiv
66,8.0,7.0,9.0,9.0,8.0,0.0,0.0,' positiv
