@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD3_arff/ecoli-0-6-7_vs_5/EWD3ecoli-0-6-7_vs_5-5-4tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute Class {' negative',' positive'}
@data
0,2.0,4.0,9.0,5.0,1.0,3.0,' negativ
1,5.0,2.0,9.0,6.0,6.0,6.0,' negativ
2,2.0,0.0,9.0,4.0,3.0,4.0,' negativ
3,5.0,6.0,9.0,4.0,2.0,3.0,' negativ
4,0.0,4.0,9.0,3.0,2.0,0.0,' negativ
5,6.0,6.0,9.0,4.0,3.0,5.0,' negativ
6,3.0,4.0,9.0,5.0,5.0,6.0,' negativ
7,5.0,4.0,9.0,5.0,3.0,5.0,' negativ
8,4.0,3.0,9.0,3.0,3.0,5.0,' negativ
9,7.0,5.0,9.0,3.0,4.0,5.0,' negativ
10,8.0,5.0,9.0,6.0,0.0,0.0,' negativ
11,1.0,4.0,9.0,4.0,4.0,0.0,' negativ
12,5.0,0.0,9.0,4.0,3.0,4.0,' negativ
13,2.0,3.0,9.0,3.0,4.0,5.0,' negativ
14,2.0,6.0,9.0,3.0,6.0,6.0,' negativ
15,5.0,4.0,9.0,5.0,3.0,5.0,' negativ
16,5.0,6.0,9.0,0.0,5.0,6.0,' negativ
17,4.0,4.0,9.0,5.0,5.0,6.0,' negativ
18,1.0,0.0,9.0,4.0,2.0,4.0,' negativ
19,5.0,2.0,9.0,4.0,2.0,4.0,' negativ
20,5.0,4.0,9.0,0.0,2.0,2.0,' negativ
21,3.0,5.0,9.0,2.0,3.0,4.0,' negativ
22,8.0,8.0,9.0,4.0,3.0,4.0,' negativ
23,4.0,0.0,9.0,6.0,2.0,4.0,' negativ
24,3.0,3.0,9.0,0.0,0.0,0.0,' negativ
25,6.0,5.0,9.0,5.0,1.0,3.0,' negativ
26,2.0,5.0,9.0,3.0,4.0,0.0,' negativ
27,0.0,5.0,9.0,4.0,3.0,5.0,' negativ
28,2.0,3.0,9.0,4.0,2.0,4.0,' negativ
29,3.0,4.0,9.0,3.0,4.0,5.0,' negativ
30,9.0,5.0,0.0,5.0,6.0,0.0,' negativ
31,9.0,5.0,9.0,4.0,6.0,4.0,' negativ
32,8.0,9.0,9.0,2.0,4.0,2.0,' negativ
33,8.0,9.0,9.0,3.0,7.0,6.0,' negativ
34,8.0,8.0,9.0,4.0,5.0,4.0,' negativ
35,0.0,8.0,9.0,4.0,9.0,9.0,' negativ
36,8.0,7.0,9.0,5.0,0.0,4.0,' negativ
37,9.0,6.0,9.0,5.0,8.0,0.0,' negativ
38,9.0,6.0,9.0,5.0,3.0,3.0,' negativ
39,8.0,9.0,9.0,8.0,0.0,2.0,' positiv
40,9.0,8.0,9.0,9.0,6.0,0.0,' positiv
41,6.0,9.0,9.0,8.0,4.0,4.0,' positiv
42,0.0,8.0,0.0,8.0,6.0,6.0,' positiv
43,9.0,7.0,9.0,9.0,0.0,3.0,' positiv
44,7.0,7.0,9.0,7.0,4.0,3.0,' positiv
45,7.0,8.0,9.0,5.0,3.0,3.0,' positiv
46,8.0,9.0,9.0,8.0,6.0,4.0,' positiv
47,9.0,0.0,9.0,6.0,6.0,3.0,' positiv
48,9.0,9.0,9.0,9.0,6.0,3.0,' positiv
49,9.0,6.0,9.0,9.0,6.0,0.0,' positiv
50,9.0,8.0,9.0,8.0,6.0,1.0,' positiv
51,8.0,8.0,9.0,9.0,5.0,3.0,' positiv
52,7.0,7.0,9.0,8.0,4.0,5.0,' positiv
53,8.0,5.0,9.0,7.0,6.0,3.0,' positiv
54,8.0,6.0,9.0,0.0,3.0,3.0,' positiv
55,8.0,6.0,9.0,8.0,4.0,2.0,' positiv
56,7.0,5.0,9.0,8.0,5.0,3.0,' positiv
57,9.0,8.0,9.0,7.0,4.0,4.0,' positiv
58,8.0,7.0,9.0,8.0,0.0,0.0,' positiv
