,0,1,2,3,4,5,Class
0,0.0,0.0,1.0,2.0,1.0,1.0, negative
1,1.0,0.0,1.0,1.0,1.0,1.0, negative
2,0.0,1.0,1.0,2.0,0.0,1.0, negative
3,2.0,1.0,1.0,1.0,1.0,1.0, negative
4,0.0,1.0,1.0,1.0,0.0,1.0, negative
5,0.0,1.0,1.0,2.0,0.0,1.0, negative
6,0.0,2.0,1.0,1.0,1.0,2.0, negative
7,1.0,0.0,1.0,2.0,0.0,0.0, negative
8,1.0,1.0,1.0,2.0,0.0,1.0, negative
9,0.0,2.0,1.0,1.0,0.0,1.0, negative
10,1.0,1.0,1.0,1.0,0.0,1.0, negative
11,1.0,0.0,1.0,1.0,1.0,1.0, negative
12,0.0,0.0,1.0,1.0,1.0,1.0, negative
13,1.0,2.0,1.0,1.0,0.0,1.0, negative
14,1.0,1.0,1.0,2.0,1.0,2.0, negative
15,0.0,0.0,1.0,1.0,0.0,1.0, negative
16,1.0,2.0,1.0,1.0,0.0,1.0, negative
17,0.0,2.0,1.0,1.0,0.0,0.0, negative
18,1.0,1.0,1.0,2.0,0.0,0.0, negative
19,1.0,2.0,1.0,1.0,1.0,1.0, negative
20,0.0,0.0,1.0,2.0,0.0,1.0, negative
21,0.0,1.0,1.0,1.0,1.0,1.0, negative
22,0.0,0.0,1.0,1.0,1.0,1.0, negative
23,1.0,1.0,1.0,2.0,1.0,1.0, negative
24,1.0,1.0,1.0,1.0,0.0,1.0, negative
25,0.0,1.0,1.0,1.0,1.0,1.0, negative
26,1.0,2.0,1.0,1.0,1.0,1.0, negative
27,2.0,2.0,1.0,2.0,0.0,0.0, negative
28,1.0,1.0,1.0,1.0,0.0,1.0, negative
29,1.0,2.0,1.0,1.0,0.0,1.0, negative
30,0.0,1.0,1.0,2.0,1.0,1.0, negative
31,2.0,2.0,1.0,1.0,1.0,1.0, negative
32,1.0,1.0,1.0,2.0,1.0,2.0, negative
33,1.0,0.0,1.0,1.0,0.0,1.0, negative
34,1.0,1.0,1.0,2.0,0.0,1.0, negative
35,0.0,1.0,1.0,1.0,1.0,1.0, negative
36,1.0,2.0,1.0,1.0,1.0,1.0, negative
37,0.0,1.0,1.0,1.0,1.0,1.0, negative
38,0.0,2.0,1.0,1.0,1.0,2.0, negative
39,1.0,2.0,1.0,0.0,0.0,1.0, negative
40,1.0,2.0,1.0,1.0,1.0,1.0, negative
41,0.0,1.0,1.0,1.0,1.0,1.0, negative
42,1.0,1.0,1.0,2.0,1.0,1.0, negative
43,1.0,2.0,1.0,0.0,1.0,1.0, negative
44,1.0,1.0,1.0,1.0,0.0,1.0, negative
45,1.0,1.0,1.0,1.0,1.0,1.0, negative
46,0.0,0.0,1.0,1.0,0.0,1.0, negative
47,1.0,1.0,1.0,2.0,1.0,1.0, negative
48,0.0,1.0,1.0,2.0,1.0,2.0, negative
49,0.0,1.0,1.0,1.0,1.0,1.0, negative
50,1.0,2.0,1.0,1.0,1.0,1.0, negative
51,0.0,1.0,1.0,1.0,0.0,1.0, negative
52,1.0,2.0,1.0,2.0,0.0,1.0, negative
53,0.0,1.0,1.0,1.0,0.0,1.0, negative
54,1.0,2.0,1.0,1.0,0.0,1.0, negative
55,1.0,0.0,1.0,1.0,1.0,1.0, negative
56,1.0,1.0,1.0,1.0,0.0,0.0, negative
57,1.0,0.0,1.0,1.0,0.0,1.0, negative
58,1.0,1.0,1.0,1.0,0.0,1.0, negative
59,1.0,2.0,1.0,2.0,1.0,1.0, negative
60,1.0,1.0,1.0,1.0,0.0,1.0, negative
61,0.0,1.0,1.0,1.0,1.0,1.0, negative
62,1.0,1.0,1.0,1.0,1.0,1.0, negative
63,0.0,2.0,1.0,1.0,0.0,1.0, negative
64,1.0,2.0,1.0,2.0,1.0,1.0, negative
65,1.0,2.0,1.0,1.0,1.0,1.0, negative
66,1.0,2.0,1.0,1.0,1.0,1.0, negative
67,1.0,1.0,1.0,0.0,0.0,1.0, negative
68,1.0,2.0,1.0,2.0,1.0,1.0, negative
69,0.0,1.0,1.0,1.0,0.0,1.0, negative
70,1.0,1.0,1.0,0.0,0.0,1.0, negative
71,0.0,2.0,1.0,1.0,0.0,1.0, negative
72,1.0,2.0,1.0,1.0,0.0,1.0, negative
73,1.0,1.0,1.0,0.0,1.0,1.0, negative
74,2.0,2.0,1.0,1.0,1.0,1.0, negative
75,1.0,2.0,1.0,2.0,1.0,1.0, negative
76,1.0,0.0,1.0,2.0,0.0,1.0, negative
77,1.0,1.0,1.0,2.0,0.0,1.0, negative
78,1.0,2.0,1.0,2.0,0.0,1.0, negative
79,0.0,1.0,1.0,1.0,0.0,0.0, negative
80,0.0,0.0,1.0,1.0,1.0,1.0, negative
81,1.0,1.0,1.0,1.0,1.0,1.0, negative
82,1.0,1.0,1.0,1.0,0.0,0.0, negative
83,1.0,1.0,1.0,2.0,0.0,1.0, negative
84,1.0,1.0,1.0,0.0,0.0,0.0, negative
85,1.0,1.0,1.0,2.0,1.0,2.0, negative
86,1.0,1.0,1.0,1.0,0.0,1.0, negative
87,1.0,0.0,1.0,1.0,0.0,1.0, negative
88,1.0,2.0,1.0,1.0,0.0,1.0, negative
89,1.0,2.0,1.0,2.0,0.0,1.0, negative
90,1.0,1.0,1.0,1.0,1.0,1.0, negative
91,1.0,2.0,1.0,2.0,0.0,1.0, negative
92,0.0,1.0,1.0,0.0,1.0,0.0, negative
93,0.0,1.0,1.0,1.0,1.0,1.0, negative
94,0.0,1.0,1.0,1.0,0.0,1.0, negative
95,0.0,1.0,1.0,2.0,0.0,1.0, negative
96,2.0,1.0,1.0,1.0,1.0,1.0, negative
97,0.0,1.0,1.0,1.0,0.0,1.0, negative
98,0.0,2.0,1.0,1.0,1.0,1.0, negative
99,0.0,1.0,1.0,1.0,0.0,1.0, negative
100,1.0,2.0,1.0,1.0,1.0,1.0, negative
101,0.0,1.0,1.0,1.0,1.0,2.0, negative
102,1.0,1.0,1.0,1.0,1.0,1.0, negative
103,0.0,0.0,1.0,2.0,0.0,1.0, negative
104,0.0,2.0,1.0,1.0,1.0,1.0, negative
105,1.0,1.0,1.0,2.0,1.0,1.0, negative
106,0.0,1.0,1.0,1.0,0.0,0.0, negative
107,0.0,0.0,1.0,1.0,0.0,1.0, negative
108,0.0,1.0,1.0,2.0,0.0,1.0, negative
109,0.0,1.0,1.0,1.0,0.0,1.0, negative
110,1.0,1.0,1.0,1.0,1.0,2.0, negative
111,0.0,1.0,1.0,1.0,1.0,1.0, negative
112,0.0,1.0,1.0,2.0,0.0,1.0, negative
113,2.0,1.0,1.0,2.0,2.0,2.0, negative
114,2.0,1.0,1.0,2.0,2.0,2.0, negative
115,2.0,1.0,1.0,1.0,2.0,0.0, negative
116,2.0,1.0,1.0,2.0,2.0,2.0, negative
117,2.0,2.0,1.0,2.0,0.0,2.0, negative
118,2.0,2.0,1.0,1.0,2.0,2.0, negative
119,2.0,2.0,1.0,0.0,2.0,2.0, negative
120,2.0,2.0,1.0,2.0,2.0,2.0, negative
121,2.0,2.0,1.0,2.0,2.0,2.0, negative
122,2.0,2.0,1.0,1.0,2.0,2.0, negative
123,2.0,0.0,1.0,2.0,2.0,2.0, negative
124,2.0,1.0,1.0,1.0,2.0,0.0, negative
125,2.0,1.0,1.0,2.0,2.0,2.0, negative
126,2.0,1.0,1.0,2.0,2.0,0.0, negative
127,1.0,2.0,1.0,2.0,2.0,2.0, negative
128,2.0,1.0,1.0,0.0,2.0,2.0, negative
129,0.0,2.0,1.0,0.0,2.0,2.0, negative
130,2.0,2.0,1.0,2.0,2.0,0.0, negative
131,2.0,1.0,1.0,2.0,2.0,2.0, negative
132,1.0,2.0,0.0,2.0,2.0,2.0, negative
133,2.0,1.0,1.0,2.0,2.0,2.0, negative
134,2.0,2.0,1.0,2.0,2.0,0.0, negative
135,2.0,2.0,1.0,2.0,2.0,2.0, negative
136,2.0,2.0,1.0,2.0,2.0,2.0, negative
