,0,1,2,3,4,5,6,7,8,9,Class
0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0, negative
1,0.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0, negative
2,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0, negative
3,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0, negative
4,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0, negative
5,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0, negative
6,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0, negative
7,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0, negative
8,1.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0, negative
9,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0, negative
10,1.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0, negative
11,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0, negative
12,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0, negative
13,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0, negative
14,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0, negative
15,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0, negative
16,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0, negative
17,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0, negative
18,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0, negative
19,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0, negative
20,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0, negative
21,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0, negative
22,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0, negative
23,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0, negative
24,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0, negative
25,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0, negative
26,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0, negative
27,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0, negative
28,0.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0, negative
29,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0, negative
30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0, negative
31,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0, negative
32,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0, negative
33,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0, negative
34,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0, negative
35,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0, negative
36,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0, negative
37,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
38,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0, negative
39,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0, negative
40,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0, negative
41,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0, negative
42,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0, positive
43,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0, negative
44,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0, negative
45,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0, negative
46,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0, negative
47,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0, negative
48,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0, negative
49,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0, negative
50,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0, negative
51,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0, negative
52,2.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0, negative
53,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0, negative
54,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0, negative
55,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0, negative
56,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0, negative
57,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0, negative
58,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0, negative
59,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0, negative
60,0.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0, negative
61,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0, negative
62,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0, negative
63,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0, negative
64,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0, negative
65,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0, negative
66,2.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0, negative
67,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0, negative
68,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0, negative
69,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0, negative
70,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0, negative
71,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0, negative
72,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0, negative
73,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0, negative
74,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0, negative
75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0, negative
76,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0, negative
77,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0, negative
78,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0, negative
79,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0, negative
80,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0, negative
81,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0, negative
82,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0, negative
83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
84,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0, positive
85,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0, negative
86,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0, negative
87,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0, negative
88,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0, negative
89,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0, negative
90,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0, negative
91,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0, negative
92,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0, negative
93,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0, negative
94,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0, negative
95,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0, negative
96,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0, negative
97,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0, negative
98,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0, negative
99,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0, negative
100,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0, negative
101,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0, negative
102,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0, negative
103,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0, negative
