@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN1_arff/glass1/KBN1glass1-5-3tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute Class {' negative'}
@data
0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
1,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
2,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
3,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
4,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
5,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
6,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
7,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,' negativ
8,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
9,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
10,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
11,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
12,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
13,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
14,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
15,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
16,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
17,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
18,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
19,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,' negativ
20,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,' negativ
21,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
22,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
23,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,' negativ
24,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
25,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,' negativ
26,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
27,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
28,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,' negativ
29,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
30,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
31,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
32,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,' negativ
33,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,' negativ
34,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,' negativ
35,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
36,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,' negativ
37,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
38,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
39,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
40,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,' negativ
41,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
42,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
43,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
44,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
45,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,' negativ
46,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
47,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,' negativ
48,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
49,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,' negativ
50,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
51,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
52,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
53,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
54,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,' negativ
55,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
56,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,' negativ
57,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
58,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
59,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
60,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
61,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,' negativ
62,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
63,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,' negativ
64,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
65,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
66,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
67,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,' negativ
68,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,' negativ
69,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,' negativ
70,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,' negativ
71,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,' negativ
72,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,' negativ
73,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,' negativ
74,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,' negativ
75,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,' negativ
76,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,' negativ
77,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,' negativ
78,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
79,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,' negativ
80,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,' negativ
81,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,' negativ
82,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,' negativ
83,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,' negativ
84,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,' negativ
85,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,' negativ
86,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,' negativ
87,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,' negativ
88,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,' negativ
89,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,' negativ
90,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,' negativ
91,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
92,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,' negativ
93,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,' negativ
94,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,' negativ
95,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,' negativ
96,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,' negativ
97,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,' negativ
98,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,' negativ
99,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,' negativ
100,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,' negativ
101,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,' negativ
102,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,' negativ
103,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,' negativ
104,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,' negativ
105,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,' negativ
106,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,' negativ
107,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,' negativ
108,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,' negativ
