@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN1_arff/poker-8_vs_6/KBN1poker-8_vs_6-5-2tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute Class {' negative'}
@data
0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
2,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,' negativ
3,0.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,' negativ
4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,' negativ
6,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,' negativ
7,1.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,' negativ
8,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,' negativ
9,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,' negativ
10,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,' negativ
11,0.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,' negativ
12,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,' negativ
13,0.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,' negativ
14,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,' negativ
15,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,' negativ
16,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,' negativ
17,2.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,' negativ
18,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,' negativ
19,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,' negativ
20,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,' negativ
21,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,' negativ
22,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,' negativ
23,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,' negativ
24,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,' negativ
25,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,' negativ
26,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,' negativ
27,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,' negativ
28,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,' negativ
29,1.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,' negativ
30,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,' negativ
31,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,' negativ
32,1.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,' negativ
33,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,' negativ
34,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,' negativ
35,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,' negativ
36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,' negativ
37,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,' negativ
38,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,' negativ
39,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,' negativ
40,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,' negativ
41,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,' negativ
42,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,' negativ
43,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,' negativ
44,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,' negativ
45,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,' negativ
46,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,' negativ
47,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,' negativ
48,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,' negativ
49,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,' negativ
50,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,' negativ
51,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,' negativ
52,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,' negativ
53,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,' negativ
54,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,' negativ
55,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,' negativ
56,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
57,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,' negativ
58,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,' negativ
59,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,' negativ
60,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,' negativ
61,2.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,' negativ
62,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,' negativ
63,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,' negativ
64,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,' negativ
65,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,' negativ
66,0.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,' negativ
67,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,' negativ
68,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,' negativ
69,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,' negativ
70,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,' negativ
