@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN1_arff/yeast3/KBN1yeast3-5-4tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative',' positive'}
@data
0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,' negativ
1,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
2,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
3,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
4,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
5,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,' negativ
6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,' negativ
7,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,' positiv
8,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,' negativ
9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,' positiv
10,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
11,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
12,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,' negativ
13,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,' negativ
14,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,' positiv
15,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,' negativ
16,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
17,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
18,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,' negativ
19,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,' negativ
20,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,' negativ
21,2.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,' negativ
22,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
23,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,' positiv
24,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,' negativ
25,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,' negativ
26,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,' negativ
27,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
28,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,' negativ
29,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
30,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,' negativ
31,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
32,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
33,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,' positiv
