,0,1,2,3,4,5,6,7,Class
0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
2,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0, negative
3,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0, negative
4,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0, negative
5,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
6,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
7,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0, negative
9,0.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0, negative
10,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
11,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
12,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
16,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0, negative
17,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
18,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
20,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
21,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
24,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0, negative
25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
26,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
27,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0, negative
28,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0, negative
29,1.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0, negative
30,1.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0, negative
31,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
32,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0, negative
33,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
34,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0, negative
35,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0, negative
36,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0, negative
37,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
38,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0, negative
39,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0, negative
40,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0, negative
41,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0, negative
42,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0, negative
43,0.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0, negative
44,0.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0, negative
45,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0, negative
46,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0, negative
47,0.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0, negative
48,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0, negative
49,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0, negative
50,1.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0, negative
51,0.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0, negative
52,0.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0, negative
53,0.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0, negative
54,1.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0, negative
55,0.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0, negative
56,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0, negative
57,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
58,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0, negative
59,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
60,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
61,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0, negative
62,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0, negative
63,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
64,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0, negative
65,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0, negative
66,1.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0, negative
67,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0, negative
68,0.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0, negative
69,0.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0, negative
70,0.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0, negative
71,0.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0, negative
72,0.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0, negative
73,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0, negative
74,0.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0, negative
75,0.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0, negative
76,0.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0, negative
77,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
78,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
79,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
80,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
81,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
82,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0, negative
83,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
84,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0, negative
85,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0, negative
86,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0, negative
87,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
88,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0, negative
89,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0, negative
90,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0, negative
91,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
92,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
93,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0, negative
94,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
95,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
96,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
97,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0, negative
98,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0, negative
99,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0, negative
100,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0, negative
101,0.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0, negative
102,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0, negative
103,0.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0, negative
104,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
105,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
106,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0, negative
107,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0, negative
108,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
109,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0, negative
110,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0, negative
111,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0, negative
112,0.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0, negative
113,0.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0, negative
114,0.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0, negative
115,0.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0, negative
116,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0, negative
117,1.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0, negative
118,0.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0, negative
119,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
120,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0, negative
121,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
122,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
123,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
124,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0, negative
125,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
126,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
127,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
128,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0, negative
129,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
130,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0, negative
131,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0, negative
132,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0, negative
133,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
134,0.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0, negative
135,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0, negative
136,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0, negative
