%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 8     Instances: 146
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute 'y' {' negative'}

@data
0,3.0,0.0,1.0,2.0,1.0,2.0,' negative'
1,3.0,3.0,1.0,3.0,2.0,1.0,' negative'
2,1.0,1.0,1.0,3.0,1.0,1.0,' negative'
3,3.0,2.0,1.0,1.0,1.0,2.0,' negative'
4,1.0,1.0,1.0,2.0,1.0,1.0,' negative'
5,0.0,2.0,1.0,2.0,2.0,3.0,' negative'
6,2.0,1.0,1.0,3.0,1.0,2.0,' negative'
7,1.0,3.0,1.0,2.0,0.0,1.0,' negative'
8,1.0,2.0,1.0,2.0,0.0,1.0,' negative'
9,1.0,0.0,1.0,2.0,2.0,3.0,' negative'
10,1.0,2.0,1.0,1.0,1.0,1.0,' negative'
11,2.0,1.0,1.0,3.0,2.0,3.0,' negative'
12,1.0,0.0,1.0,1.0,1.0,2.0,' negative'
13,2.0,3.0,1.0,1.0,1.0,1.0,' negative'
14,0.0,2.0,1.0,1.0,1.0,0.0,' negative'
15,1.0,1.0,1.0,4.0,0.0,0.0,' negative'
16,2.0,3.0,1.0,2.0,1.0,2.0,' negative'
17,1.0,2.0,1.0,2.0,1.0,1.0,' negative'
18,1.0,0.0,1.0,2.0,1.0,2.0,' negative'
19,1.0,3.0,1.0,0.0,1.0,2.0,' negative'
20,2.0,2.0,1.0,3.0,1.0,2.0,' negative'
21,2.0,2.0,1.0,2.0,1.0,2.0,' negative'
22,2.0,2.0,1.0,2.0,1.0,1.0,' negative'
23,1.0,1.0,1.0,1.0,1.0,2.0,' negative'
24,3.0,3.0,1.0,1.0,1.0,2.0,' negative'
25,1.0,1.0,1.0,1.0,0.0,1.0,' negative'
26,1.0,3.0,1.0,2.0,1.0,2.0,' negative'
27,3.0,3.0,1.0,3.0,0.0,0.0,' negative'
28,1.0,2.0,1.0,1.0,1.0,2.0,' negative'
29,2.0,3.0,1.0,2.0,1.0,1.0,' negative'
30,1.0,2.0,1.0,3.0,1.0,2.0,' negative'
31,0.0,2.0,1.0,3.0,2.0,2.0,' negative'
32,0.0,0.0,1.0,2.0,2.0,2.0,' negative'
33,1.0,2.0,1.0,0.0,1.0,2.0,' negative'
34,3.0,2.0,1.0,2.0,1.0,2.0,' negative'
35,0.0,2.0,1.0,2.0,2.0,0.0,' negative'
36,2.0,0.0,1.0,1.0,1.0,2.0,' negative'
37,2.0,1.0,1.0,3.0,0.0,1.0,' negative'
38,1.0,1.0,1.0,2.0,1.0,2.0,' negative'
39,2.0,3.0,1.0,2.0,2.0,1.0,' negative'
40,1.0,0.0,1.0,2.0,0.0,0.0,' negative'
41,1.0,2.0,1.0,1.0,2.0,2.0,' negative'
42,1.0,3.0,1.0,1.0,2.0,3.0,' negative'
43,2.0,3.0,1.0,1.0,0.0,1.0,' negative'
44,3.0,3.0,1.0,1.0,1.0,2.0,' negative'
45,2.0,2.0,1.0,1.0,1.0,2.0,' negative'
46,0.0,1.0,1.0,2.0,1.0,2.0,' negative'
47,2.0,1.0,1.0,0.0,1.0,2.0,' negative'
48,2.0,2.0,1.0,3.0,1.0,2.0,' negative'
49,2.0,3.0,1.0,0.0,2.0,3.0,' negative'
50,2.0,2.0,1.0,2.0,1.0,2.0,' negative'
51,1.0,2.0,1.0,2.0,2.0,3.0,' negative'
52,2.0,1.0,1.0,3.0,1.0,2.0,' negative'
53,1.0,2.0,1.0,3.0,2.0,3.0,' negative'
54,1.0,2.0,1.0,2.0,1.0,2.0,' negative'
55,2.0,3.0,1.0,2.0,2.0,3.0,' negative'
56,1.0,2.0,1.0,2.0,1.0,1.0,' negative'
57,1.0,1.0,1.0,1.0,1.0,1.0,' negative'
58,2.0,3.0,1.0,2.0,1.0,1.0,' negative'
59,2.0,2.0,1.0,2.0,1.0,0.0,' negative'
60,1.0,2.0,1.0,1.0,1.0,2.0,' negative'
61,2.0,0.0,1.0,2.0,1.0,1.0,' negative'
62,2.0,2.0,1.0,2.0,1.0,1.0,' negative'
63,2.0,3.0,1.0,3.0,2.0,3.0,' negative'
64,2.0,1.0,1.0,2.0,1.0,2.0,' negative'
65,1.0,2.0,1.0,2.0,1.0,2.0,' negative'
66,1.0,1.0,1.0,2.0,1.0,2.0,' negative'
67,2.0,2.0,1.0,2.0,1.0,2.0,' negative'
68,1.0,3.0,1.0,2.0,1.0,1.0,' negative'
69,1.0,3.0,1.0,3.0,1.0,2.0,' negative'
70,0.0,3.0,1.0,3.0,2.0,3.0,' negative'
71,0.0,3.0,1.0,2.0,2.0,3.0,' negative'
72,2.0,2.0,1.0,1.0,1.0,2.0,' negative'
73,0.0,3.0,1.0,1.0,1.0,1.0,' negative'
74,2.0,2.0,1.0,0.0,1.0,2.0,' negative'
75,1.0,3.0,1.0,3.0,1.0,2.0,' negative'
76,0.0,2.0,1.0,1.0,1.0,1.0,' negative'
77,1.0,3.0,1.0,1.0,1.0,2.0,' negative'
