,0,1,2,3,4,5,6,7,8,Class
0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0, negative
1,3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0, negative
2,2.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0, negative
3,1.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,2.0, negative
4,2.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0, negative
5,2.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0, negative
6,3.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0, negative
7,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0, negative
8,2.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0, negative
9,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0, negative
10,2.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0, negative
11,2.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0, negative
12,3.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0, negative
13,4.0,2.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0, negative
14,4.0,2.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0, negative
15,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0, negative
16,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0, negative
17,2.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0, negative
18,2.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,2.0, negative
19,2.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0, negative
20,2.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0, negative
21,2.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0, negative
22,2.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0, negative
23,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0, negative
24,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0, negative
25,1.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0, negative
26,1.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0, negative
27,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0, negative
28,1.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0, negative
29,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0, negative
30,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0, negative
31,1.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0, negative
32,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0, positive
33,0.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0, positive
34,3.0,3.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0, positive
35,1.0,3.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0, positive
36,0.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0, positive
37,4.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0, positive
38,1.0,3.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0, positive
39,1.0,2.0,0.0,3.0,3.0,0.0,2.0,1.0,4.0, positive
40,1.0,3.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0, positive
41,2.0,3.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0, positive
42,3.0,1.0,0.0,2.0,3.0,1.0,4.0,0.0,0.0, positive
43,3.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0, positive
44,1.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0,0.0, positive
45,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0, positive
46,4.0,1.0,0.0,1.0,3.0,0.0,4.0,0.0,2.0, positive
47,4.0,0.0,1.0,1.0,3.0,1.0,4.0,0.0,0.0, positive
48,1.0,1.0,0.0,2.0,3.0,1.0,3.0,0.0,0.0, positive
49,4.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0, positive
50,3.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0, positive
51,3.0,1.0,0.0,2.0,3.0,1.0,4.0,0.0,0.0, positive
52,3.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,3.0, positive
53,4.0,0.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0, positive
54,3.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0, positive
55,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0, positive
56,3.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0, positive
57,2.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0, positive
58,2.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0, positive
59,3.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0, positive
60,3.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0, positive
61,1.0,2.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0, positive
62,4.0,3.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0, positive
63,1.0,0.0,0.0,1.0,4.0,3.0,2.0,0.0,0.0, positive
64,3.0,2.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0, positive
65,1.0,2.0,0.0,3.0,3.0,0.0,3.0,1.0,0.0, positive
66,1.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0,0.0, positive
67,1.0,2.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0, positive
68,1.0,2.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0, positive
69,1.0,2.0,0.0,2.0,3.0,0.0,2.0,2.0,1.0, positive
70,1.0,3.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0, positive
71,2.0,3.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0, positive
72,2.0,2.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0, positive
73,4.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0, positive
74,1.0,3.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0, positive
75,1.0,3.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0, positive
76,1.0,2.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0, positive
77,2.0,2.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0, positive
78,1.0,3.0,0.0,3.0,3.0,0.0,2.0,1.0,4.0, positive
79,1.0,2.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0, positive
80,2.0,2.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0, positive
81,1.0,3.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0, positive
82,2.0,3.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0, positive
