%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 12     Instances: 316
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute '8' numeric
@attribute '9' numeric
@attribute 'y' {' negative',' positive'}

@data
0,1.0,3.0,2.0,4.0,2.0,3.0,0.0,4.0,0.0,3.0,' negative'
1,1.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,3.0,0.0,' negative'
2,3.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,' negative'
3,0.0,4.0,0.0,4.0,1.0,4.0,3.0,4.0,1.0,4.0,' negative'
4,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,' negative'
5,1.0,4.0,2.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,' negative'
6,3.0,4.0,2.0,4.0,2.0,4.0,0.0,4.0,3.0,4.0,' negative'
7,0.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,3.0,' negative'
8,2.0,4.0,2.0,2.0,1.0,4.0,1.0,2.0,3.0,4.0,' negative'
9,0.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,' negative'
10,2.0,4.0,3.0,4.0,1.0,4.0,1.0,0.0,3.0,0.0,' negative'
11,3.0,4.0,0.0,4.0,1.0,4.0,0.0,4.0,3.0,4.0,' negative'
12,2.0,3.0,1.0,3.0,3.0,4.0,0.0,3.0,2.0,4.0,' negative'
13,3.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,2.0,' negative'
14,2.0,4.0,0.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,' negative'
15,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,' negative'
16,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,' negative'
17,3.0,3.0,2.0,4.0,3.0,4.0,0.0,3.0,2.0,3.0,' negative'
18,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,' negative'
19,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,' negative'
20,3.0,3.0,0.0,3.0,2.0,3.0,0.0,4.0,1.0,4.0,' negative'
21,3.0,4.0,3.0,0.0,3.0,4.0,3.0,4.0,3.0,3.0,' positive'
22,0.0,2.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,' negative'
23,3.0,3.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,' negative'
24,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0,' negative'
25,2.0,2.0,0.0,2.0,3.0,4.0,1.0,2.0,2.0,4.0,' negative'
26,1.0,4.0,0.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,' negative'
27,2.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,0.0,' negative'
28,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,' negative'
29,3.0,4.0,2.0,2.0,3.0,2.0,0.0,4.0,1.0,2.0,' negative'
30,0.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,' negative'
31,1.0,4.0,0.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,' negative'
