,0,1,2,3,4,5,6,7,8,9,10,Class
0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0, negative
1,3.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0, negative
2,3.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0, negative
3,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0, negative
4,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0, negative
5,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0, negative
6,2.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0, negative
7,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0, negative
8,3.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0, negative
9,2.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,0.0, negative
10,2.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,0.0, negative
11,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0, negative
12,4.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0, negative
13,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0, negative
14,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0, negative
15,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0, negative
16,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0, negative
17,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0, negative
18,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0, negative
19,2.0,1.0,4.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,2.0, negative
20,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0, negative
21,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0, negative
22,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0, negative
23,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0, negative
24,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0, negative
25,3.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,0.0,1.0,0.0, negative
26,3.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,0.0,1.0,0.0, negative
27,3.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,0.0,1.0,0.0, negative
28,3.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,0.0,1.0,0.0, negative
29,1.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,1.0, negative
30,3.0,0.0,3.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0, negative
31,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0, negative
32,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0, negative
33,1.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0, negative
34,3.0,0.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0, negative
35,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0, negative
36,1.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0, negative
