%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 10     Instances: 723
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute 'y' {' negative'}

@data
0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,' negative'
1,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,' negative'
2,2.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0,' negative'
3,3.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,' negative'
4,2.0,2.0,1.0,4.0,0.0,0.0,3.0,1.0,' negative'
5,3.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
6,3.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,' negative'
7,2.0,3.0,1.0,3.0,0.0,0.0,3.0,1.0,' negative'
8,1.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,' negative'
9,3.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,' negative'
10,2.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,' negative'
11,2.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,' negative'
12,3.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0,' negative'
13,2.0,2.0,2.0,3.0,0.0,0.0,3.0,1.0,' negative'
14,2.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,' negative'
15,2.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,' negative'
16,2.0,2.0,2.0,3.0,0.0,0.0,3.0,1.0,' negative'
17,2.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,' negative'
18,3.0,3.0,0.0,2.0,0.0,2.0,3.0,1.0,' negative'
19,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negative'
20,3.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,' negative'
21,4.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,' negative'
22,2.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,' negative'
23,3.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,' negative'
24,3.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,' negative'
25,3.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0,' negative'
26,3.0,3.0,2.0,2.0,0.0,0.0,3.0,1.0,' negative'
27,3.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,' negative'
28,4.0,3.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
29,3.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,' negative'
30,3.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,' negative'
31,4.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,' negative'
32,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,' negative'
33,3.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
34,2.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
35,1.0,3.0,1.0,3.0,0.0,0.0,2.0,1.0,' negative'
36,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negative'
37,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,' negative'
38,2.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,' negative'
39,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,' negative'
40,1.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,' negative'
41,3.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,' negative'
42,3.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,' negative'
43,2.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,' negative'
44,2.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,' negative'
45,1.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,' negative'
46,1.0,3.0,1.0,2.0,0.0,0.0,3.0,3.0,' negative'
47,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,' negative'
48,2.0,3.0,2.0,3.0,0.0,0.0,3.0,2.0,' negative'
49,4.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,' negative'
50,3.0,3.0,1.0,3.0,0.0,0.0,3.0,1.0,' negative'
51,2.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,' negative'
52,3.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,' negative'
53,1.0,1.0,2.0,4.0,0.0,0.0,3.0,1.0,' negative'
54,2.0,3.0,1.0,3.0,0.0,0.0,3.0,1.0,' negative'
55,2.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
56,2.0,2.0,2.0,3.0,0.0,0.0,3.0,1.0,' negative'
57,2.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,' negative'
58,3.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,' negative'
59,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,' negative'
60,2.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,' negative'
61,3.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,' negative'
62,3.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negative'
63,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,' negative'
64,2.0,2.0,2.0,3.0,0.0,0.0,3.0,1.0,' negative'
65,2.0,3.0,2.0,3.0,0.0,0.0,2.0,1.0,' negative'
66,2.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0,' negative'
67,4.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,' negative'
68,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negative'
69,3.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,' negative'
70,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,' negative'
