@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN2_arff/winequality-red-8_vs_6-7/KBN2winequality-red-8_vs_6-7-5-2tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute Class {' negative'}
@data
0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,' negativ
1,2.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,' negativ
2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,' negativ
3,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,' negativ
4,0.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,' negativ
5,0.0,3.0,0.0,3.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,' negativ
6,1.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,' negativ
7,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,' negativ
8,1.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,' negativ
9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,' negativ
10,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,' negativ
11,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,' negativ
12,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,' negativ
13,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,' negativ
14,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,' negativ
15,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,' negativ
16,0.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,2.0,' negativ
17,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,' negativ
18,2.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,4.0,1.0,' negativ
19,2.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,4.0,1.0,' negativ
20,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,4.0,' negativ
21,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,' negativ
22,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,' negativ
23,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,' negativ
24,1.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,' negativ
25,3.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,' negativ
26,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,' negativ
27,1.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,' negativ
28,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,' negativ
29,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,' negativ
30,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,' negativ
31,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,' negativ
32,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,' negativ
33,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,' negativ
34,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,' negativ
35,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,4.0,' negativ
36,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,4.0,' negativ
37,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,' negativ
38,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,' negativ
39,0.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,' negativ
40,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,' negativ
41,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,' negativ
42,1.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,' negativ
43,1.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,' negativ
44,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,' negativ
45,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,' negativ
46,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,4.0,' negativ
47,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,' negativ
48,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,' negativ
49,4.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,' negativ
50,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,' negativ
51,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,' negativ
52,1.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,' negativ
53,3.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,' negativ
54,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,' negativ
55,2.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,' negativ
56,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,' negativ
57,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,' negativ
58,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,' negativ
59,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,' negativ
60,1.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,' negativ
61,1.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,' negativ
62,1.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,' negativ
63,1.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,' negativ
64,4.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,' negativ
65,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,' negativ
66,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,' negativ
67,1.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,' negativ
68,3.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,' negativ
69,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,' negativ
70,3.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,' negativ
71,4.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,' negativ
72,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,' negativ
73,3.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,' negativ
74,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,' negativ
75,3.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,' negativ
76,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,' negativ
77,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,' negativ
78,3.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,' negativ
79,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,' negativ
80,3.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,' negativ
81,1.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,1.0,3.0,1.0,' negativ
82,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,' negativ
83,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,' negativ
84,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,' negativ
85,3.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,' negativ
86,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,' negativ
87,4.0,1.0,3.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,' negativ
88,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,' negativ
89,3.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,' negativ
90,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,' negativ
91,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,' negativ
92,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,' negativ
93,3.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,' negativ
