@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN2_arff/yeast-2_vs_4/KBN2yeast-2_vs_4-5-4tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative',' positive'}
@data
0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
1,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
2,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,' negativ
3,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,' negativ
4,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,' negativ
5,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,' negativ
6,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
7,0.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,' negativ
8,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
9,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,' negativ
10,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
11,1.0,2.0,2.0,3.0,0.0,0.0,3.0,1.0,' negativ
12,1.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,' negativ
13,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,' negativ
14,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,' negativ
15,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,' negativ
16,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,' negativ
17,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
18,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
19,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
20,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
21,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
22,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
23,2.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,' negativ
24,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
25,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,' negativ
26,2.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,' negativ
27,0.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,' negativ
28,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
29,1.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,' negativ
30,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,' negativ
31,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
32,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
33,1.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,' negativ
34,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,' negativ
35,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,' negativ
36,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
37,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,' negativ
38,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,' negativ
39,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,' negativ
40,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,' negativ
41,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,' negativ
42,2.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,' negativ
43,2.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,' negativ
44,0.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,' negativ
45,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,' negativ
46,3.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,' negativ
47,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,' negativ
48,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,' negativ
49,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,' negativ
50,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
51,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
52,2.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,' negativ
53,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,' negativ
54,1.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0,' negativ
55,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,' negativ
56,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,' negativ
57,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
58,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,' negativ
59,1.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,' negativ
60,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
61,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
62,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
63,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,' negativ
64,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,' negativ
65,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
66,1.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,' negativ
67,1.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,' negativ
68,2.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
69,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,' negativ
70,3.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,' negativ
71,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
72,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
73,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,' negativ
74,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,' negativ
75,1.0,1.0,2.0,3.0,0.0,0.0,2.0,4.0,' negativ
76,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
77,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
78,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
79,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,' negativ
80,1.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,' negativ
81,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,' negativ
82,2.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,' negativ
83,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,' negativ
84,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,' negativ
85,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
86,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
87,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,' negativ
88,2.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,' negativ
89,1.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,' negativ
90,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,' negativ
91,2.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,' negativ
92,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,' positiv
93,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,' positiv
94,3.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,' positiv
95,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,' positiv
