@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN2_arff/yeast-2_vs_4/KBN2yeast-2_vs_4-5-5tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative'}
@data
0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,' negativ
1,1.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,' negativ
2,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
3,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,' negativ
4,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
5,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
6,2.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,' negativ
7,3.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,' negativ
8,1.0,4.0,2.0,0.0,0.0,0.0,3.0,3.0,' negativ
9,1.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,' negativ
10,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
11,3.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
12,3.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
13,3.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
14,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
15,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
16,3.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,' negativ
17,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
18,2.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
19,2.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,' negativ
20,1.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,' negativ
21,2.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
22,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,' negativ
23,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
24,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
25,3.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,' negativ
26,1.0,4.0,0.0,1.0,0.0,0.0,3.0,2.0,' negativ
27,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
28,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,' negativ
29,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,' negativ
30,1.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
31,1.0,3.0,0.0,1.0,0.0,0.0,3.0,2.0,' negativ
32,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,' negativ
33,2.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,' negativ
34,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
35,1.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,' negativ
36,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
37,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
38,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,' negativ
39,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
40,1.0,3.0,1.0,2.0,0.0,0.0,3.0,1.0,' negativ
41,2.0,4.0,2.0,1.0,0.0,0.0,4.0,1.0,' negativ
42,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
43,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
44,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,' negativ
45,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,' negativ
46,1.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,' negativ
47,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,' negativ
48,1.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
49,2.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,' negativ
50,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
51,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
52,1.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,' negativ
53,1.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,' negativ
54,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,' negativ
55,3.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
56,2.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,' negativ
57,3.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,' negativ
58,2.0,3.0,1.0,1.0,0.0,0.0,4.0,1.0,' negativ
59,2.0,3.0,1.0,1.0,0.0,0.0,4.0,1.0,' negativ
60,2.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
61,3.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,' negativ
62,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
63,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
64,1.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,' negativ
65,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
66,3.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
67,3.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
68,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
69,3.0,4.0,1.0,1.0,0.0,0.0,4.0,1.0,' negativ
70,3.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
71,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
72,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
73,1.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,' negativ
74,4.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
75,3.0,4.0,1.0,1.0,0.0,0.0,4.0,2.0,' negativ
76,3.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,' negativ
77,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
78,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
79,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
80,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
81,3.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,' negativ
82,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,' negativ
83,2.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
84,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
85,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,' negativ
86,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
87,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
88,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
89,2.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,' negativ
90,4.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,' negativ
91,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
92,1.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,' negativ
93,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
94,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,' negativ
95,3.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,' negativ
96,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,' negativ
97,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,' negativ
98,2.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,' negativ
99,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,' negativ
100,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,' negativ
101,2.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,' negativ
102,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
103,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
104,1.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,' negativ
105,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
106,1.0,2.0,1.0,4.0,0.0,0.0,3.0,1.0,' negativ
107,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
108,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,' negativ
109,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,' negativ
110,2.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,' negativ
111,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
112,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
113,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
114,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
115,3.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
116,2.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
117,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
118,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
119,0.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
120,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
121,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
122,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
123,2.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,' negativ
124,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
125,2.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
126,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
127,2.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,' negativ
128,3.0,3.0,0.0,2.0,0.0,0.0,3.0,2.0,' negativ
129,2.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,' negativ
130,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
131,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
132,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
133,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
134,2.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,' negativ
135,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,' negativ
136,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
137,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,' negativ
138,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
139,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
140,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
141,2.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,' negativ
142,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,' negativ
143,1.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,' negativ
144,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,' negativ
145,2.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
146,2.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
147,1.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
148,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
149,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
150,4.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
151,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
