,0,1,2,3,4,5,Class
0,0.0,0.0,1.0,7.0,3.0,4.0, negative
1,6.0,0.0,1.0,6.0,3.0,4.0, negative
2,7.0,3.0,1.0,3.0,3.0,4.0, negative
3,3.0,1.0,1.0,5.0,2.0,3.0, negative
4,2.0,2.0,1.0,6.0,2.0,3.0, negative
5,4.0,0.0,1.0,7.0,1.0,0.0, negative
6,4.0,1.0,1.0,7.0,2.0,3.0, negative
7,2.0,4.0,1.0,5.0,1.0,2.0, negative
8,4.0,2.0,1.0,5.0,2.0,3.0, negative
9,5.0,0.0,1.0,5.0,3.0,3.0, negative
10,2.0,4.0,1.0,6.0,1.0,2.0, negative
11,2.0,0.0,1.0,5.0,4.0,5.0, negative
12,3.0,4.0,1.0,3.0,2.0,3.0, negative
13,4.0,1.0,1.0,7.0,5.0,5.0, negative
14,2.0,0.0,1.0,4.0,2.0,3.0, negative
15,4.0,6.0,1.0,4.0,1.0,3.0, negative
16,0.0,4.0,1.0,3.0,2.0,0.0, negative
17,5.0,6.0,1.0,4.0,3.0,4.0, negative
18,3.0,3.0,1.0,6.0,2.0,1.0, negative
19,3.0,3.0,1.0,6.0,4.0,5.0, negative
20,2.0,0.0,1.0,5.0,3.0,4.0, negative
21,4.0,3.0,1.0,5.0,3.0,4.0, negative
22,5.0,3.0,1.0,5.0,2.0,3.0, negative
23,6.0,5.0,1.0,3.0,3.0,4.0, negative
24,0.0,1.0,1.0,4.0,3.0,4.0, negative
25,2.0,2.0,1.0,2.0,1.0,2.0, negative
26,3.0,6.0,1.0,4.0,3.0,4.0, negative
27,7.0,4.0,1.0,7.0,0.0,0.0, negative
28,4.0,4.0,1.0,6.0,2.0,2.0, negative
29,3.0,4.0,1.0,6.0,3.0,4.0, negative
30,0.0,3.0,1.0,7.0,4.0,4.0, negative
31,0.0,0.0,1.0,5.0,4.0,4.0, negative
32,2.0,3.0,1.0,0.0,3.0,4.0, negative
33,6.0,4.0,1.0,6.0,3.0,4.0, negative
34,1.0,3.0,1.0,5.0,4.0,0.0, negative
35,4.0,2.0,1.0,7.0,5.0,5.0, negative
36,4.0,0.0,1.0,4.0,2.0,3.0, negative
37,2.0,2.0,1.0,4.0,3.0,4.0, negative
38,3.0,5.0,1.0,4.0,4.0,3.0, negative
39,2.0,2.0,1.0,3.0,4.0,4.0, negative
40,2.0,6.0,1.0,3.0,5.0,5.0, negative
41,5.0,4.0,1.0,1.0,1.0,2.0, negative
42,5.0,4.0,1.0,2.0,3.0,4.0, negative
43,5.0,3.0,1.0,3.0,3.0,4.0, negative
44,4.0,2.0,1.0,0.0,3.0,4.0, negative
45,4.0,3.0,1.0,7.0,3.0,4.0, negative
46,4.0,6.0,1.0,0.0,4.0,5.0, negative
47,5.0,2.0,1.0,4.0,2.0,3.0, negative
48,1.0,0.0,1.0,5.0,2.0,3.0, negative
49,5.0,1.0,1.0,6.0,3.0,4.0, negative
50,2.0,4.0,1.0,7.0,5.0,5.0, negative
51,2.0,3.0,1.0,4.0,3.0,4.0, negative
52,5.0,6.0,1.0,4.0,4.0,5.0, negative
53,3.0,4.0,1.0,7.0,0.0,4.0, negative
54,2.0,1.0,1.0,3.0,2.0,3.0, negative
55,4.0,5.0,1.0,5.0,2.0,3.0, negative
56,3.0,0.0,1.0,4.0,3.0,4.0, negative
57,4.0,3.0,1.0,4.0,2.0,0.0, negative
58,2.0,4.0,1.0,3.0,2.0,3.0, negative
59,4.0,0.0,1.0,6.0,2.0,3.0, negative
