,0,1,2,3,4,5,Class
0,0.0,0.0,1.0,5.0,2.0,4.0, negative
1,6.0,3.0,1.0,2.0,3.0,4.0, negative
2,3.0,1.0,1.0,5.0,4.0,5.0, negative
3,1.0,0.0,1.0,3.0,1.0,3.0, negative
4,0.0,4.0,1.0,3.0,1.0,0.0, negative
5,4.0,6.0,1.0,3.0,2.0,4.0, negative
6,1.0,0.0,1.0,4.0,2.0,4.0, negative
7,2.0,6.0,1.0,3.0,3.0,4.0, negative
8,1.0,1.0,1.0,2.0,1.0,3.0, negative
9,3.0,3.0,1.0,3.0,1.0,0.0, negative
10,2.0,1.0,1.0,3.0,2.0,4.0, negative
11,0.0,4.0,1.0,4.0,4.0,5.0, negative
12,4.0,4.0,1.0,3.0,2.0,4.0, negative
13,4.0,3.0,1.0,1.0,1.0,3.0, negative
14,6.0,6.0,1.0,2.0,2.0,2.0, negative
15,3.0,0.0,1.0,6.0,1.0,3.0, negative
16,1.0,2.0,1.0,3.0,0.0,0.0, negative
17,3.0,5.0,1.0,5.0,0.0,2.0, negative
18,2.0,3.0,1.0,3.0,2.0,4.0, negative
19,1.0,5.0,1.0,3.0,3.0,0.0, negative
20,3.0,2.0,1.0,3.0,2.0,4.0, negative
21,0.0,4.0,1.0,4.0,1.0,3.0, negative
22,2.0,3.0,1.0,5.0,2.0,4.0, negative
23,2.0,5.0,1.0,5.0,8.0,0.0, negative
24,4.0,3.0,1.0,6.0,6.0,7.0, negative
25,5.0,4.0,1.0,5.0,7.0,0.0, negative
26,4.0,6.0,1.0,5.0,6.0,7.0, negative
27,2.0,6.0,1.0,2.0,7.0,0.0, negative
28,4.0,6.0,1.0,4.0,7.0,7.0, negative
29,3.0,0.0,1.0,6.0,7.0,7.0, negative
30,6.0,0.0,1.0,7.0,0.0,7.0, negative
31,0.0,4.0,1.0,5.0,7.0,8.0, negative
32,9.0,6.0,1.0,4.0,6.0,7.0, negative
33,5.0,7.0,1.0,4.0,9.0,8.0, negative
34,4.0,5.0,1.0,4.0,7.0,7.0, negative
35,4.0,6.0,1.0,6.0,7.0,7.0, negative
36,0.0,5.0,1.0,3.0,6.0,1.0, negative
37,5.0,4.0,1.0,0.0,0.0,3.0, negative
38,6.0,5.0,1.0,6.0,0.0,9.0, negative
39,7.0,2.0,1.0,4.0,8.0,0.0, negative
40,7.0,2.0,1.0,5.0,7.0,7.0, negative
41,6.0,2.0,1.0,5.0,6.0,6.0, negative
42,7.0,6.0,1.0,4.0,7.0,7.0, negative
43,6.0,3.0,1.0,4.0,7.0,0.0, negative
44,8.0,3.0,1.0,5.0,9.0,0.0, negative
45,7.0,3.0,1.0,0.0,5.0,6.0, negative
46,8.0,5.0,1.0,5.0,7.0,0.0, negative
47,7.0,1.0,1.0,5.0,7.0,7.0, negative
48,7.0,9.0,1.0,1.0,4.0,1.0, negative
49,6.0,8.0,1.0,2.0,3.0,4.0, negative
50,6.0,8.0,1.0,4.0,3.0,1.0, negative
51,6.0,9.0,1.0,3.0,6.0,5.0, negative
52,2.0,3.0,1.0,5.0,1.0,3.0, negative
53,6.0,9.0,1.0,0.0,3.0,1.0, negative
54,6.0,9.0,1.0,3.0,3.0,0.0, negative
55,6.0,0.0,1.0,4.0,2.0,2.0, negative
56,6.0,7.0,1.0,3.0,0.0,3.0, negative
57,6.0,6.0,1.0,4.0,3.0,5.0, negative
58,6.0,7.0,1.0,4.0,0.0,3.0, negative
59,1.0,3.0,1.0,4.0,0.0,4.0, negative
60,7.0,7.0,1.0,8.0,0.0,2.0, positive
61,7.0,6.0,1.0,9.0,4.0,0.0, positive
62,6.0,8.0,1.0,8.0,3.0,2.0, positive
63,4.0,9.0,1.0,7.0,3.0,3.0, positive
64,6.0,5.0,0.0,6.0,4.0,2.0, positive
65,6.0,7.0,1.0,6.0,3.0,2.0, positive
66,6.0,9.0,1.0,7.0,0.0,2.0, positive
67,5.0,8.0,1.0,4.0,2.0,3.0, positive
68,6.0,9.0,1.0,7.0,4.0,3.0, positive
69,7.0,0.0,1.0,5.0,4.0,2.0, positive
70,7.0,9.0,1.0,9.0,5.0,2.0, positive
71,7.0,8.0,1.0,8.0,5.0,0.0, positive
72,7.0,8.0,1.0,7.0,4.0,1.0, positive
73,5.0,7.0,1.0,7.0,2.0,4.0, positive
74,6.0,5.0,1.0,6.0,4.0,3.0, positive
75,6.0,6.0,1.0,0.0,2.0,2.0, positive
76,0.0,8.0,0.0,7.0,5.0,5.0, positive
77,6.0,6.0,1.0,7.0,3.0,1.0, positive
78,6.0,5.0,1.0,7.0,3.0,2.0, positive
79,6.0,7.0,1.0,6.0,3.0,3.0, positive
80,6.0,7.0,1.0,7.0,0.0,0.0, positive
81,7.0,6.0,0.0,3.0,4.0,0.0, positive
82,6.0,5.0,0.0,5.0,5.0,3.0, positive
83,6.0,4.0,0.0,4.0,5.0,0.0, positive
84,6.0,6.0,0.0,6.0,5.0,1.0, positive
