%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 11     Instances: 2613
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute '8' numeric
@attribute 'y' {' negative'}

@data
0,5.0,3.0,9.0,4.0,5.0,2.0,6.0,2.0,2.0,' negative'
1,2.0,3.0,4.0,4.0,2.0,2.0,7.0,4.0,4.0,' negative'
2,1.0,3.0,3.0,4.0,2.0,2.0,8.0,4.0,4.0,' negative'
3,4.0,3.0,9.0,6.0,5.0,2.0,6.0,2.0,2.0,' negative'
4,4.0,3.0,9.0,4.0,5.0,2.0,6.0,2.0,2.0,' negative'
5,2.0,3.0,4.0,4.0,3.0,2.0,7.0,3.0,3.0,' negative'
6,2.0,3.0,4.0,4.0,3.0,2.0,7.0,3.0,3.0,' negative'
7,2.0,3.0,4.0,4.0,2.0,2.0,7.0,4.0,4.0,' negative'
8,5.0,3.0,9.0,5.0,5.0,2.0,6.0,2.0,2.0,' negative'
9,2.0,3.0,4.0,4.0,2.0,2.0,7.0,4.0,4.0,' negative'
10,3.0,3.0,7.0,4.0,4.0,2.0,7.0,3.0,3.0,' negative'
11,3.0,3.0,8.0,4.0,4.0,2.0,8.0,3.0,3.0,' negative'
12,3.0,3.0,8.0,4.0,4.0,2.0,7.0,3.0,3.0,' negative'
13,3.0,3.0,8.0,4.0,4.0,2.0,7.0,3.0,3.0,' negative'
14,2.0,3.0,7.0,4.0,4.0,2.0,7.0,3.0,3.0,' negative'
15,2.0,3.0,3.0,4.0,2.0,2.0,7.0,4.0,4.0,' negative'
16,2.0,3.0,3.0,4.0,2.0,2.0,7.0,4.0,4.0,' negative'
17,5.0,3.0,9.0,4.0,5.0,2.0,6.0,2.0,2.0,' negative'
18,4.0,3.0,9.0,4.0,5.0,2.0,6.0,2.0,2.0,' negative'
19,5.0,3.0,9.0,4.0,5.0,2.0,6.0,2.0,2.0,' negative'
20,5.0,3.0,9.0,4.0,5.0,2.0,6.0,2.0,2.0,' negative'
21,3.0,3.0,7.0,4.0,4.0,2.0,7.0,3.0,3.0,' negative'
22,1.0,3.0,3.0,6.0,2.0,2.0,8.0,4.0,4.0,' negative'
23,5.0,3.0,9.0,4.0,5.0,2.0,6.0,2.0,2.0,' negative'
24,3.0,3.0,8.0,4.0,4.0,2.0,7.0,3.0,3.0,' negative'
25,2.0,3.0,4.0,4.0,3.0,2.0,7.0,3.0,3.0,' negative'
26,3.0,3.0,8.0,4.0,4.0,2.0,7.0,3.0,3.0,' negative'
27,3.0,3.0,7.0,4.0,4.0,2.0,7.0,3.0,3.0,' negative'
28,1.0,3.0,3.0,4.0,2.0,2.0,8.0,4.0,4.0,' negative'
29,2.0,3.0,4.0,4.0,3.0,2.0,7.0,4.0,4.0,' negative'
30,2.0,3.0,4.0,4.0,2.0,2.0,7.0,4.0,4.0,' negative'
31,3.0,3.0,7.0,4.0,4.0,2.0,7.0,3.0,3.0,' negative'
32,3.0,3.0,8.0,4.0,4.0,2.0,7.0,3.0,3.0,' negative'
33,2.0,3.0,4.0,4.0,2.0,2.0,7.0,4.0,4.0,' negative'
