%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 13     Instances: 544
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute '8' numeric
@attribute '9' numeric
@attribute '10' numeric
@attribute 'y' {' negative'}

@data
0,3.0,6.0,0.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,' negative'
1,3.0,5.0,0.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,' negative'
2,3.0,4.0,0.0,1.0,1.0,1.0,2.0,5.0,7.0,1.0,1.0,' negative'
3,3.0,2.0,4.0,6.0,0.0,2.0,6.0,5.0,5.0,4.0,3.0,' negative'
4,2.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,0.0,' negative'
5,3.0,2.0,4.0,6.0,0.0,2.0,6.0,5.0,5.0,4.0,3.0,' negative'
6,0.0,3.0,0.0,0.0,1.0,2.0,3.0,1.0,8.0,1.0,2.0,' negative'
7,3.0,3.0,3.0,0.0,2.0,1.0,1.0,4.0,4.0,9.0,0.0,' negative'
8,4.0,3.0,2.0,4.0,3.0,8.0,9.0,6.0,3.0,5.0,0.0,' negative'
9,4.0,3.0,2.0,4.0,3.0,8.0,9.0,6.0,3.0,5.0,0.0,' negative'
10,3.0,3.0,3.0,1.0,6.0,2.0,3.0,4.0,2.0,8.0,0.0,' negative'
11,3.0,1.0,4.0,2.0,1.0,4.0,4.0,5.0,7.0,2.0,1.0,' negative'
12,3.0,2.0,2.0,0.0,2.0,1.0,2.0,3.0,3.0,5.0,1.0,' negative'
13,4.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,' negative'
14,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,' negative'
15,3.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,4.0,2.0,1.0,' negative'
16,3.0,2.0,2.0,0.0,2.0,1.0,2.0,3.0,3.0,5.0,1.0,' negative'
17,2.0,5.0,0.0,1.0,1.0,2.0,2.0,4.0,6.0,1.0,1.0,' negative'
18,2.0,4.0,1.0,2.0,1.0,2.0,5.0,2.0,5.0,1.0,2.0,' negative'
19,4.0,4.0,1.0,2.0,1.0,2.0,7.0,3.0,3.0,3.0,2.0,' negative'
20,0.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,5.0,1.0,0.0,' negative'
21,2.0,2.0,4.0,6.0,1.0,1.0,5.0,5.0,5.0,4.0,3.0,' negative'
22,2.0,2.0,4.0,6.0,1.0,1.0,5.0,5.0,5.0,4.0,3.0,' negative'
23,3.0,4.0,2.0,2.0,0.0,1.0,1.0,4.0,4.0,7.0,3.0,' negative'
24,2.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,1.0,1.0,' negative'
25,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,' negative'
26,0.0,1.0,4.0,0.0,1.0,1.0,6.0,2.0,5.0,1.0,0.0,' negative'
27,4.0,4.0,3.0,1.0,1.0,0.0,1.0,4.0,3.0,4.0,0.0,' negative'
28,4.0,1.0,4.0,3.0,1.0,5.0,7.0,4.0,3.0,1.0,1.0,' negative'
29,5.0,2.0,7.0,4.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,' negative'
