%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 9     Instances: 342
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute 'y' {' negative'}

@data
0,4.0,4.0,7.0,2.0,0.0,7.0,2.0,' negative'
1,3.0,3.0,6.0,2.0,0.0,6.0,2.0,' negative'
2,3.0,3.0,7.0,2.0,0.0,6.0,2.0,' negative'
3,6.0,4.0,6.0,1.0,0.0,6.0,1.0,' negative'
4,4.0,2.0,6.0,2.0,0.0,5.0,1.0,' negative'
5,6.0,6.0,6.0,2.0,0.0,5.0,1.0,' negative'
6,5.0,5.0,2.0,0.0,0.0,7.0,2.0,' negative'
7,2.0,5.0,5.0,5.0,0.0,6.0,1.0,' negative'
8,5.0,2.0,7.0,5.0,0.0,5.0,3.0,' negative'
9,4.0,4.0,5.0,4.0,0.0,6.0,4.0,' negative'
10,3.0,4.0,7.0,2.0,0.0,7.0,2.0,' negative'
11,4.0,5.0,7.0,3.0,0.0,6.0,3.0,' negative'
12,4.0,1.0,6.0,3.0,0.0,5.0,4.0,' negative'
13,2.0,2.0,6.0,2.0,0.0,5.0,5.0,' negative'
14,3.0,4.0,4.0,6.0,0.0,5.0,2.0,' negative'
15,4.0,5.0,4.0,2.0,0.0,6.0,8.0,' negative'
16,3.0,3.0,5.0,2.0,0.0,6.0,2.0,' negative'
17,5.0,5.0,6.0,0.0,0.0,4.0,1.0,' negative'
18,6.0,5.0,5.0,5.0,0.0,6.0,2.0,' negative'
19,2.0,6.0,6.0,2.0,0.0,6.0,1.0,' negative'
20,4.0,5.0,4.0,2.0,0.0,6.0,1.0,' negative'
21,4.0,2.0,8.0,3.0,0.0,8.0,1.0,' negative'
22,6.0,4.0,5.0,6.0,0.0,7.0,1.0,' negative'
23,6.0,6.0,6.0,2.0,0.0,4.0,1.0,' negative'
24,1.0,3.0,8.0,0.0,0.0,6.0,5.0,' negative'
25,1.0,2.0,4.0,4.0,0.0,6.0,7.0,' negative'
26,5.0,2.0,4.0,2.0,0.0,5.0,1.0,' negative'
27,6.0,5.0,4.0,1.0,0.0,5.0,1.0,' negative'
28,3.0,3.0,3.0,4.0,0.0,5.0,3.0,' negative'
29,2.0,7.0,3.0,2.0,0.0,6.0,2.0,' negative'
30,3.0,2.0,4.0,1.0,0.0,6.0,1.0,' negative'
31,7.0,8.0,5.0,8.0,0.0,6.0,3.0,' negative'
32,4.0,4.0,5.0,2.0,0.0,5.0,2.0,' negative'
33,2.0,4.0,5.0,3.0,0.0,6.0,2.0,' negative'
34,2.0,2.0,6.0,4.0,0.0,6.0,2.0,' negative'
35,4.0,2.0,4.0,4.0,0.0,6.0,2.0,' negative'
36,5.0,5.0,4.0,2.0,0.0,5.0,1.0,' negative'
37,6.0,6.0,3.0,1.0,0.0,6.0,1.0,' negative'
38,5.0,3.0,9.0,3.0,0.0,4.0,1.0,' negative'
39,2.0,2.0,6.0,1.0,0.0,3.0,1.0,' negative'
40,3.0,4.0,5.0,2.0,0.0,6.0,1.0,' negative'
41,2.0,4.0,6.0,6.0,0.0,5.0,2.0,' negative'
42,6.0,6.0,6.0,2.0,0.0,6.0,2.0,' negative'
