%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 10     Instances: 143
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute 'y' {' negative',' positive'}

@data
0,3.0,2.0,3.0,1.0,0.0,0.0,6.0,5.0,' negative'
1,2.0,3.0,2.0,3.0,0.0,0.0,6.0,2.0,' negative'
2,3.0,4.0,3.0,2.0,0.0,0.0,8.0,2.0,' negative'
3,5.0,3.0,2.0,3.0,0.0,0.0,6.0,4.0,' negative'
4,1.0,3.0,4.0,1.0,0.0,0.0,7.0,2.0,' negative'
5,3.0,2.0,4.0,3.0,0.0,0.0,5.0,2.0,' negative'
6,5.0,6.0,3.0,2.0,0.0,0.0,8.0,2.0,' negative'
7,2.0,5.0,3.0,2.0,0.0,0.0,7.0,2.0,' negative'
8,3.0,3.0,3.0,3.0,0.0,0.0,7.0,4.0,' negative'
9,4.0,4.0,2.0,4.0,0.0,0.0,5.0,2.0,' negative'
10,1.0,6.0,2.0,3.0,0.0,0.0,7.0,3.0,' negative'
11,4.0,4.0,3.0,3.0,0.0,0.0,5.0,4.0,' negative'
12,2.0,4.0,2.0,1.0,0.0,0.0,6.0,2.0,' negative'
13,0.0,2.0,3.0,2.0,0.0,0.0,6.0,3.0,' negative'
14,4.0,5.0,3.0,3.0,0.0,0.0,8.0,2.0,' negative'
15,6.0,5.0,3.0,4.0,0.0,0.0,7.0,2.0,' negative'
16,3.0,3.0,3.0,3.0,0.0,0.0,6.0,3.0,' negative'
17,2.0,1.0,3.0,1.0,0.0,0.0,6.0,7.0,' negative'
18,4.0,4.0,3.0,1.0,0.0,0.0,6.0,5.0,' negative'
19,3.0,3.0,3.0,2.0,0.0,0.0,7.0,3.0,' negative'
20,3.0,2.0,2.0,2.0,0.0,0.0,6.0,2.0,' negative'
21,6.0,4.0,3.0,1.0,0.0,0.0,7.0,4.0,' negative'
22,1.0,4.0,2.0,1.0,0.0,0.0,5.0,2.0,' negative'
23,3.0,4.0,2.0,5.0,0.0,0.0,6.0,2.0,' negative'
24,4.0,2.0,4.0,3.0,0.0,0.0,6.0,2.0,' negative'
25,5.0,3.0,2.0,3.0,0.0,0.0,6.0,5.0,' negative'
26,0.0,2.0,2.0,2.0,0.0,0.0,6.0,6.0,' negative'
27,0.0,5.0,4.0,2.0,0.0,0.0,6.0,2.0,' negative'
28,4.0,3.0,2.0,2.0,0.0,0.0,6.0,5.0,' negative'
29,3.0,3.0,2.0,2.0,0.0,0.0,6.0,3.0,' negative'
30,3.0,3.0,2.0,2.0,0.0,0.0,6.0,2.0,' negative'
31,2.0,2.0,4.0,2.0,0.0,0.0,6.0,3.0,' negative'
32,2.0,3.0,2.0,2.0,0.0,0.0,5.0,2.0,' negative'
33,1.0,4.0,3.0,1.0,0.0,0.0,6.0,2.0,' negative'
34,3.0,1.0,3.0,5.0,0.0,0.0,7.0,5.0,' negative'
35,5.0,5.0,1.0,7.0,0.0,0.0,6.0,4.0,' negative'
36,1.0,4.0,2.0,4.0,0.0,0.0,6.0,2.0,' negative'
37,3.0,3.0,5.0,3.0,0.0,0.0,9.0,2.0,' negative'
38,3.0,3.0,2.0,2.0,0.0,0.0,6.0,4.0,' negative'
39,2.0,3.0,3.0,2.0,0.0,0.0,7.0,2.0,' negative'
40,4.0,3.0,4.0,3.0,0.0,0.0,6.0,2.0,' negative'
41,7.0,5.0,2.0,2.0,0.0,0.0,7.0,2.0,' negative'
42,4.0,3.0,3.0,2.0,0.0,0.0,4.0,2.0,' negative'
43,3.0,4.0,4.0,1.0,0.0,0.0,3.0,2.0,' negative'
44,5.0,3.0,3.0,5.0,0.0,0.0,7.0,2.0,' negative'
45,4.0,2.0,4.0,2.0,0.0,0.0,5.0,2.0,' negative'
46,5.0,4.0,2.0,1.0,0.0,0.0,7.0,4.0,' negative'
47,5.0,4.0,2.0,1.0,0.0,0.0,7.0,4.0,' negative'
48,6.0,2.0,5.0,5.0,0.0,0.0,4.0,1.0,' negative'
49,3.0,1.0,5.0,6.0,0.0,0.0,7.0,1.0,' negative'
50,2.0,0.0,7.0,8.0,0.0,0.0,1.0,0.0,' negative'
51,1.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,' negative'
52,4.0,1.0,2.0,5.0,0.0,0.0,6.0,2.0,' negative'
53,4.0,3.0,5.0,3.0,0.0,0.0,5.0,2.0,' negative'
54,3.0,4.0,4.0,5.0,0.0,0.0,7.0,2.0,' negative'
55,3.0,4.0,4.0,5.0,0.0,0.0,7.0,2.0,' negative'
56,2.0,4.0,3.0,6.0,0.0,0.0,7.0,1.0,' negative'
57,2.0,4.0,3.0,6.0,0.0,0.0,7.0,1.0,' negative'
58,3.0,4.0,5.0,3.0,0.0,0.0,3.0,1.0,' negative'
59,3.0,2.0,4.0,3.0,0.0,0.0,5.0,3.0,' negative'
60,5.0,4.0,2.0,2.0,0.0,0.0,7.0,5.0,' negative'
61,4.0,5.0,3.0,1.0,0.0,0.0,7.0,3.0,' negative'
62,5.0,5.0,2.0,1.0,0.0,0.0,6.0,2.0,' negative'
63,3.0,7.0,3.0,3.0,0.0,0.0,7.0,3.0,' negative'
64,4.0,4.0,4.0,2.0,0.0,0.0,7.0,4.0,' negative'
65,5.0,4.0,5.0,3.0,0.0,0.0,7.0,7.0,' negative'
66,4.0,5.0,4.0,2.0,0.0,0.0,7.0,5.0,' negative'
67,2.0,4.0,4.0,1.0,0.0,0.0,7.0,2.0,' negative'
68,3.0,3.0,2.0,5.0,0.0,0.0,5.0,5.0,' negative'
69,3.0,3.0,3.0,2.0,0.0,0.0,6.0,2.0,' negative'
70,4.0,3.0,4.0,4.0,0.0,0.0,7.0,5.0,' negative'
71,2.0,3.0,3.0,2.0,0.0,0.0,4.0,2.0,' negative'
72,1.0,1.0,3.0,2.0,0.0,0.0,5.0,4.0,' negative'
73,2.0,3.0,6.0,2.0,0.0,0.0,6.0,2.0,' negative'
74,3.0,7.0,3.0,3.0,0.0,0.0,8.0,2.0,' negative'
75,5.0,7.0,2.0,2.0,0.0,0.0,7.0,6.0,' negative'
76,3.0,2.0,4.0,3.0,0.0,0.0,8.0,2.0,' negative'
