,0,1,2,3,4,5,6,7,Class
0,4.0,2.0,3.0,1.0,0.0,0.0,4.0,5.0, negative
1,3.0,5.0,3.0,2.0,0.0,0.0,7.0,2.0, negative
2,5.0,3.0,3.0,4.0,0.0,0.0,6.0,2.0, negative
3,6.0,4.0,1.0,3.0,0.0,0.0,4.0,4.0, negative
4,1.0,4.0,5.0,1.0,0.0,0.0,6.0,2.0, negative
5,4.0,2.0,6.0,2.0,0.0,0.0,7.0,2.0, negative
6,0.0,6.0,2.0,3.0,0.0,0.0,6.0,2.0, negative
7,2.0,7.0,3.0,4.0,0.0,0.0,4.0,4.0, negative
8,3.0,6.0,4.0,2.0,0.0,0.0,6.0,2.0, negative
9,3.0,2.0,2.0,4.0,0.0,2.0,6.0,2.0, positive
10,2.0,2.0,4.0,7.0,0.0,0.0,3.0,2.0, negative
11,3.0,6.0,4.0,6.0,0.0,0.0,6.0,3.0, negative
12,1.0,6.0,3.0,2.0,0.0,0.0,6.0,2.0, negative
13,1.0,8.0,2.0,3.0,0.0,0.0,6.0,3.0, negative
14,2.0,5.0,6.0,2.0,0.0,0.0,2.0,3.0, negative
15,4.0,5.0,5.0,2.0,0.0,0.0,4.0,2.0, negative
16,4.0,5.0,3.0,3.0,0.0,0.0,3.0,4.0, negative
17,5.0,4.0,4.0,1.0,0.0,0.0,5.0,6.0, negative
18,5.0,6.0,1.0,2.0,0.0,0.0,6.0,2.0, negative
19,8.0,6.0,4.0,2.0,0.0,0.0,4.0,4.0, negative
20,3.0,4.0,0.0,3.0,0.0,0.0,6.0,2.0, positive
21,2.0,2.0,3.0,6.0,0.0,0.0,4.0,2.0, negative
22,4.0,1.0,1.0,2.0,0.0,0.0,4.0,5.0, negative
23,6.0,7.0,3.0,4.0,0.0,0.0,3.0,4.0, negative
24,3.0,1.0,5.0,2.0,0.0,0.0,5.0,2.0, negative
25,4.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0, negative
26,5.0,3.0,1.0,2.0,0.0,0.0,7.0,2.0, negative
27,5.0,3.0,5.0,2.0,0.0,0.0,6.0,2.0, negative
