@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN3_arff/ecoli-0_vs_1/KBN3ecoli-0_vs_1-5-1tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute Class {' negative',' positive'}
@data
0,3.0,4.0,0.0,0.0,5.0,1.0,2.0,' positiv
1,6.0,2.0,0.0,0.0,4.0,3.0,4.0,' positiv
2,9.0,5.0,0.0,0.0,7.0,2.0,4.0,' positiv
3,4.0,3.0,0.0,0.0,5.0,3.0,4.0,' positiv
4,9.0,4.0,0.0,0.0,5.0,3.0,4.0,' positiv
5,6.0,3.0,0.0,0.0,7.0,1.0,2.0,' positiv
6,3.0,3.0,0.0,0.0,3.0,3.0,4.0,' positiv
7,7.0,5.0,0.0,0.0,1.0,1.0,2.0,' positiv
8,7.0,3.0,0.0,0.0,3.0,3.0,4.0,' positiv
9,6.0,3.0,0.0,0.0,6.0,3.0,4.0,' positiv
10,6.0,6.0,0.0,0.0,5.0,4.0,5.0,' positiv
11,3.0,3.0,0.0,0.0,4.0,2.0,3.0,' positiv
12,6.0,4.0,0.0,0.0,4.0,2.0,1.0,' positiv
13,3.0,4.0,0.0,0.0,3.0,2.0,3.0,' positiv
14,5.0,6.0,0.0,0.0,4.0,4.0,5.0,' positiv
15,7.0,5.0,0.0,0.0,5.0,4.0,5.0,' positiv
16,4.0,4.0,0.0,0.0,3.0,1.0,3.0,' positiv
17,5.0,3.0,0.0,0.0,2.0,3.0,4.0,' positiv
18,7.0,5.0,0.0,0.0,7.0,3.0,4.0,' positiv
19,5.0,4.0,0.0,0.0,8.0,2.0,3.0,' positiv
20,7.0,2.0,0.0,0.0,7.0,1.0,2.0,' positiv
21,5.0,4.0,0.0,0.0,4.0,1.0,2.0,' positiv
22,6.0,5.0,0.0,0.0,7.0,1.0,2.0,' positiv
23,3.0,5.0,0.0,0.0,3.0,4.0,5.0,' positiv
24,2.0,3.0,0.0,0.0,6.0,2.0,4.0,' positiv
25,5.0,4.0,0.0,0.0,4.0,3.0,4.0,' positiv
26,4.0,2.0,0.0,0.0,9.0,2.0,4.0,' positiv
27,2.0,4.0,0.0,0.0,6.0,2.0,3.0,' positiv
28,3.0,5.0,0.0,0.0,7.0,9.0,9.0,' negativ
29,5.0,5.0,0.0,0.0,7.0,9.0,8.0,' negativ
30,4.0,3.0,0.0,0.0,6.0,8.0,8.0,' negativ
31,1.0,7.0,0.0,0.0,9.0,6.0,6.0,' negativ
32,8.0,5.0,0.0,0.0,4.0,9.0,9.0,' negativ
33,7.0,4.0,0.0,0.0,6.0,9.0,9.0,' negativ
34,7.0,4.0,0.0,0.0,6.0,8.0,8.0,' negativ
35,1.0,4.0,0.0,0.0,8.0,7.0,7.0,' negativ
36,5.0,3.0,0.0,0.0,5.0,6.0,7.0,' negativ
37,6.0,5.0,0.0,0.0,6.0,7.0,8.0,' negativ
38,8.0,6.0,0.0,0.0,6.0,8.0,8.0,' negativ
39,7.0,4.0,0.0,0.0,7.0,6.0,7.0,' negativ
40,5.0,5.0,0.0,0.0,6.0,7.0,7.0,' negativ
41,4.0,3.0,0.0,0.0,7.0,9.0,9.0,' negativ
42,5.0,4.0,0.0,0.0,3.0,8.0,1.0,' negativ
43,7.0,2.0,0.0,0.0,7.0,2.0,3.0,' positiv
44,1.0,4.0,0.0,0.0,6.0,3.0,4.0,' positiv
45,8.0,4.0,0.0,0.0,5.0,3.0,4.0,' positiv
46,8.0,5.0,0.0,0.0,6.0,4.0,3.0,' positiv
47,3.0,2.0,0.0,0.0,6.0,2.0,3.0,' positiv
48,9.0,3.0,0.0,0.0,3.0,3.0,4.0,' positiv
49,4.0,2.0,0.0,0.0,4.0,2.0,3.0,' positiv
50,2.0,4.0,0.0,0.0,5.0,5.0,6.0,' positiv
51,6.0,4.0,0.0,0.0,7.0,1.0,2.0,' positiv
52,6.0,1.0,0.0,0.0,7.0,2.0,3.0,' positiv
53,3.0,5.0,0.0,0.0,4.0,1.0,2.0,' positiv
54,6.0,2.0,0.0,0.0,5.0,2.0,3.0,' positiv
55,7.0,5.0,0.0,0.0,5.0,3.0,3.0,' positiv
56,3.0,4.0,0.0,0.0,5.0,4.0,5.0,' positiv
57,5.0,4.0,0.0,0.0,3.0,2.0,3.0,' positiv
58,6.0,1.0,0.0,0.0,6.0,5.0,6.0,' positiv
59,3.0,4.0,0.0,0.0,3.0,2.0,3.0,' positiv
60,6.0,6.0,0.0,0.0,3.0,1.0,3.0,' positiv
61,6.0,4.0,0.0,0.0,3.0,1.0,0.0,' positiv
62,4.0,1.0,0.0,0.0,9.0,0.0,1.0,' positiv
63,7.0,6.0,0.0,0.0,4.0,3.0,4.0,' positiv
64,4.0,0.0,0.0,0.0,7.0,0.0,2.0,' positiv
65,5.0,3.0,0.0,0.0,5.0,1.0,2.0,' positiv
66,4.0,3.0,0.0,0.0,5.0,4.0,5.0,' positiv
67,3.0,4.0,0.0,0.0,5.0,3.0,4.0,' positiv
68,3.0,5.0,0.0,0.0,5.0,3.0,4.0,' positiv
69,6.0,3.0,0.0,0.0,6.0,3.0,4.0,' positiv
70,6.0,3.0,0.0,0.0,5.0,3.0,4.0,' positiv
71,7.0,3.0,0.0,0.0,4.0,2.0,3.0,' positiv
72,5.0,2.0,0.0,0.0,3.0,3.0,4.0,' positiv
73,8.0,5.0,0.0,0.0,3.0,3.0,4.0,' positiv
74,3.0,3.0,0.0,0.0,2.0,1.0,2.0,' positiv
75,5.0,6.0,0.0,0.0,4.0,3.0,4.0,' positiv
76,4.0,5.0,0.0,0.0,4.0,2.0,4.0,' positiv
77,4.0,4.0,0.0,0.0,3.0,2.0,3.0,' positiv
78,5.0,5.0,0.0,0.0,5.0,1.0,2.0,' positiv
79,5.0,4.0,0.0,0.0,6.0,3.0,4.0,' positiv
80,4.0,3.0,0.0,0.0,7.0,4.0,5.0,' positiv
81,6.0,5.0,0.0,0.0,5.0,3.0,4.0,' positiv
82,2.0,3.0,0.0,0.0,5.0,4.0,5.0,' positiv
83,6.0,3.0,0.0,0.0,6.0,5.0,6.0,' positiv
84,6.0,4.0,0.0,0.0,3.0,2.0,4.0,' positiv
85,3.0,2.0,0.0,0.0,4.0,3.0,4.0,' positiv
86,5.0,5.0,0.0,0.0,4.0,4.0,3.0,' positiv
87,4.0,2.0,0.0,0.0,5.0,0.0,1.0,' positiv
88,3.0,6.0,0.0,0.0,3.0,5.0,6.0,' positiv
89,8.0,5.0,0.0,0.0,2.0,3.0,4.0,' positiv
90,6.0,3.0,0.0,0.0,5.0,3.0,4.0,' positiv
91,6.0,3.0,0.0,0.0,2.0,3.0,4.0,' positiv
92,7.0,3.0,0.0,0.0,4.0,2.0,3.0,' positiv
93,5.0,4.0,0.0,0.0,5.0,4.0,5.0,' positiv
94,2.0,2.0,0.0,0.0,5.0,2.0,3.0,' positiv
95,7.0,2.0,0.0,0.0,6.0,3.0,4.0,' positiv
96,3.0,4.0,0.0,0.0,6.0,5.0,6.0,' positiv
97,3.0,3.0,0.0,0.0,4.0,3.0,4.0,' positiv
98,7.0,6.0,0.0,0.0,4.0,4.0,5.0,' positiv
99,5.0,5.0,0.0,0.0,7.0,4.0,5.0,' positiv
100,3.0,1.0,0.0,0.0,3.0,2.0,3.0,' positiv
101,6.0,5.0,0.0,0.0,5.0,2.0,3.0,' positiv
102,5.0,5.0,0.0,0.0,4.0,3.0,4.0,' positiv
103,6.0,2.0,0.0,0.0,5.0,2.0,3.0,' positiv
104,7.0,4.0,0.0,0.0,5.0,2.0,3.0,' positiv
105,6.0,5.0,0.0,0.0,6.0,4.0,5.0,' positiv
106,6.0,2.0,0.0,0.0,4.0,2.0,3.0,' positiv
107,4.0,4.0,0.0,0.0,5.0,3.0,4.0,' positiv
108,5.0,2.0,0.0,0.0,4.0,3.0,4.0,' positiv
109,6.0,4.0,0.0,0.0,5.0,3.0,4.0,' positiv
110,4.0,5.0,0.0,0.0,4.0,2.0,3.0,' positiv
111,5.0,6.0,0.0,0.0,7.0,3.0,4.0,' positiv
112,6.0,5.0,0.0,0.0,6.0,5.0,6.0,' positiv
113,7.0,4.0,0.0,0.0,3.0,3.0,4.0,' positiv
114,7.0,5.0,0.0,0.0,1.0,2.0,3.0,' positiv
115,7.0,4.0,0.0,0.0,0.0,2.0,4.0,' positiv
116,5.0,5.0,0.0,0.0,6.0,3.0,4.0,' positiv
117,6.0,4.0,0.0,0.0,3.0,2.0,2.0,' positiv
118,6.0,4.0,0.0,0.0,5.0,2.0,2.0,' positiv
119,4.0,5.0,0.0,0.0,2.0,2.0,4.0,' positiv
120,9.0,8.0,0.0,0.0,5.0,3.0,3.0,' positiv
121,8.0,6.0,0.0,0.0,3.0,2.0,3.0,' positiv
122,9.0,6.0,0.0,0.0,3.0,3.0,2.0,' positiv
123,3.0,6.0,0.0,0.0,8.0,3.0,4.0,' positiv
124,5.0,1.0,0.0,0.0,6.0,1.0,2.0,' positiv
125,5.0,5.0,0.0,0.0,6.0,1.0,2.0,' positiv
126,3.0,3.0,0.0,0.0,3.0,2.0,4.0,' positiv
127,3.0,5.0,0.0,0.0,4.0,3.0,4.0,' positiv
128,6.0,5.0,0.0,0.0,3.0,3.0,4.0,' positiv
129,6.0,2.0,0.0,0.0,2.0,4.0,5.0,' positiv
130,7.0,4.0,0.0,0.0,5.0,2.0,4.0,' positiv
131,4.0,2.0,0.0,0.0,7.0,0.0,1.0,' positiv
132,5.0,3.0,0.0,0.0,6.0,5.0,6.0,' positiv
133,5.0,3.0,0.0,0.0,5.0,2.0,2.0,' positiv
134,5.0,2.0,0.0,0.0,4.0,2.0,4.0,' positiv
135,5.0,4.0,0.0,0.0,4.0,3.0,4.0,' positiv
136,7.0,5.0,0.0,0.0,6.0,1.0,2.0,' positiv
137,4.0,2.0,0.0,0.0,5.0,4.0,5.0,' positiv
138,3.0,1.0,0.0,0.0,3.0,3.0,4.0,' positiv
139,3.0,4.0,0.0,0.0,5.0,2.0,3.0,' positiv
140,0.0,2.0,0.0,0.0,4.0,2.0,4.0,' positiv
141,9.0,3.0,0.0,0.0,5.0,3.0,4.0,' positiv
142,5.0,5.0,0.0,0.0,4.0,3.0,4.0,' positiv
143,4.0,2.0,0.0,0.0,5.0,1.0,3.0,' positiv
144,6.0,5.0,0.0,0.0,4.0,3.0,4.0,' positiv
145,3.0,3.0,0.0,0.0,4.0,2.0,3.0,' positiv
146,0.0,3.0,0.0,0.0,4.0,5.0,5.0,' positiv
147,6.0,2.0,0.0,0.0,3.0,3.0,4.0,' positiv
148,4.0,4.0,0.0,0.0,5.0,1.0,3.0,' positiv
149,2.0,5.0,0.0,0.0,5.0,3.0,4.0,' positiv
150,5.0,4.0,0.0,0.0,6.0,3.0,4.0,' positiv
151,4.0,3.0,0.0,0.0,4.0,1.0,2.0,' positiv
152,3.0,4.0,0.0,0.0,3.0,2.0,3.0,' positiv
153,6.0,4.0,0.0,0.0,6.0,1.0,3.0,' positiv
154,3.0,3.0,0.0,0.0,4.0,2.0,4.0,' positiv
155,6.0,3.0,0.0,0.0,4.0,5.0,6.0,' positiv
156,4.0,4.0,0.0,0.0,3.0,3.0,4.0,' positiv
